OSM_tag;OSM_full_description;OSM_path;FS_manual_path;FS_tag
aqueduct;A historic structure to convey water;historic > aqueduct;landmarks outdoors > historic protected site;historic protected site
temple;A building that was built as a temple. Used in conjunction with amenity=place_of_worship, religion=*, denomination=* and landuse=religious for the grounds where it is in current use.;building > religious > temple;community government > spiritual center > temple;temple
boat;Shop focused on selling boats, boat equipment and may rent or repair them;shop > outdoors sport vehicles > boat;retail;retail
island;Any piece of land that is completely surrounded by water and isolated from other significant landmasses.;place > places > island;landmarks outdoors > island;island
playground;A playground: an area designed for children to play.;leisure > playground;landmarks outdoors > park > playground;playground
glaziery;Shop focused on selling and installing glazing for windows and doors.;shop > doityourself household building materials gardening > glaziery;business professional services > home improvement service > doors windows contractor;doors windows contractor
fast food;Fast food restaurant (see also amenity=restaurant). The kind of food served can be tagged with cuisine=* and diet:*=*.;amenity > sustenance > fast food;dining drinking > restaurant > fast food restaurant;fast food restaurant
firepit;A fire ring or fire pit, often at a campsite or picnic site.;leisure > firepit;landmarks outdoors > campground;campground
hostel;Cheap accommodation with shared bedrooms.;tourism > hostel;travel transportation > lodging > hostel;hostel
gatehouse;An entry control point building, spanning over a highway that enters a city or compound.;building > civicamenity > gatehouse;community government;community government
trade;A place of business that sells to a particular trade or trades, but normally also retails to normal consumers. See also shop=doityourself;shop > doityourself household building materials gardening > trade;retail;retail
garden furniture;Shop focused on selling garden furniture (sheds, outdoor tables, gates, fences, ...). See shop=garden_centre if also plants are sold.;shop > doityourself household building materials gardening > garden furniture;retail > garden center;garden center
funicular;Cable driven inclined railways on a steep slope, with a pair of cars connected by one cable;railway > tracks > funicular;travel transportation;travel transportation
hangar;A large airport building with extensive floor area for housing aircraft or spacecraft.;aeroway > hangar;travel transportation > transport hub > airport;airport
islet;A very small island.;place > places > islet;landmarks outdoors > island;island
chemist;Shop focused on selling articles of personal hygiene, cosmetics, and household cleaning products (for a shop that potentially dispenses prescription drugs, cf. pharmacy. U.S. drug store, see amenity=pharmacy);shop > health beauty > chemist;retail > drugstore;drugstore
rehabilitation;"Medical rehabilitation facility; should not be used for a wellness clinic or hotel.";healthcare > rehabilitation;community government > rehabilitation center;rehabilitation center
swimming area;An area for swimming within a larger body of water (such as a river, lake or the sea) that is marked by a rope, buoys or similar.;leisure > swimming area;landmarks outdoors > bathing area;bathing area
hairdresser;Here you can get your hair cut, coloured, �?� See also shop=beauty;shop > health beauty > hairdresser;business professional services > health beauty service > hair salon;hair salon
museum;A museum: an institution with exhibitions on scientific, historical, cultural topics;tourism > museum;arts entertainment > museum;museum
police;A police station where police officers patrol from and that is a first point of contact for civilians;amenity > public service > police;community government > government building > law enforcement public safety > police station;police station
church;A building that was built as a church. Used in conjunction with amenity=place_of_worship, religion=* , denomination=* and landuse=religious for the church grounds where it is in current use.;building > religious > church;community government > spiritual center > church;church
shoemaker;A place where shoes, boots, sandals, clogs and moccasins are created, repaired or altered to fit personal needs.;craft > shoemaker;business professional services > shoe repair service;shoe repair service
viewpoint;A place worth visiting, often high, with a good view of surrounding countryside or notable buildings.;tourism > viewpoint;landmarks outdoors > scenic lookout;scenic lookout
sample collection;Site or dedicated healthcare facility where samples of blood/urine/etc are obtained or collected for purpose of analysing them for healthcare diagnostics.;healthcare > sample collection;health medicine > medical lab;medical lab
sports hall;A building that was built as a sports hall.;building > sports > sports hall;sports recreation > indoor play area;indoor play area
grandstand;The main stand, usually roofed, commanding the best view for spectators at racecourses or sports grounds.;building > sports > grandstand;sports recreation;sports recreation
passing place;The location of a passing space;highway > highway features > passing place;travel transportation;travel transportation
caterer;A workplace or office of one who prepares customized meals for takeout, or provides prepared meals or supplies to a group at social gatherings;craft > caterer;business professional services > food beverage service > caterer;caterer
school;School and grounds - primary, middle and secondary schools;amenity > education > school;community government > education > primary secondary school;primary secondary school
electronics;Shop focused on selling consumer electronics (TV, radio, �?�). Larger ones may also sell computers, fridges, �?�;shop > electronics;retail > computers electronics retail > electronics store;electronics store
kindergarten;For children too young for a regular school (also known as preschool, playschool or nursery school), in some countries including afternoon supervision of primary school children.;amenity > education > kindergarten;community government > education > nursery school;nursery school
cafe;"Cafe is generally an informal place that offers casual meals and beverages; typically, the focus is on coffee or tea. Also known as a coffeehouse/shop, bistro or sidewalk cafe. The kind of food served may be mapped with the tags cuisine=* and diet:*=*. See also the tags amenity=restaurant;bar;fast_food.";amenity > sustenance > cafe;dining drinking > cafe coffee tea house > cafe;cafe
cape;A piece of elevated land sticking out into the sea or large lake.;natural > water related > cape;landmarks outdoors;landmarks outdoors
kneipp water cure;Outdoor foot bath facility. Usually this is a pool with cold water and handrail. Popular in German speaking countries.;amenity > others > kneipp water cure;landmarks outdoors;landmarks outdoors
lane;A lane is a route that lies within the roadway;highway > cycleway > lane;travel transportation > road;road
riding hall;A building that was built as a riding hall.;building > sports > riding hall;sports recreation > equestrian facility;equestrian facility
county;A county - a geographical region of a country.;place > administratively declared places > county;landmarks outdoors > states municipalities > county;county
university;An office providing services to university students or staff, or the office of a department / faculty in a university.;office > university;community government > education > college university > college administrative building;college administrative building
hifi;Shop focused on selling High Fidelity or High End environment to listen music or watch films at home;shop > electronics > hifi;retail > computers electronics retail > electronics store;electronics store
energy;Shop focused on selling energy;shop > doityourself household building materials gardening > energy;retail;retail
guardhouse;Poste de garde.;building > buildings > guardhouse;community government > government building > law enforcement public safety;law enforcement public safety
herbalist;Shop focused on selling herbs, often for medical purposes. (See also: healthcare:speciality=herbalism and healthcare=alternative).;shop > health beauty > herbalist;health medicine > alternative medicine clinic;alternative medicine clinic
caravan site;A place where you can stay in a caravan overnight or for longer periods.;tourism > caravan site;travel transportation > rv park;rv park
locksmith;The workshop of a craftsman who installs or repairs locks and opens locked doors.;craft > locksmith;business professional services > locksmith;locksmith
printmaker;A producer of fine art prints.;craft > printmaker;retail > arts crafts store;arts crafts store
builder;A workplace or office of a tradesman who performs structural alterations and additions to buildings.;craft > builder;business professional services;business professional services
atv;Shop focused on selling atvs (quads), atv equipment and may rent or repair them;shop > outdoors sport vehicles > atv;retail > automotive retail > motorsports store;motorsports store
runway;A strip of land on which aircraft can take off and land.;aeroway > runway;travel transportation > transport hub > airport;airport
jbar;J-bar lift or L-bar lift. Overhead tow-line for skiers and riders with carriers in J-shape.;aerialway > jbar;sports recreation > snow sports > ski resort area > ski chairlift;ski chairlift
quango;An office of a quasi-autonomous non-governmental organisation.;office > quango;community government > organization;organization
annexe;An annexe is a small self contained apartments, collages, or small residential building on the same property as the main residential unit.;building > accommodation > annexe;community government > residential building;residential building
trophy;Store selling trophies, awards, plaques etc.;shop > art music hobbies > trophy;retail > hobby store;hobby store
lottery;A shop of which the main or only purpose is the sale of lottery tickets.;shop > stationery gifts books newspapers > lottery;business professional services > lottery retailer;lottery retailer
village;A smaller distinct settlement, smaller than a town with few facilities available with people traveling to nearby towns to access these.;place > populated settlements urban rural > village;landmarks outdoors > states municipalities > village;village
city gate;A city gate within a city wall;historic > city gate;landmarks outdoors > historic protected site;historic protected site
library;A public library (municipal, university, �?�) to borrow books from.;amenity > education > library;community government > library;library
atelier;A place where visual artists work;craft > atelier;business professional services > art studio;art studio
house;A historic house.;historic > house;landmarks outdoors > historic protected site;historic protected site
horse;Riding routes;route > horse;sports recreation > equestrian facility;equestrian facility
courthouse;A building home to a court of law, where justice is dispensed;amenity > public service > courthouse;community government > government building > courthouse;courthouse
biergarten;"Biergarten or beer garden is an open-air area where alcoholic beverages along with food is prepared and served. See also the description of the tags amenity=pub;bar;restaurant. A biergarten can commonly be found attached to a beer hall, pub, bar, or restaurant. In this case, you can use biergarten=yes additional to amenity=pub;bar;restaurant.";amenity > sustenance > biergarten;dining drinking > bar > beer garden;beer garden
occupational therapist;Someone who practices occupational therapy but is not a medical practitioner.;healthcare > occupational therapist;health medicine > healthcare professional;healthcare professional
bus trap;A short section of the roadway where there is a deep dip in the middle to prevent passage by some traffic.;barrier > access control highways > bus trap;travel transportation;travel transportation
traffic signals;Lights that control the traffic;highway > highway features > traffic signals;travel transportation;travel transportation
car painter;A place specializing in painting cars.;craft > car painter;retail > auto workshop;auto workshop
volcanic caldera rim;The crater (caldera) of a volcano.;geological > volcanic caldera rim;landmarks outdoors > volcano;volcano
window construction;A workplace of someone constructing windows.;craft > window construction;business professional services > home improvement service > doors windows contractor;doors windows contractor
weaver;Workshop of a person producing something by weaving, may offer products for sale;craft > weaver;retail > textiles store;textiles store
airline;An office for an airline company.;office > airline;business professional services > office > office building;office building
pasta;Shop focused on selling (fresh) pasta, ravioli, etc.;shop > food beverages > pasta;retail > food beverage retail > gourmet store;gourmet store
scuba diving;Shop focused on selling scuba diving equipment.;shop > outdoors sport vehicles > scuba diving;retail > sporting goods retail > dive store;dive store
ski;Shop focused on selling skis, ski equipment and may rent or repair them;shop > outdoors sport vehicles > ski;retail > sporting goods retail > ski store;ski store
carpet layer;A carpet layer is a tradesmen who specializes in laying carpets;craft > carpet layer;business professional services > home improvement service > carpet flooring contractor;carpet flooring contractor
party;A shop for party and festival supplies, like costumes, etc.;shop > others > party;retail > party supply store;party supply store
fuel;"Petrol station; gas station; marine fuel; �?� Streets to petrol stations are often tagged highway=service.";amenity > transportation > fuel;travel transportation > fuel station;fuel station
bicycle repair station;"General tools for self-service bicycle repairs, usually on the roadside; no service";amenity > transportation > bicycle repair station;business professional services;business professional services
social facility;A facility that provides social services: group & nursing homes, workshops for the disabled, homeless shelters, etc.;amenity > healthcare > social facility;community government > public social service;public social service
animal boarding;A facility where you, paying a fee, can bring your animal for a limited period of time (e.g. for holidays);amenity > others > animal boarding;business professional services > pet service > pet sitting boarding service;pet sitting boarding service
water works;A facility where water is treated to make it suitable for human consumption.;man made > man made > water works;business professional services > water treatment service;water treatment service
houseboat;A boat used primarily as a home;building > accommodation > houseboat;community government > residential building > home private;home private
security;Shop focused on selling security items like burglar alarms, vaults, locking systems, video surveillance cameras, firefighting equipment, alarm systems, warning systems, etc.;shop > doityourself household building materials gardening > security;retail > hardware store;hardware store
tree row;A line of trees.;natural > vegetation > tree row;landmarks outdoors > tree;tree
dog park;A designated area, with or without a fenced boundary, where dog-owners are permitted to exercise their pets unrestrained.;leisure > dog park;landmarks outdoors > park > dog park;dog park
public bath;A location where the public may bathe in common, etc. japanese onsen, turkish bath, hot spring;amenity > others > public bath;business professional services > health beauty service > bath house;bath house
level crossing;A point where rails and roads cross.;railway > infrastructure > level crossing;travel transportation > road > intersection;intersection
crossing;A point where pedestrians may cross.;railway > infrastructure > crossing;travel transportation > road > intersection;intersection
waste disposal;A medium or large disposal bin, typically for bagged up household or industrial waste.;amenity > waste management > waste disposal;business professional services > waste management service;waste management service
milestone;A historic marker that shows the distance to important destinations.;historic > milestone;landmarks outdoors > historic protected site;historic protected site
restaurant;Restaurant (not fast food, see amenity=fast_food). The kind of food served can be tagged with cuisine=* and diet:*=*.;amenity > sustenance > restaurant;dining drinking > restaurant;restaurant
payment terminal;Self-service payment kiosk/terminal;amenity > financial > payment terminal;business professional services > financial service > banking finance > atm;atm
clothes mending;A place where clothing is mended (repaired) or altered professionally.;craft > clothes mending;business professional services > tailor;tailor
navigationaid;A facility that supports visual navigation for aircraft;aeroway > navigationaid;travel transportation > transport hub > airport;airport
memorial;Small memorials, usually remembering special persons, people who lost their lives in the wars, past events or missing places.;historic > memorial;landmarks outdoors > memorial site;memorial site
fairway;A navigable route in a lake or sea, often marked by buoys or beacons.;waterway > manmade waterways > fairway;landmarks outdoors;landmarks outdoors
tiles;Shop focused on selling tiles.;shop > furniture interior > tiles;retail > furniture home store;furniture home store
base;A facility where military personnel and equipment are based.;military > base;community government > government building > military > military base;military base
estate agent;A place where you can rent or buy a house.;office > estate agent;business professional services > real estate service > real estate agency;real estate agency
restoration;Restorer.;craft > restoration;business professional services > art restoration service;art restoration service
waterfall;A place where water flows over a vertical drop or a series of drops in the course of a stream or river.;waterway > barriers waterways > waterfall;landmarks outdoors > waterfall;waterfall
farm;An individually named farm.;place > populated settlements urban rural > farm;landmarks outdoors > farm;farm
snowmobile;Shop focused on selling snowmobiles, snowmobile equipment and may rent or repair them;shop > outdoors sport vehicles > snowmobile;retail > automotive retail > motor scooter dealership;motor scooter dealership
pond;A small body of standing water, man-made in most cases;water > pond;landmarks outdoors > lake;lake
laboratory;Medical laboratory also called (analytical, diagnostic) is a place that analyses body fluids such as blood, urine, faeces etc .;healthcare > laboratory;health medicine > medical lab;medical lab
aircraft crossing;A point where the flow of traffic is impacted by crossing aircraft.;aeroway > aircraft crossing;travel transportation > road > intersection;intersection
platter;An overhead tow-line for skiers and riders with platters.;aerialway > platter;sports recreation > snow sports > ski resort area > ski chairlift;ski chairlift
apartments;A building arranged into individual dwellings, often on separate floors. May also have retail outlets on the ground floor.;building > accommodation > apartments;community government > residential building > apartment condo;apartment condo
zoo;A zoological garden, where animals are confined for viewing by the public.;tourism > zoo;arts entertainment > zoo;zoo
bandstand;A bandstand is an open structure where musical bands can perform concerts.;leisure > bandstand;arts entertainment > performing arts venue;performing arts venue
model;Shop specialising in the sale of scale models.;shop > art music hobbies > model;retail > hobby store;hobby store
hotel;A building designed with separate rooms available for overnight accommodation. Normally used in conjunction with tourism=hotel for the hotel grounds including recreation areas and parking.;building > accommodation > hotel;travel transportation > lodging > hotel;hotel
tree;A single tree.;natural > vegetation > tree;landmarks outdoors > tree;tree
shrine;A building that was built as a shrine. Used in conjunction with amenity=place_of_worship, religion=*, denomination=* and landuse=religious for the grounds where it is in current use. Small structures should consider historic=wayside_shrine.;building > religious > shrine;community government > spiritual center > shrine;shrine
scaffolder;A workplace or office of a tradesman who builds temporary structure used to support people and material in the construction or repair of buildings and other large structures.;craft > scaffolder;business professional services > construction;construction
hill;A hill is a landform that is elevated above the surrounding terrain, but is smaller than a mountain.;natural > geology related > hill;landmarks outdoors > hill;hill
bank;Bank or credit union: a financial establishment where customers can deposit and withdraw money, take loans, make investments and transfer funds.;amenity > financial > bank;business professional services > financial service > banking finance > bank;bank
wood;Tree-covered area (a 'forest' or 'wood');natural > vegetation > wood;landmarks outdoors > forest;forest
building;Unspecified historic building.;historic > building;landmarks outdoors > historic protected site;historic protected site
train;Train services (e.g., London-Paris Eurostar) See Railways.;route > train;travel transportation > train;train
ambulance station;An ambulance station is a structure or other area set aside for storage of ambulance vehicles, medical equipment, personal protective equipment, and other medical supplies.;emergency > medical rescue > ambulance station;health medicine > emergency service > ambulance service;ambulance service
carpet hanger;A construction to hang carpets for cleaning with the help of carpet beaters.;man made > man made > carpet hanger;business professional services > home improvement service > professional cleaning service;professional cleaning service
cleaning;Workplace or office of a person who cleans buildings, industrial facilities or windows.;craft > cleaning;business professional services > home improvement service > professional cleaning service;professional cleaning service
public building;A generic public building. Don't use! See office=government.;amenity > others > public building;community government > government building;government building
cave entrance;An entrance to a cave: a natural underground space large enough for a human to enter;natural > geology related > cave entrance;landmarks outdoors > cave;cave
corridor;For a hallway inside of a building.;highway > paths > corridor;travel transportation;travel transportation
rope tow;A tow-line for skiers and riders where passenger hold by hand or use special tow grabbers.;aerialway > rope tow;sports recreation > snow sports > ski resort area > ski chairlift;ski chairlift
share busway;There is a bus lane that cyclists are permitted to use.;highway > cycleway > share busway;travel transportation > transportation service > public transportation > bus line;bus line
metal construction;Workplace or office of a person who work with metal. This applies to: planning, construction, trade, repair.;craft > metal construction;business professional services > metals supplier;metals supplier
high cross;An early medieaval standing cross, richly decorated, often with a ring surrounding the crossing point.;historic > high cross;landmarks outdoors > historic protected site;historic protected site
river;The water covered area of a river.;water > river;landmarks outdoors > river;river
university;A university campus: an institute of higher education;amenity > education > university;community government > education > college university > university;university
guest house;Accommodation smaller than a hotel and typically owner-operated, such as bed&breakfasts etc.;tourism > guest house;travel transportation > lodging > bed breakfast;bed breakfast
lawyer;An office for a lawyer.;office > lawyer;business professional services > legal service > law office;law office
city block;A named city block, usually surrounded by streets.;place > populated settlements urban > city block;landmarks outdoors > states municipalities > neighborhood;neighborhood
triumphal arch;A free-standing monumental structure in the shape of an archway with one or more arched passageways.;building > buildings > triumphal arch;landmarks outdoors > structure;structure
optician;A place where lenses for the correction of a person's vision are designed, fitted and dispensed.;craft > optician;health medicine > optometrist;optometrist
money transfer;A place that offers money transfers, especially cash to cash;amenity > financial > money transfer;business professional services > financial service;financial service
locksmith;Shop focused on selling keys, see also craft=locksmith and craft=key_cutter;shop > doityourself household building materials gardening > locksmith;business professional services > locksmith;locksmith
magic carpet;A ski lift for small children resembling a conveyor belt.;aerialway > magic carpet;sports recreation > snow sports > ski resort area > ski chairlift;ski chairlift
railway crossing;Crossing rails with no interconnection.;railway > infrastructure > railway crossing;travel transportation > road > intersection;intersection
educational institution;An office for an educational institution.;office > educational institution;community government > education;education
speed display;A dynamic electronic sign that displays the speed of the passer-by motorist.;highway > highway features > speed display;travel transportation > road;road
toll gantry;A toll gantry is a gantry suspended over a way, usually a motorway, as part of a system of electronic toll collection. For a toll booth with any kind of barrier or booth see: barrier=toll_booth;highway > highway features > toll gantry;travel transportation > toll plaza;toll plaza
ridge;A mountain landform with a continuous elevated crest or linear hill;natural > geology related > ridge;landmarks outdoors > mountain;mountain
pier;A pier is a raised walkway over water, supported by widely spread piles or pillars.;man made > man made > pier;travel transportation > pier;pier
goods;A cable supported lift for conveying goods, not passengers.;aerialway > goods;travel transportation > cable car;cable car
gas;Shop focused on selling technical gas, such as argon, oxygen, acetylene, nitrogen, carbon dioxide, etc. in pressurized containers;shop > doityourself household building materials gardening > gas;business professional services > chemicals gasses manufacturer;chemicals gasses manufacturer
bird hide;A place that is used to observe wildlife, especially birds.;leisure > bird hide;landmarks outdoors;landmarks outdoors
highwater mark;A marker indicating a past flood or high water.;historic > highwater mark;landmarks outdoors > historic protected site;historic protected site
water;Any inland body of water, from natural such as a lake or pond to artificial like a moat or canal.;natural > water related > water;landmarks outdoors;landmarks outdoors
apron;An area of an airport where planes are parked, unloaded or loaded, refueled, or boarded.;aeroway > apron;travel transportation > transport hub > airport;airport
wilderness hut;A remote building, typically unserviced, providing temporary shelter and sleeping accommodation.;tourism > wilderness hut;landmarks outdoors > mountain hut;mountain hut
secondary;The next most important roads in a country's system. (Often link towns.);highway > roads > secondary;travel transportation > road;road
presbytery;A building where priests live and work.;building > religious > presbytery;community government > spiritual center;spiritual center
games;Shop focused on selling board games, card games and/or role-playing games.;shop > art music hobbies > games;retail > hobby store;hobby store
monument;A memorial object, which is especially large, built to remember, show respect to a person or group of people or to commemorate an event.;historic > monument;landmarks outdoors > monument;monument
station;A station where passengers and/or goods can enter and/or leave the aerialway;aerialway > station;travel transportation > transport hub > airport;airport
water point;A place to fill fresh water holding tanks of a boat.;waterway > features waterways > water point;landmarks outdoors;landmarks outdoors
picnic table;A table with benches for food and rest.;leisure > picnic table;landmarks outdoors > park > picnic area;picnic area
door construction;A workplace of someone constructing doors;craft > door construction;business professional services > home improvement service > doors windows contractor;doors windows contractor
light rail;A higher-standard tram system, normally in its own right-of-way. Often it connects towns and thus reaches a considerable length (tens of kilometres).;railway > tracks > light rail;travel transportation;travel transportation
house;A dwelling unit inhabited by a single household (a family or small group sharing facilities such as a kitchen). Houses forming half of a semi-detached pair, or one of a row of terraced houses, should share at least two nodes with joined neighbours, thereby defining the party wall between the properties.;building > accommodation > house;community government > residential building > home private;home private
city;The largest urban settlement or settlements within the territory.;place > populated settlements urban rural > city;landmarks outdoors > states municipalities > city;city
isolated dwelling;The smallest kind of settlement (1-2 households).;place > populated settlements urban rural > isolated dwelling;landmarks outdoors > states municipalities > village;village
cathedral;A building that was built as a cathedral. Used in conjunction with amenity=place_of_worship, religion=*, denomination=* and landuse=religious for the cathedral grounds where it is in current use.;building > religious > cathedral;community government > spiritual center;spiritual center
tomb;A structure where somebody has been buried.;historic > tomb;community government > cemetery;cemetery
pest control;Shop selling pest control goods to exterminate rats, insects etc.;shop > others > pest control;business professional services > home improvement service > pest control service;pest control service
pound;A former amenity to hold stray or seized animals, often walled.;historic > pound;landmarks outdoors > historic protected site;historic protected site
union;An office of a trade union, an association of workers forming a bargaining unit.;office > union;community government > organization > labor union;labor union
dry cleaning;Shop or kiosk offering a clothes dry cleaning service. The actual cleaning may be done elsewhere.;shop > others > dry cleaning;business professional services > health beauty service > dry cleaner;dry cleaner
bicycle wash;Clean a bicycle;amenity > transportation > bicycle wash;business professional services;business professional services
payment centre;A non-bank place, where people can pay bills of public and private services and taxes.;amenity > financial > payment centre;business professional services > financial service;financial service
city;The largest urban settlement or settlements within the territory.;place > populated settlements urban > city;landmarks outdoors > states municipalities > city;city
engineer;An office for an engineer or group of engineers.;office > engineer;business professional services > engineer;engineer
chamber;Seat of a professional chamber, such as bar associations or chambers of commerce.;office > chamber;business professional services > office;office
water point;Place where you can get large amounts of drinking water;amenity > facilities > water point;business professional services > water treatment service;water treatment service
internet cafe;A place whose principal role is providing internet services to the public.;amenity > others > internet cafe;arts entertainment > internet cafe;internet cafe
dormitory;A shared building intended for college/university students (not a share room for multiple occupants as implied by the term in British English). Alternatively, use building=residential plus residential=university and loose the information that it is for students.;building > accommodation > dormitory;community government > education > college university > college residence hall;college residence hall
stream;A naturally-forming waterway that is too narrow to be classed as a river.;waterway > natural watercourses > stream;landmarks outdoors > river;river
prison;A prison or jail where people are incarcerated before trial or after conviction;amenity > public service > prison;community government > prison;prison
cabin;A cabin is a small, roughly built house usually with a wood exterior and typically found in rural areas.;building > accommodation > cabin;travel transportation > lodging > cabin;cabin
newspaper;An office of a newspaper;office > newspaper;business professional services > office;office
bar;"Bar is a purpose-built commercial establishment that sells alcoholic drinks to be consumed on the premises. They are characterised by a noisy and vibrant atmosphere, similar to a party and usually don't sell food. See also the description of the tags amenity=pub;bar;restaurant for a distinction between these.";amenity > sustenance > bar;dining drinking > bar;bar
public bookcase;A street furniture containing books. Take one or leave one.;amenity > entertainment arts culture > public bookcase;retail > bookstore;bookstore
outbuilding;A less important building near to and on the same piece of land as a larger building.;building > buildings > outbuilding;community government;community government
border control;A control point at an international border between two countries.;barrier > access control highways > border control;travel transportation > border crossing;border crossing
shieling;An abandoned mountain pasture;historic > shieling;landmarks outdoors;landmarks outdoors
phone;Emergency telephone;emergency > structure > phone;health medicine > emergency service;emergency service
heliport;A special aerodrome built for helicopters.;aeroway > heliport;travel transportation > transport hub > heliport;heliport
retail;"A building primarily used for selling goods that are sold to the public; use shop=* to identify the sort of goods sold or an appropriate amenity=* (pub, cafe, restaurant, etc.). Consider use landuse=retail for the surrounding area.";building > commercial > retail;retail;retail
kitchen;"A shop where you can plan and buy your kitchen. (Sometimes called ""kitchen studio"" and the like, but plain kitchen is the most frequently used tag so far.)";shop > furniture interior > kitchen;retail > furniture home store > kitchen supply store;kitchen supply store
collector;A shop for different collector's items like stamps, coins, action figures, etc.;shop > art music hobbies > collector;retail > hobby store;hobby store
catenary mast;A pole supporting the overhead wires used to supply electricity to vehicles equipped with a pantograph such as trams and trains.;power > catenary mast;travel transportation;travel transportation
jeweller;A place where necklaces, rings, brooches, earrings and bracelets and other personal adornments are created or repaired.;craft > jeweller;business professional services > creative service;creative service
engraver;A workplace or office of an engraver.;craft > engraver;business professional services > creative service;creative service
chapel;A building that was built as a chapel. Used in conjunction with amenity=place_of_worship, religion=*, denomination=* and landuse=religious for the chapel grounds where it is in current use.;building > religious > chapel;community government > spiritual center;spiritual center
camp site;An area where people can camp overnight using tents, camper vans, or caravans.;tourism > camp site;landmarks outdoors > campground;campground
roof;A structure that consists of a roof with open sides, such as a rain shelter, and also gas stations;building > buildings > roof;community government;community government
dam;A barrier built across a river or stream to block and regulate the flow of the river.;waterway > barriers waterways > dam;landmarks outdoors > dam;dam
pawnbroker;A pawnbroker (or pawnshop) is an individual or business that offers secured loans to people. See also shop=second_hand;shop > others > pawnbroker;retail > pawn shop;pawn shop
radiotechnics;Shop focused on selling electronic components, electrical products, radio measuring devices, supplies for radio and electronics.;shop > electronics > radiotechnics;retail > computers electronics retail > electronics store;electronics store
church;A church with a historical value.;historic > church;community government > spiritual center > church;church
outpost;Shop primarily used to pick-up items ordered online.;shop > others > outpost;retail;retail
creamery;A creamery is an industrial building where butter and sometimes cheese or ice-cream were made from milk. For rural communities, it also served as a social gathering point.;historic > creamery;landmarks outdoors > historic protected site;historic protected site
borough;A part in a larger city grouped into administrative unit.;place > populated settlements urban > borough;landmarks outdoors > states municipalities > neighborhood;neighborhood
fuel;A place to get fuel for boats;waterway > features waterways > fuel;travel transportation > fuel station;fuel station
airfield;A place where military planes take off and land.;military > airfield;community government > government building > military > military base;military base
services;A service station to get food and eat something, often found at motorways;highway > highway features > services;travel transportation > rest area;rest area
dock;An enclosed area for ships or boats within which the height of the water can be managed, or a dry dock.;waterway > facilities > dock;landmarks outdoors > harbor marina;harbor marina
spring;A place where ground water flows naturally from the ground;natural > water related > spring;landmarks outdoors;landmarks outdoors
insulation;A workplace or office of a person who does thermal insulation in buildings.;craft > insulation;business professional services > home improvement service;home improvement service
mixed lift;A mixed lift, containing both gondolas and chairs.;aerialway > mixed lift;sports recreation > snow sports > ski resort area > ski chairlift;ski chairlift
life ring;A floating ring to throw out to someone who is struggling in water.;emergency > lifeguards > life ring;community government > government building > law enforcement public safety > rescue service;rescue service
camp pitch;A tent or caravan pitch location within a campsite or caravan site.;tourism > camp pitch;landmarks outdoors > campground;campground
embroiderer;Needlework or textile artist;craft > embroiderer;retail > arts crafts store;arts crafts store
school;A building errected as school. Buildings for specific uses (sports halls etc.) should be tagged for their purpose. If there is currently a school, use amenity=school on the perimeter of the school grounds.;building > civicamenity > school;community government > education;education
trullo;A stone hut with a conical roof.;building > accommodation > trullo;landmarks outdoors;landmarks outdoors
suburb;A part of a town or city with a well-known name and often a distinct identity.;place > populated settlements urban > suburb;landmarks outdoors > states municipalities > neighborhood;neighborhood
ranger station;National Park visitor headquarters: official park visitor facility with police, visitor information, permit services, etc;amenity > public service > ranger station;landmarks outdoors > park > national park;national park
district;A designated historic district.;historic > district;landmarks outdoors > historic protected site;historic protected site
love hotel;A love hotel is a type of short-stay hotel operated primarily for the purpose of allowing guests privacy for sexual activities.;amenity > entertainment arts culture > love hotel;travel transportation > lodging > hotel;hotel
toy library;A place to borrow games and toys, or play with them on site.;amenity > education > toy library;retail > toy store;toy store
train station;A building constructed to be a train station building, including buildings that are abandoned and used nowadays for a different purpose.;building > civicamenity > train station;travel transportation > transport hub > rail station;rail station
windmill;A traditional windmill, historically used to mill grain with wind power.;man made > man made > windmill;landmarks outdoors > windmill;windmill
caravan;A shop for caravans, motorhomes & similar recreational vehicles.;shop > outdoors sport vehicles > caravan;retail > automotive retail > car dealership > rv motorhome dealership;rv motorhome dealership
service;Service building usually is a small unmanned building with certain machinery (like pumps or transformers).;building > powertechnical buildings > service;business professional services;business professional services
telephone;Public telephone;amenity > facilities > telephone;business professional services > telecommunication service;telecommunication service
allotment house;A small outbuilding for short visits in a allotment garden.;building > storage > allotment house;community government > residential building > home private;home private
square;A town or village square: a (typically) paved open space, generally of architectural significance, which is surrounded by buildings in a built-up area such as a city, town or village.;place > places > square;landmarks outdoors > plaza;plaza
monastery;A building constructed as monastery. Often, monasteries consist of several distinct buildings with specific functions. For active monasteries (communities), use amenity=monastery, for the grounds of a former monastery, have a look at historic=monastery;building > religious > monastery;community government > spiritual center > monastery;monastery
casino;A gambling venue with at least one table game(e.g. roulette, blackjack) that takes bets on sporting and other events at agreed upon odds.;amenity > entertainment arts culture > casino;arts entertainment > casino;casino
monorail;A railway with only a single rail. A monorail can run above the rail like in Las Vegas and Disneyland or can suspend below the rail like the Wuppertal Schwebebahn (Germany).;railway > tracks > monorail;travel transportation > train;train
fullheight turnstile;A full-height turnstile.;barrier > access control highways > fullheight turnstile;travel transportation;travel transportation
