Tag;Tag_depth;Depth_1;Depth_2;Depth_3;Depth_4;Depth_5;Depth_6;definition_en
new american restaurant;4;dining and drinking;restaurant;american restaurant;new american restaurant;;;A restaurant serving contemporary American cuisine.
rubber supplier;2;business and professional services;rubber supplier;;;;;A business selling rubber materials or products.
office;2;business and professional services;office;;;;;A place where professional or administrative work is done.
windmill;2;landmarks and outdoors;windmill;;;;;A structure that converts wind energy into mechanical energy.
coffee roaster;3;retail;food and beverage retail;coffee roaster;;;;A place or service roasting coffee beans.
modern european restaurant;3;dining and drinking;restaurant;modern european restaurant;;;;A restaurant serving contemporary European cuisine.
shopping mall;2;retail;shopping mall;;;;;A large building with many retail stores.
lyonese bouchon;4;dining and drinking;restaurant;french restaurant;lyonese bouchon;;;A restaurant serving traditional Lyon cuisine from France.
college classroom;4;community and government;education;college and university;college classroom;;;A room where college courses are taught.
lodge;3;travel and transportation;lodging;lodge;;;;A small hotel or accommodation in a natural area.
state or provincial park;3;landmarks and outdoors;park;state or provincial park;;;;A protected natural area managed by local government.
abruzzo restaurant;4;dining and drinking;restaurant;italian restaurant;abruzzo restaurant;;;A restaurant serving cuisine from the Abruzzo region of Italy.
basilicata restaurant;4;dining and drinking;restaurant;italian restaurant;basilicata restaurant;;;A restaurant serving cuisine from the Basilicata region of Italy.
gelato shop;3;dining and drinking;dessert shop;gelato shop;;;;A shop specializing in Italian-style ice cream.
business service;2;business and professional services;business service;;;;;A company providing support services to other businesses.
airport tram station;4;travel and transportation;transport hub;airport;airport tram station;;;A tram station located at or near an airport.
lgbtq organization;3;community and government;organization;lgbtq organization;;;;An organization supporting LGBTQ+ communities.
dumpling restaurant;3;dining and drinking;restaurant;dumpling restaurant;;;;A restaurant specializing in dumplings.
bunsik restaurant;5;dining and drinking;restaurant;asian restaurant;korean restaurant;bunsik restaurant;;A restaurant serving Korean fast food or street food.
vegan and vegetarian restaurant;3;dining and drinking;restaurant;vegan and vegetarian restaurant;;;;A restaurant serving plant-based dishes.
taxi;3;travel and transportation;transportation service;taxi;;;;A vehicle for hire to transport passengers.
corporate cafeteria;3;business and professional services;office;corporate cafeteria;;;;A dining area for employees of a company.
indoor play area;2;sports and recreation;indoor play area;;;;;A space for children to play inside.
poutine restaurant;3;dining and drinking;restaurant;poutine restaurant;;;;A restaurant serving poutine, a Canadian dish.
automotive repair shop;3;business and professional services;automotive service;automotive repair shop;;;;A shop fixing and maintaining vehicles.
macanese restaurant;5;dining and drinking;restaurant;asian restaurant;chinese restaurant;macanese restaurant;;A restaurant serving Macanese cuisine from Macau.
hunting supply store;3;retail;sporting goods retail;hunting supply store;;;;A shop selling hunting gear and equipment.
fair;2;arts and entertainment;fair;;;;;A gathering with rides, games, or exhibitions.
emergency service;2;health and medicine;emergency service;;;;;A service responding to urgent situations, like police, fire, or medical.
translation service;2;business and professional services;translation service;;;;;A service converting text or speech from one language to another.
hot dog joint;3;dining and drinking;restaurant;hot dog joint;;;;A small restaurant or stand selling hot dogs.
university;4;community and government;education;college and university;university;;;An institution of higher education and research.
bus stop;3;travel and transportation;transport hub;bus stop;;;;A designated place where buses pick up or drop off passengers.
credit counseling and bankruptcy service;3;business and professional services;financial service;credit counseling and bankruptcy service;;;;Services helping people manage debt or file for bankruptcy.
theater;3;arts and entertainment;performing arts venue;theater;;;;A venue for performing plays, musicals, or movies.
lombard restaurant;4;dining and drinking;restaurant;italian restaurant;lombard restaurant;;;A restaurant serving cuisine from Lombardy, Italy.
fondue restaurant;3;dining and drinking;restaurant;fondue restaurant;;;;A restaurant specializing in fondue, a melted cheese or chocolate dish.
udupi restaurant;4;dining and drinking;restaurant;indian restaurant;udupi restaurant;;;A restaurant serving South Indian Udupi cuisine, typically vegetarian.
fashion retail;2;retail;fashion retail;;;;;A store selling clothing, shoes, and fashion accessories.
marijuana dispensary;2;retail;marijuana dispensary;;;;;A store legally selling cannabis products.
clothing store;3;retail;fashion retail;clothing store;;;;A shop selling clothes.
bosnian restaurant;4;dining and drinking;restaurant;eastern european restaurant;bosnian restaurant;;;A restaurant serving Bosnian cuisine.
goiano restaurant;6;dining and drinking;restaurant;latin american restaurant;south american restaurant;brazilian restaurant;goiano restaurant;A restaurant serving Goiano cuisine from Goiás, Brazil.
print, tv, radio and outdoor advertising service;2;business and professional services;print, tv, radio and outdoor advertising service;;;;;A service creating advertisements for print, TV, radio, or outdoor media.
terreiro;3;community and government;spiritual center;terreiro;;;;A place for Afro-Brazilian religious ceremonies.
boat or ferry;2;travel and transportation;boat or ferry;;;;;A vessel used for water transport of people or goods.
swim school;4;sports and recreation;water sports;swimming;swim school;;;A school teaching swimming skills.
weight loss center;2;health and medicine;weight loss center;;;;;A facility providing programs to help people lose weight.
fountain;2;landmarks and outdoors;fountain;;;;;A decorative water feature that sprays or circulates water.
baseball field;3;sports and recreation;baseball;baseball field;;;;A field used for playing baseball.
goan restaurant;4;dining and drinking;restaurant;indian restaurant;goan restaurant;;;A restaurant serving Goan cuisine from Goa, India.
bagel shop;2;dining and drinking;bagel shop;;;;;A shop specializing in bagels and related products.
power plant;2;business and professional services;power plant;;;;;A facility that generates electricity.
other healthcare professional;2;health and medicine;other healthcare professional;;;;;A medical professional not otherwise categorized, such as therapists or technicians.
post office;3;community and government;government building;post office;;;;A facility providing mail services.
gujarati restaurant;4;dining and drinking;restaurant;indian restaurant;gujarati restaurant;;;A restaurant serving Gujarati cuisine from India.
burmese restaurant;4;dining and drinking;restaurant;asian restaurant;burmese restaurant;;;A restaurant serving Burmese cuisine.
college cricket pitch;4;community and government;education;college and university;college cricket pitch;;;A cricket field located on a college campus.
language school;3;community and government;education;language school;;;;A school teaching foreign or second languages.
trentino restaurant;4;dining and drinking;restaurant;italian restaurant;trentino restaurant;;;A restaurant serving cuisine from Trentino, Italy.
youth organization;3;community and government;organization;youth organization;;;;An organization providing activities or support for young people.
temple;3;community and government;spiritual center;temple;;;;A place of worship, typically in religions like Hinduism or Buddhism.
friterie;3;dining and drinking;restaurant;friterie;;;;A place selling fried foods, typically fries or snacks.
electric vehicle charging station;2;travel and transportation;electric vehicle charging station;;;;;A facility where electric vehicles can recharge their batteries.
northeast indian restaurant;4;dining and drinking;restaurant;indian restaurant;northeast indian restaurant;;;A restaurant serving cuisine from Northeast India.
hobby store;2;retail;hobby store;;;;;A shop selling materials for hobbies and crafts.
nursery school;3;community and government;education;nursery school;;;;A school for very young children, typically under age 5.
nutritionist;2;health and medicine;nutritionist;;;;;A professional providing dietary and nutrition advice.
bubble tea shop;3;dining and drinking;cafe, coffee, and tea house;bubble tea shop;;;;A shop serving bubble tea, a Taiwanese tea-based drink with tapioca pearls.
health food store;3;retail;food and beverage retail;health food store;;;;A store selling natural, organic, or health-oriented foods.
sports club;2;sports and recreation;sports club;;;;;An organization or facility for playing sports.
rhenisch restaurant;4;dining and drinking;restaurant;german restaurant;rhenisch restaurant;;;A restaurant serving cuisine from the Rhineland region of Germany.
warehouse or wholesale store;2;retail;warehouse or wholesale store;;;;;A large store selling goods in bulk.
stadium;2;arts and entertainment;stadium;;;;;A large venue for sports or events.
automation and control system;2;business and professional services;automation and control system;;;;;A system that automates industrial or mechanical processes.
apple wine pub;4;dining and drinking;restaurant;german restaurant;apple wine pub;;;A pub serving apple wine and related drinks.
cidery;2;dining and drinking;cidery;;;;;A place producing or selling cider.
veterans' organization;3;community and government;organization;veterans' organization;;;;An organization supporting military veterans.
korean restaurant;4;dining and drinking;restaurant;asian restaurant;korean restaurant;;;A restaurant serving Korean cuisine.
unagi restaurant;5;dining and drinking;restaurant;asian restaurant;japanese restaurant;unagi restaurant;;A restaurant specializing in eel dishes, common in Japan.
romagna restaurant;4;dining and drinking;restaurant;italian restaurant;romagna restaurant;;;A restaurant serving cuisine from Romagna, Italy.
bossam/jokbal restaurant;5;dining and drinking;restaurant;asian restaurant;korean restaurant;bossam/jokbal restaurant;;A restaurant serving Korean pork dishes bossam or jokbal.
jazz and blues venue;4;arts and entertainment;performing arts venue;music venue;jazz and blues venue;;;A venue hosting live jazz and blues music performances.
yakitori restaurant;5;dining and drinking;restaurant;asian restaurant;japanese restaurant;yakitori restaurant;;A restaurant serving Japanese skewered grilled chicken.
non-profit organization;3;community and government;organization;non-profit organization;;;;An organization that operates for public or social benefit rather than profit.
arts and crafts store;2;retail;arts and crafts store;;;;;A shop selling art supplies and craft materials.
african restaurant;3;dining and drinking;restaurant;african restaurant;;;;A restaurant serving African cuisine.
dam;2;landmarks and outdoors;dam;;;;;A barrier built to hold back water.
field;2;landmarks and outdoors;field;;;;;An open area of land used for agriculture, sports, or other purposes.
tonkatsu restaurant;5;dining and drinking;restaurant;asian restaurant;japanese restaurant;tonkatsu restaurant;;A restaurant serving Japanese breaded and fried pork cutlets.
police station;4;community and government;government building;law enforcement and public safety;police station;;;A facility housing police officers and administration.
food stand;2;dining and drinking;food stand;;;;;A small setup selling food, often street food.
northeastern brazilian restaurant;6;dining and drinking;restaurant;latin american restaurant;south american restaurant;brazilian restaurant;northeastern brazilian restaurant;A restaurant serving cuisine from Northeast Brazil.
apartment or condo;3;community and government;residential building;apartment or condo;;;;A residential unit in a larger building or complex.
movie theater;2;arts and entertainment;movie theater;;;;;A venue where films are shown.
legal service;2;business and professional services;legal service;;;;;A service providing legal advice or representation.
memorial site;2;landmarks and outdoors;memorial site;;;;;A location dedicated to remembering people or events.
nurse;2;health and medicine;nurse;;;;;A healthcare professional providing patient care.
gluten-free restaurant;3;dining and drinking;restaurant;gluten-free restaurant;;;;A restaurant serving food without gluten ingredients.
corsican restaurant;4;dining and drinking;restaurant;french restaurant;corsican restaurant;;;A restaurant serving cuisine from Corsica, France.
hockey rink;3;sports and recreation;hockey;hockey rink;;;;An arena or surface for playing hockey.
airport service;4;travel and transportation;transport hub;airport;airport service;;;Services provided at an airport for travelers or aircraft.
fish taverna;4;dining and drinking;restaurant;greek restaurant;fish taverna;;;A restaurant serving fish and seafood, typically Mediterranean style.
body piercing shop;3;business and professional services;health and beauty service;body piercing shop;;;;A shop providing body piercing services.
photography studio;3;business and professional services;photography service;photography studio;;;;A studio for taking professional photographs.
motorsports store;3;retail;automotive retail;motorsports store;;;;A shop selling equipment or merchandise for motorsports.
russian restaurant;3;dining and drinking;restaurant;russian restaurant;;;;A restaurant serving Russian cuisine.
baseball store;3;retail;sporting goods retail;baseball store;;;;A store selling baseball equipment and apparel.
polish restaurant;3;dining and drinking;restaurant;polish restaurant;;;;A restaurant serving Polish cuisine.
bingo center;2;arts and entertainment;bingo center;;;;;A venue where bingo games are played.
palace;2;landmarks and outdoors;palace;;;;;A large and impressive building, typically a royal residence.
stoop sale;3;event;marketplace;stoop sale;;;;A small, informal sale of items outside a home, similar to a garage sale.
roller rink;2;arts and entertainment;roller rink;;;;;A venue for roller skating.
other event;2;event;other event;;;;;A general term for an event not categorized elsewhere.
shoe store;3;retail;fashion retail;shoe store;;;;A store selling shoes.
garden;2;landmarks and outdoors;garden;;;;;An outdoor area with plants and flowers.
chaat place;4;dining and drinking;restaurant;indian restaurant;chaat place;;;A shop or stand serving chaat, an Indian street food.
recycling facility;2;business and professional services;recycling facility;;;;;A place where materials are collected and processed for recycling.
wine store;3;retail;food and beverage retail;wine store;;;;A shop selling wine and related beverages.
airport food court;4;travel and transportation;transport hub;airport;airport food court;;;A section of an airport with multiple food vendors.
college technology building;4;community and government;education;college and university;college technology building;;;A campus building housing technology or engineering departments.
cigkofte place;4;dining and drinking;restaurant;turkish restaurant;cigkofte place;;;A shop serving çiğ köfte, a Turkish dish made with raw ingredients.
janguh restaurant;5;dining and drinking;restaurant;asian restaurant;korean restaurant;janguh restaurant;;A restaurant serving Janguh cuisine (specific or regional Korean dishes).
poke restaurant;4;dining and drinking;restaurant;hawaiian restaurant;poke restaurant;;;A restaurant serving Hawaiian-style poke bowls with raw fish.
australian restaurant;3;dining and drinking;restaurant;australian restaurant;;;;A restaurant serving Australian cuisine.
filipino restaurant;4;dining and drinking;restaurant;asian restaurant;filipino restaurant;;;A restaurant serving Filipino cuisine.
volleyball court;2;sports and recreation;volleyball court;;;;;A court for playing volleyball.
curling ice;2;sports and recreation;curling ice;;;;;An ice surface for playing curling.
doctor's office;3;health and medicine;physician;doctor's office;;;;A facility where a physician sees and treats patients.
concert hall;3;arts and entertainment;performing arts venue;concert hall;;;;A venue for live music performances.
law enforcement and public safety;3;community and government;government building;law enforcement and public safety;;;;Organizations providing policing, fire, or safety services.
college soccer field;4;community and government;education;college and university;college soccer field;;;A soccer field located on a college campus.
huaiyang restaurant;5;dining and drinking;restaurant;asian restaurant;chinese restaurant;huaiyang restaurant;;A restaurant serving Huaiyang cuisine from China.
bank;4;business and professional services;financial service;banking and finance;bank;;;A financial institution managing money and transactions.
private airport;4;travel and transportation;transport hub;airport;private airport;;;An airport used privately, often for personal or corporate planes.
ski chairlift;4;sports and recreation;snow sports;ski resort and area;ski chairlift;;;A lift carrying skiers up a slope.
lodging;2;travel and transportation;lodging;;;;;Accommodation where travelers can stay overnight.
indian chinese restaurant;3;dining and drinking;restaurant;indian chinese restaurant;;;;A restaurant serving a fusion of Indian and Chinese cuisine.
performing arts venue;2;arts and entertainment;performing arts venue;;;;;A location where live performances such as theater, dance, or music take place.
train;2;travel and transportation;train;;;;;A series of connected vehicles traveling on railways for transporting people or goods.
night club;2;arts and entertainment;night club;;;;;An entertainment venue open at night, often with music, dancing, and drinks.
gozleme place;4;dining and drinking;restaurant;turkish restaurant;gozleme place;;;A shop or restaurant serving gozleme, a traditional Turkish flatbread with fillings.
tree service;3;business and professional services;home improvement service;tree service;;;;A business providing tree care, maintenance, or removal.
sporting goods retail;2;retail;sporting goods retail;;;;;A store selling equipment and apparel for sports.
culinary school;3;community and government;education;culinary school;;;;An educational institution teaching cooking and food preparation skills.
moving target;2;travel and transportation;moving target;;;;;An object or person in motion used for shooting practice or metaphorically as a changing goal.
tanning salon;3;business and professional services;health and beauty service;tanning salon;;;;A facility offering tanning beds or spray tans.
disabled persons service;2;community and government;disabled persons service;;;;;Services specifically assisting people with disabilities.
soccer stadium;3;arts and entertainment;stadium;soccer stadium;;;;A stadium used for playing or watching soccer.
creative service;2;business and professional services;creative service;;;;;A business providing design, art, or media production services.
mac and cheese joint;3;dining and drinking;restaurant;mac and cheese joint;;;;A restaurant specializing in macaroni and cheese dishes.
film studio;2;business and professional services;film studio;;;;;A facility where movies or television shows are produced.
homeless shelter;2;community and government;homeless shelter;;;;;A facility providing temporary housing and support for homeless individuals.
mineiro restaurant;6;dining and drinking;restaurant;latin american restaurant;south american restaurant;brazilian restaurant;mineiro restaurant;A restaurant serving cuisine from Minas Gerais, Brazil.
tsipouro restaurant;4;dining and drinking;restaurant;greek restaurant;tsipouro restaurant;;;A restaurant serving Greek tsipouro, a distilled spirit, often with small dishes.
campground;2;landmarks and outdoors;campground;;;;;An area designated for camping with tents or RVs.
gastroenterologist;3;health and medicine;physician;gastroenterologist;;;;A medical specialist treating digestive system disorders.
american restaurant;3;dining and drinking;restaurant;american restaurant;;;;A restaurant serving American cuisine.
college arts building;4;community and government;education;college and university;college arts building;;;A college building housing art studios, classrooms, or galleries.
garden center;2;retail;garden center;;;;;A retail location selling plants, gardening tools, and landscaping supplies.
ambulance service;3;health and medicine;emergency service;ambulance service;;;;A service providing emergency medical transport.
café;3;dining and drinking;cafe, coffee, and tea house;café;;;;A small restaurant serving coffee, beverages, and light meals.
athletic field;2;sports and recreation;athletic field;;;;;An outdoor area designated for sports or physical activities.
molise restaurant;4;dining and drinking;restaurant;italian restaurant;molise restaurant;;;A restaurant serving cuisine from Molise, Italy.
event;1;event;;;;;;A planned public or social occasion.
greek restaurant;3;dining and drinking;restaurant;greek restaurant;;;;A restaurant serving Greek cuisine.
beer bar;3;dining and drinking;bar;beer bar;;;;A bar specializing in serving beer.
vr cafe;2;arts and entertainment;vr cafe;;;;;A café offering virtual reality gaming or experiences.
trade fair;3;event;marketplace;trade fair;;;;An event where businesses showcase products or services.
banking and finance;3;business and professional services;financial service;banking and finance;;;;Institutions and services related to money management and investment.
utility company;2;community and government;utility company;;;;;A company providing essential services such as electricity, water, or gas.
dry cleaner;3;business and professional services;health and beauty service;dry cleaner;;;;A service that cleans clothes using chemical solvents.
peruvian roast chicken joint;6;dining and drinking;restaurant;latin american restaurant;south american restaurant;peruvian restaurant;peruvian roast chicken joint;A restaurant specializing in Peruvian-style roast chicken.
toll booth;2;travel and transportation;toll booth;;;;;A structure where drivers pay fees to use a road or bridge.
conference room;3;business and professional services;convention center;conference room;;;;A room designated for meetings or presentations.
lebanese restaurant;4;dining and drinking;restaurant;middle eastern restaurant;lebanese restaurant;;;A restaurant serving Lebanese cuisine.
used bookstore;3;retail;bookstore;used bookstore;;;;A shop selling secondhand books.
thai restaurant;4;dining and drinking;restaurant;asian restaurant;thai restaurant;;;A restaurant serving Thai cuisine.
race track;2;sports and recreation;race track;;;;;A track for racing vehicles or animals.
photography service;2;business and professional services;photography service;;;;;A business providing professional photography.
website designer;3;business and professional services;technology business;website designer;;;;A professional or service that creates and maintains websites.
rugby pitch;3;sports and recreation;rugby;rugby pitch;;;;A field designated for playing rugby.
real estate appraiser;3;business and professional services;real estate service;real estate appraiser;;;;A professional assessing property values.
food and beverage service;2;business and professional services;food and beverage service;;;;;Businesses providing meals, snacks, or drinks.
boarding house;3;travel and transportation;lodging;boarding house;;;;A residential building offering rooms and sometimes meals for rent.
breton restaurant;4;dining and drinking;restaurant;french restaurant;breton restaurant;;;A restaurant serving cuisine from Brittany, France.
ticket seller;2;arts and entertainment;ticket seller;;;;;A person or business selling tickets for events or transport.
jewish restaurant;3;dining and drinking;restaurant;jewish restaurant;;;;A restaurant serving traditional Jewish cuisine.
agriturismo;4;dining and drinking;restaurant;italian restaurant;agriturismo;;;A farm offering accommodations and meals, often in Italy.
entertainment event;2;event;entertainment event;;;;;An organized event providing amusement or recreation.
sardinian restaurant;4;dining and drinking;restaurant;italian restaurant;sardinian restaurant;;;A restaurant serving cuisine from Sardinia, Italy.
running club;3;sports and recreation;running and track;running club;;;;An organization or group dedicated to running as a sport or hobby.
general college & university;4;community and government;education;college and university;general college & university;;;A post-secondary educational institution providing a broad range of programs.
country dance club;2;arts and entertainment;country dance club;;;;;A venue offering country-style dance and music.
event service;2;business and professional services;event service;;;;;A company providing planning, coordination, or support for events.
tour provider;3;travel and transportation;tourist information and service;tour provider;;;;A business organizing and offering guided tours.
takoyaki place;5;dining and drinking;restaurant;asian restaurant;japanese restaurant;takoyaki place;;A shop serving takoyaki, Japanese octopus balls.
road;2;travel and transportation;road;;;;;A paved path for vehicles and pedestrians.
venezuelan restaurant;5;dining and drinking;restaurant;latin american restaurant;south american restaurant;venezuelan restaurant;;A restaurant serving Venezuelan cuisine.
print store;2;retail;print store;;;;;A shop providing printing services or products.
logging service;2;business and professional services;logging service;;;;;A business involved in cutting, transporting, or processing timber.
kingdom hall;3;community and government;spiritual center;kingdom hall;;;;A building used for worship by Jehovah's Witnesses.
labour canteen;4;dining and drinking;restaurant;french restaurant;labour canteen;;;A cafeteria serving meals to workers.
erotic museum;3;arts and entertainment;museum;erotic museum;;;;A museum exhibiting artwork or artifacts related to human sexuality.
flea market;2;retail;flea market;;;;;A market where secondhand goods are sold.
football field;3;sports and recreation;football;football field;;;;A field used for playing football (soccer or American football depending on context).
teishoku restaurant;5;dining and drinking;restaurant;asian restaurant;japanese restaurant;teishoku restaurant;;A restaurant serving Japanese set meals called teishoku.
scenic lookout;2;landmarks and outdoors;scenic lookout;;;;;A designated area offering views of natural or urban landscapes.
dance store;2;retail;dance store;;;;;A shop selling dance apparel, shoes, and accessories.
market;2;retail;market;;;;;A place where goods are bought and sold.
swimming pool supply store;2;retail;swimming pool supply store;;;;;A shop selling equipment and chemicals for swimming pools.
college administrative building;4;community and government;education;college and university;college administrative building;;;A building housing administrative offices on a college campus.
brasserie;4;dining and drinking;restaurant;french restaurant;brasserie;;;A French-style restaurant serving hearty food and drinks.
parking;2;travel and transportation;parking;;;;;A designated area for leaving vehicles temporarily.
latin american restaurant;3;dining and drinking;restaurant;latin american restaurant;;;;A restaurant serving cuisine from Latin America.
yunnan restaurant;5;dining and drinking;restaurant;asian restaurant;chinese restaurant;yunnan restaurant;;A restaurant serving Yunnan cuisine from China.
brewery;2;dining and drinking;brewery;;;;;A facility where beer is produced and sometimes sold.
psychologist;3;health and medicine;mental health service;psychologist;;;;A professional providing mental health services and therapy.
medical lab;2;health and medicine;medical lab;;;;;A laboratory conducting medical tests and analyses.
security and safety;2;business and professional services;security and safety;;;;;Services or organizations providing protection and safety measures.
hill;2;landmarks and outdoors;hill;;;;;A naturally raised area of land, smaller than a mountain.
travel and transportation;1;travel and transportation;;;;;;Services and businesses related to moving people or goods.
pastelaria;6;dining and drinking;restaurant;latin american restaurant;south american restaurant;brazilian restaurant;pastelaria;A shop specializing in pastries, often Portuguese-style.
vape store;2;retail;vape store;;;;;A store selling electronic cigarettes and vaping products.
doors and windows contractor;3;business and professional services;home improvement service;doors and windows contractor;;;;A business installing or repairing doors and windows.
moroccan restaurant;3;dining and drinking;restaurant;moroccan restaurant;;;;A restaurant serving Moroccan cuisine.
sri lankan restaurant;3;dining and drinking;restaurant;sri lankan restaurant;;;;A restaurant serving Sri Lankan cuisine.
samgyetang restaurant;5;dining and drinking;restaurant;asian restaurant;korean restaurant;samgyetang restaurant;;A restaurant serving Korean ginseng chicken soup called samgyetang.
planetarium;2;arts and entertainment;planetarium;;;;;A facility with a domed theater projecting images of stars and planets.
party center;2;arts and entertainment;party center;;;;;A venue hosting parties and celebrations.
guizhou restaurant;5;dining and drinking;restaurant;asian restaurant;chinese restaurant;guizhou restaurant;;A restaurant serving cuisine from Guizhou, China.
home improvement service;2;business and professional services;home improvement service;;;;;A business providing renovation or repair services for homes.
oncologist;3;health and medicine;physician;oncologist;;;;A doctor specializing in the treatment of cancer.
arepa restaurant;4;dining and drinking;restaurant;latin american restaurant;arepa restaurant;;;A restaurant serving arepas, a type of cornmeal cake popular in Venezuela and Colombia.
moped dealership;3;retail;automotive retail;moped dealership;;;;A shop selling mopeds and small motorbikes.
attraction;3;arts and entertainment;amusement park;attraction;;;;A place or event that draws visitors, such as a tourist site or amusement.
other nightlife;2;nightlife spot;other nightlife;;;;;Entertainment venues or activities operating at night that don't fit typical categories.
jewelry store;3;retail;fashion retail;jewelry store;;;;A shop selling jewelry such as rings, necklaces, and watches.
gym pool;3;sports and recreation;gym and studio;gym pool;;;;A swimming pool located within a gym or fitness center.
picnic shelter;2;landmarks and outdoors;picnic shelter;;;;;A covered outdoor structure providing shade and seating for picnics.
jegaraki;5;dining and drinking;restaurant;middle eastern restaurant;persian restaurant;jegaraki;;A place serving Jegaraki, a regional or traditional dish (context-specific).
garage door supplier;3;business and professional services;home improvement service;garage door supplier;;;;A business selling and installing garage doors.
taiwanese restaurant;5;dining and drinking;restaurant;asian restaurant;chinese restaurant;taiwanese restaurant;;A restaurant serving Taiwanese cuisine.
park;2;landmarks and outdoors;park;;;;;A public outdoor area for recreation and leisure.
exhibit;2;arts and entertainment;exhibit;;;;;A public display of art, artifacts, or information.
tattoo parlor;3;business and professional services;health and beauty service;tattoo parlor;;;;A studio where tattoos are designed and applied.
hockey field;3;sports and recreation;hockey;hockey field;;;;A field used for playing field hockey or ice hockey depending on context.
gaming cafe;2;arts and entertainment;gaming cafe;;;;;A café offering video games, board games, or e-sports activities.
perfume store;2;retail;perfume store;;;;;A shop selling fragrances and perfumes.
disc golf course;2;arts and entertainment;disc golf course;;;;;A designated area for playing disc golf.
manadonese restaurant;5;dining and drinking;restaurant;asian restaurant;indonesian restaurant;manadonese restaurant;;A restaurant serving cuisine from Manado, Indonesia.
central brazilian restaurant;6;dining and drinking;restaurant;latin american restaurant;south american restaurant;brazilian restaurant;central brazilian restaurant;A restaurant serving cuisine from central Brazil.
trade school;3;community and government;education;trade school;;;;An educational institution focused on vocational skills.
chinese restaurant;4;dining and drinking;restaurant;asian restaurant;chinese restaurant;;;A restaurant serving Chinese cuisine.
canoe and kayak rental;3;sports and recreation;water sports;canoe and kayak rental;;;;A service providing canoes and kayaks for rent.
reservoir;2;landmarks and outdoors;reservoir;;;;;A natural or artificial lake used to store water.
cambodian restaurant;4;dining and drinking;restaurant;asian restaurant;cambodian restaurant;;;A restaurant serving Cambodian cuisine.
business center;2;business and professional services;business center;;;;;A facility offering office services and support for businesses.
pet supplies store;2;retail;pet supplies store;;;;;A store selling products for pets, such as food and toys.
heliport;3;travel and transportation;transport hub;heliport;;;;A landing area designed for helicopters.
psychic and astrologer;2;arts and entertainment;psychic and astrologer;;;;;A service providing psychic readings or astrological consultations.
bulgarian restaurant;4;dining and drinking;restaurant;eastern european restaurant;bulgarian restaurant;;;A restaurant serving Bulgarian cuisine.
art school;3;community and government;education;art school;;;;An educational institution teaching visual or performing arts.
real estate development and title company;3;business and professional services;real estate service;real estate development and title company;;;;A company managing property development and legal property titles.
german pop-up restaurant;4;dining and drinking;restaurant;german restaurant;german pop-up restaurant;;;A temporary restaurant serving German cuisine.
climbing gym;3;sports and recreation;gym and studio;climbing gym;;;;An indoor facility with climbing walls and training equipment.
salvadoran restaurant;4;dining and drinking;restaurant;latin american restaurant;salvadoran restaurant;;;A restaurant serving cuisine from El Salvador.
tech startup;3;business and professional services;office;tech startup;;;;A newly founded company focused on technology products or services.
cultural center;2;community and government;cultural center;;;;;A facility promoting arts, culture, and community activities.
cuban restaurant;4;dining and drinking;restaurant;caribbean restaurant;cuban restaurant;;;A restaurant serving Cuban cuisine.
laboratory;2;business and professional services;laboratory;;;;;A facility for scientific research or testing.
theme restaurant;3;dining and drinking;restaurant;theme restaurant;;;;A restaurant designed around a specific theme or concept.
lottery retailer;2;business and professional services;lottery retailer;;;;;A business authorized to sell lottery tickets.
pachinko parlor;2;arts and entertainment;pachinko parlor;;;;;A gaming venue in Japan featuring pachinko machines.
yemeni restaurant;4;dining and drinking;restaurant;middle eastern restaurant;yemeni restaurant;;;A restaurant serving Yemeni cuisine.
vineyard;2;dining and drinking;vineyard;;;;;A plantation where grapes are grown for wine production.
tabbakhi;5;dining and drinking;restaurant;middle eastern restaurant;persian restaurant;tabbakhi;;A restaurant or place specializing in Tabbakhi, a Middle Eastern meat dish (context-specific).
plane;4;travel and transportation;transport hub;airport;plane;;;A powered flying vehicle with fixed wings.
volcano;2;landmarks and outdoors;volcano;;;;;A natural mountain formation that can erupt molten rock, ash, and gases.
manufacturer;2;business and professional services;manufacturer;;;;;A company producing goods or products from raw materials.
chiropractor;2;health and medicine;chiropractor;;;;;A healthcare professional specializing in musculoskeletal treatment, especially the spine.
racquetball club;3;sports and recreation;racquet sports;racquetball club;;;;A facility where racquetball is played and practiced.
karnataka restaurant;4;dining and drinking;restaurant;indian restaurant;karnataka restaurant;;;A restaurant serving cuisine from Karnataka, India.
national park;3;landmarks and outdoors;park;national park;;;;A protected natural area preserved for wildlife and recreation.
dosa place;4;dining and drinking;restaurant;indian restaurant;dosa place;;;A restaurant serving dosa, a South Indian crepe made from rice batter and lentils.
college gym;4;community and government;education;college and university;college gym;;;A gym facility located within a college or university campus.
floating market;2;retail;floating market;;;;;A market where goods are sold from boats on water.
factory;2;business and professional services;factory;;;;;A building where goods are manufactured or assembled.
internal medicine doctor;3;health and medicine;physician;internal medicine doctor;;;;A medical specialist treating adults for a variety of internal conditions.
port;2;travel and transportation;port;;;;;A harbor where ships load and unload cargo or passengers.
campaign office;3;business and professional services;office;campaign office;;;;A location used for political campaign activities.
women's health clinic;2;health and medicine;women's health clinic;;;;;A healthcare facility specializing in medical care for women.
football;2;sports and recreation;football;;;;;A sport played by two teams, can refer to American football or soccer depending on context.
