word,definition_en
park,A public outdoor area for recreation and leisure.
exhibit,"A public display of art, artifacts, or information."
tattoo parlor,A studio where tattoos are designed and applied.
hockey field,A field used for playing field hockey or ice hockey depending on context.
gaming cafe,"A café offering video games, board games, or e-sports activities."
perfume store,A shop selling fragrances and perfumes.
disc golf course,A designated area for playing disc golf.
manadonese restaurant,"A restaurant serving cuisine from Manado, Indonesia."
central brazilian restaurant,A restaurant serving cuisine from central Brazil.
trade school,An educational institution focused on vocational skills.
chinese restaurant,A restaurant serving Chinese cuisine.
canoe and kayak rental,A service providing canoes and kayaks for rent.
reservoir,A natural or artificial lake used to store water.
cambodian restaurant,A restaurant serving Cambodian cuisine.
business center,A facility offering office services and support for businesses.
pet supplies store,"A store selling products for pets, such as food and toys."
heliport,A landing area designed for helicopters.
psychic and astrologer,A service providing psychic readings or astrological consultations.
bulgarian restaurant,A restaurant serving Bulgarian cuisine.
art school,An educational institution teaching visual or performing arts.
real estate development and title company,A company managing property development and legal property titles.
german pop-up restaurant,A temporary restaurant serving German cuisine.
climbing gym,An indoor facility with climbing walls and training equipment.
salvadoran restaurant,A restaurant serving cuisine from El Salvador.
tech startup,A newly founded company focused on technology products or services.
cultural center,"A facility promoting arts, culture, and community activities."
cuban restaurant,A restaurant serving Cuban cuisine.
laboratory,A facility for scientific research or testing.
theme restaurant,A restaurant designed around a specific theme or concept.
lottery retailer,A business authorized to sell lottery tickets.
pachinko parlor,A gaming venue in Japan featuring pachinko machines.
yemeni restaurant,A restaurant serving Yemeni cuisine.
vineyard,A plantation where grapes are grown for wine production.
tabbakhi,"A restaurant or place specializing in Tabbakhi, a Middle Eastern meat dish (context-specific)."
plane,A powered flying vehicle with fixed wings.
volcano,"A natural mountain formation that can erupt molten rock, ash, and gases."
manufacturer,A company producing goods or products from raw materials.
chiropractor,"A healthcare professional specializing in musculoskeletal treatment, especially the spine."
racquetball club,A facility where racquetball is played and practiced.
karnataka restaurant,"A restaurant serving cuisine from Karnataka, India."
national park,A protected natural area preserved for wildlife and recreation.
dosa place,"A restaurant serving dosa, a South Indian crepe made from rice batter and lentils."
college gym,A gym facility located within a college or university campus.
floating market,A market where goods are sold from boats on water.
factory,A building where goods are manufactured or assembled.
internal medicine doctor,A medical specialist treating adults for a variety of internal conditions.
port,A harbor where ships load and unload cargo or passengers.
campaign office,A location used for political campaign activities.
women's health clinic,A healthcare facility specializing in medical care for women.
football,"A sport played by two teams, can refer to American football or soccer depending on context."
baiano restaurant,"A restaurant serving cuisine from Bahia, Brazil."
soccer,A team sport played with a round ball primarily using feet.
forest,A large area densely covered with trees and vegetation.
radiologist,A medical specialist using imaging techniques to diagnose and treat diseases.
fast food restaurant,"A restaurant serving quickly prepared meals, often for takeout."
dance studio,A facility where dance classes and practice sessions are held.
surf spot,A location suitable for surfing waves.
batting cages,Enclosed areas where baseball or softball players practice hitting balls.
intersection,A location where two or more roads cross.
country,A nation with defined borders and government.
hunting area,A designated area where hunting is permitted.
caterer,A business providing food services for events or gatherings.
kumru restaurant,"A restaurant serving Kumru, a Turkish sandwich specialty."
costume store,"A shop selling costumes for events, theater, or parties."
carnival,"A public festival with rides, games, and entertainment."
south american restaurant,A restaurant serving cuisine from South America.
empanada restaurant,"A restaurant specializing in empanadas, stuffed pastries popular in Latin America."
marketplace,A place where goods and services are bought and sold.
peruvian restaurant,A restaurant serving Peruvian cuisine.
karaoke box,A private room facility for singing karaoke with friends.
audiovisual service,"A business providing video, audio, or multimedia production services."
nightlife spot,A venue offering evening or nighttime entertainment.
truck stop,A rest area with services for truck drivers.
beijing restaurant,"A restaurant serving cuisine from Beijing, China."
veterinarian,A medical professional specializing in animal health care.
religious school,An educational institution providing religious instruction.
photographer,A professional capturing images with a camera for artistic or commercial purposes.
record store,A retail shop selling music records and related items.
eastern european restaurant,A restaurant serving cuisine from Eastern Europe.
sushi restaurant,A restaurant serving Japanese sushi dishes.
çöp şiş place,"A restaurant serving çöp şiş, a type of Turkish grilled meat skewer."
yoshoku restaurant,"A restaurant serving yoshoku, Western-influenced Japanese cuisine."
indonesian restaurant,A restaurant serving Indonesian cuisine.
church,A building used for Christian worship services.
food court,An area with multiple food vendors offering different cuisines.
college residence hall,A dormitory or living facility for college students.
construction supplies store,A shop selling materials and tools for building and construction.
paintball field,An outdoor or indoor area designated for paintball games.
car wash and detail,A business providing vehicle cleaning and detailing services.
bougatsa shop,"A shop serving bougatsa, a Greek pastry with sweet or savory filling."
imperial restaurant,A restaurant with a luxurious theme or serving high-end cuisine.
churrascaria,A Brazilian steakhouse specializing in grilled meats.
zoo exhibit,A display or habitat of animals in a zoo.
art gallery,A place where art is exhibited and sometimes sold.
city hall,The administrative building of a city government.
badminton court,A designated indoor or outdoor area for playing badminton.
sikh temple,A place of worship for followers of Sikhism.
bus station,A facility where buses pick up and drop off passengers.
social club,An organization where people meet for social activities.
gun store,A retail shop selling firearms and related accessories.
"shipping, freight, and material transportation service",A business providing transport of goods and cargo.
music store,A retail shop selling musical instruments and related equipment.
government department,A division of government responsible for specific public services.
assisted living service,A residential service providing support to elderly or disabled individuals.
sports and recreation,Facilities or services supporting athletic and recreational activities.
camera store,"A retail shop selling cameras, lenses, and photography equipment."
new car dealership,A business selling brand-new vehicles.
beach bar,"A bar located on or near a beach, often serving drinks and snacks."
hospital unit,A specialized department within a hospital.
polling place,A location where citizens go to vote in elections.
puglia restaurant,A restaurant serving cuisine from the Puglia region of Italy.
egyptian restaurant,A restaurant serving Egyptian cuisine.
gilaki restaurant,"A restaurant serving cuisine from Gilan, Iran."
confucian temple,A place of worship and learning dedicated to Confucianism.
pakistani restaurant,A restaurant serving Pakistani cuisine.
hockey club,An organization supporting hockey teams and players.
indonesian meatball restaurant,A restaurant serving Indonesian meatball dishes.
candy store,A retail shop selling sweets and confectioneries.
satay restaurant,"A restaurant serving satay, skewered and grilled meat."
football stadium,A large outdoor arena used for football matches.
ski store,A shop selling ski equipment and clothing.
transmissions shop,A garage specializing in vehicle transmission repairs.
dermatologist,"A medical specialist focusing on skin, hair, and nails."
farm,A tract of land used for agriculture or livestock.
baseball,A team sport played with a bat and ball.
geriatric doctor,A physician specializing in healthcare for elderly patients.
speakeasy,"A hidden or illicit bar, historically associated with Prohibition."
college lab,A laboratory facility on a college campus for scientific work.
men's store,A retail shop selling men's clothing and accessories.
podiatrist,A healthcare professional specializing in foot and ankle care.
hostel,A budget accommodation offering shared rooms and facilities.
convenience store,A small retail shop selling everyday items.
street fair,"A public outdoor event featuring vendors, entertainment, and food."
bowling alley,A facility for playing the sport of bowling.
assisted living,Residential care providing support for daily activities.
paella restaurant,"A restaurant specializing in paella, a Spanish rice dish."
college engineering building,A building on campus housing engineering classes and labs.
video store,A retail shop renting or selling movies and video games.
amphitheater,An open-air venue for performances and events.
town hall,The administrative building for a town's government.
county,A regional administrative division within a state or country.
comfort food restaurant,"A restaurant serving familiar, hearty, and home-style dishes."
mental health clinic,A facility providing psychological or psychiatric care.
cannabis store,A retail shop selling legal cannabis products.
hindu temple,A place of worship for followers of Hinduism.
pelmeni house,"A restaurant specializing in pelmeni, Russian dumplings."
human resources agency,An organization providing employment and staffing services.
college stadium,A stadium located on a college campus for sports and events.
tailor,"A professional who makes, repairs, or alters clothing."
funeral home,A business providing funeral services and arrangements.
corporate amenity,A facility or service provided for employees in a corporate environment.
lingerie store,A retail shop selling women's undergarments and sleepwear.
shandong restaurant,"A restaurant serving cuisine from Shandong, China."
spa,A facility offering wellness treatments such as massages and beauty services.
general entertainment,Venues or activities offering recreational or leisure experiences.
massage clinic,A facility providing therapeutic massage services.
event space,"A venue used to host social, cultural, or business events."
auto workshop,A garage providing vehicle maintenance and repairs.
mountain,A large natural elevation of the earth's surface.
padangnese restaurant,"A restaurant serving cuisine from Padang, Indonesia."
office building,A building primarily used for business offices.
credit union,A member-owned financial cooperative providing banking services.
colombian restaurant,A restaurant serving Colombian cuisine.
circus school,An institution teaching circus arts and performance skills.
board store,"A retail shop selling skateboards, surfboards, or snowboards."
mountain hut,A small shelter in the mountains for travelers or hikers.
home (private),A private residence or dwelling.
juice bar,A café or store serving fresh fruit and vegetable juices.
kale pache place,"A restaurant specializing in Kale Pache, a traditional Middle Eastern soup."
travel agency,"A business arranging travel, tours, and accommodations."
jiangxi restaurant,"A restaurant serving cuisine from Jiangxi, China."
anhui restaurant,"A restaurant serving cuisine from Anhui, China."
renewable energy service,"A business providing services related to solar, wind, or other renewable energy sources."
hotel,"A commercial establishment providing lodging, meals, and other services."
kokoreç restaurant,"A restaurant serving kokoreç, a Turkish dish made from lamb intestines."
restaurant,A place where meals are prepared and served to customers.
wine bar,A bar specializing in serving wine.
swabian restaurant,A restaurant serving cuisine from the Swabia region of Germany.
carpet and flooring contractor,"A business installing carpets, rugs, and flooring materials."
community and government,Services provided by local government or community organizations.
taxi stand,A designated area where taxis wait for passengers.
bed and breakfast,A small lodging offering overnight stays and breakfast.
punjabi restaurant,A restaurant serving cuisine from the Punjab region.
provençal restaurant,"A restaurant serving cuisine from Provence, France."
indie movie theater,A cinema showing independent or non-mainstream films.
health and medicine,Facilities or services related to medical care and health.
bakery,"A shop producing and selling bread, pastries, and cakes."
norman restaurant,"A restaurant serving cuisine from Normandy, France."
emergency room,A hospital department providing urgent medical care.
multicuisine indian restaurant,An Indian restaurant offering dishes from multiple regional cuisines.
urban park,A public park located within a city.
international airport,An airport handling international flights and passengers.
shanxi restaurant,A restaurant serving cuisine from the Shanxi region of China.
adult store,A retail shop selling adult products and entertainment.
swimming pool maintenance and service,"Services for cleaning, repairing, and maintaining swimming pools."
ski resort and area,A resort and surrounding area offering skiing and snowboarding.
running and track,Facilities for running and track sports.
football club,An organization supporting football teams and players.
obstetrician gynecologist (ob-gyn),"A doctor specializing in pregnancy, childbirth, and female reproductive health."
turkish restaurant,A restaurant serving Turkish cuisine.
optometrist,A healthcare professional providing eye exams and vision care.
farmers market,A market where local farmers sell fresh produce and goods.
swimwear store,A retail shop selling swimsuits and beachwear.
physician,A medical doctor providing general or specialized care.
rail station,A facility where trains stop to pick up and drop off passengers.
public relations firm,A company managing communication and public image for clients.
respiratory doctor,A physician specializing in lung and respiratory health.
soup spot,A restaurant or café specializing in soup dishes.
ice cream parlor,A shop serving ice cream and frozen desserts.
fishing store,A retail shop selling fishing gear and equipment.
dessert shop,A shop specializing in sweets and desserts.
baggage locker,A secure storage facility for travelers’ luggage.
software company,A business developing or selling software products.
ligurian restaurant,A restaurant serving cuisine from the Liguria region of Italy.
financial planner,A professional providing financial advice and planning services.
cocktail bar,A bar specializing in mixed alcoholic drinks.
picnic area,An outdoor area equipped for picnics.
charity,An organization focused on providing help and support to those in need.
food distribution center,A facility where food is stored and distributed to retailers or the public.
college basketball court,A basketball court located on a college campus.
college football field,A football field located on a college campus.
donburi restaurant,"A restaurant specializing in donburi, a Japanese rice bowl dish."
village,A small settlement or community in a rural area.
waterfront,"An area located along a body of water, often developed for recreation or business."
mamak restaurant,A restaurant serving Malaysian-style Indian Muslim cuisine.
japanese curry restaurant,A restaurant specializing in Japanese-style curry dishes.
college rec center,A recreational facility on a college campus offering fitness and sports amenities.
batik store,A retail shop selling batik textiles and clothing.
metals supplier,A business providing metals and metal products for industry or construction.
creperie,A restaurant or café specializing in crepes.
zhejiang restaurant,"A restaurant serving cuisine from Zhejiang, China."
college academic building,A building on a college campus used for teaching and classrooms.
college communications building,A campus building housing communications-related departments and facilities.
belarusian restaurant,A restaurant serving cuisine from Belarus.
ouzeri,A Greek restaurant or bar specializing in ouzo and small plates.
currency exchange,A service providing conversion of one currency to another.
gun range,A facility for target shooting with firearms.
kitchen supply store,A retail shop selling kitchen equipment and utensils.
outlet mall,A shopping center featuring discounted brand-name stores.
stable,A building for housing horses.
breakfast spot,A restaurant or café specializing in breakfast foods.
watch store,A retail shop selling watches.
airport terminal,"A building at an airport where passengers check in, board, and arrive."
music festival,An organized event featuring live music performances over several days.
home inspection,A professional service assessing the condition of a home before purchase or sale.
monument,"A structure erected to commemorate a person, event, or concept."
entertainment agency,A company representing artists or organizing entertainment events.
carpenter,A skilled tradesperson working with wood to build or repair structures.
silesian restaurant,A restaurant serving cuisine from the Silesia region of Poland.
leather goods store,"A shop selling leather products like bags, shoes, and belts."
classic and antique car dealership,A business selling vintage and collectible automobiles.
stationery store,"A retail shop selling paper, writing instruments, and office supplies."
recreation center,"A facility providing leisure, fitness, and recreational activities."
technology business,A company specializing in technology products or services.
grocery store,A retail shop selling food and household goods.
dog park,A designated area where dogs can exercise and socialize off-leash.
mobile phone store,A retail shop selling mobile phones and related accessories.
burger joint,A restaurant specializing in hamburgers and fast food.
pet service,"A business providing care, grooming, or boarding for pets."
swimming pool,A man-made structure filled with water for swimming.
addiction treatment center,A facility providing therapy and support for substance abuse recovery.
basque restaurant,A restaurant serving cuisine from the Basque region of Spain and France.
primary and secondary school,"Educational institutions for children, from elementary to high school."
furniture and home store,A retail shop selling home furnishings and décor.
burgundian restaurant,"A restaurant serving cuisine from Burgundy, France."
estaminet,"A small café or bistro, typically in Belgium or northern France."
sandwich spot,A restaurant or café specializing in sandwiches.
skin care clinic,A facility providing treatments for skin health and beauty.
cajun and creole restaurant,"A restaurant serving cuisine from Louisiana, USA."
acupuncture clinic,A healthcare facility providing acupuncture treatments.
german restaurant,A restaurant serving German cuisine.
southern brazilian restaurant,A restaurant serving cuisine from southern Brazil.
dairy store,"A shop selling milk, cheese, and other dairy products."
disc golf,An outdoor recreational activity where players throw discs into targets.
samba school,"An institution teaching samba dance and music, often preparing for carnivals."
it service,A business providing information technology support and solutions.
tutoring service,A service providing academic instruction and support to students.
retail,Businesses selling goods directly to consumers.
blini house,"A restaurant specializing in blini, thin Russian pancakes."
car dealership,A business selling new or used vehicles.
driving school,A facility providing driver education and training.
steakhouse,A restaurant specializing in steaks and grilled meats.
hot air balloon tour agency,A company organizing hot air balloon rides for sightseeing.
manchu restaurant,A restaurant serving cuisine from the Manchu region of China.
metro station,An underground or elevated station serving subway trains.
tuscan restaurant,"A restaurant serving cuisine from Tuscany, Italy."
capitol building,A building where a state or national legislative assembly meets.
gastropub,A pub offering high-quality food alongside drinks.
marine terminal,A dock or port area for loading and unloading ships.
asian restaurant,A restaurant serving cuisine from one or more Asian countries.
scottish restaurant,A restaurant serving cuisine from Scotland.
states and municipalities,Administrative divisions providing local government services.
monjayaki restaurant,"A restaurant serving monjayaki, a Japanese pan-fried batter dish."
iraqi restaurant,A restaurant serving cuisine from Iraq.
honduran restaurant,A restaurant serving cuisine from Honduras.
ethiopian restaurant,A restaurant serving cuisine from Ethiopia.
alternative medicine clinic,A clinic offering non-traditional medical treatments and therapies.
noodle restaurant,A restaurant specializing in noodle dishes.
spiritual center,"A place for spiritual practices, meditation, or worship."
automotive retail,"A store selling cars, car parts, or automotive accessories."
surf store,A retail shop selling surfing equipment and apparel.
"ear, nose and throat doctor","A medical doctor specializing in ENT (ear, nose, and throat) care."
industrial estate,An area zoned and developed for industrial businesses.
ski trail,A designated path or track for skiing.
dump,A site for disposing of waste and garbage.
cantonese restaurant,A restaurant serving Cantonese cuisine from southern China.
auvergne restaurant,A restaurant serving cuisine from the Auvergne region of France.
basketball club,An organization supporting basketball teams and players.
college theater,A theater located on a college campus for performances and events.
doner restaurant,"A restaurant specializing in doner kebab, a type of Turkish sandwich."
college history building,A campus building housing history departments and classrooms.
vintage and thrift store,A shop selling second-hand and vintage clothing and goods.
slovak restaurant,A restaurant serving cuisine from Slovakia.
outdoor supply store,A retail shop selling gear for outdoor activities like hiking and camping.
meadery,"A place producing and selling mead, an alcoholic beverage made from honey."
canal,A man-made waterway for transportation or irrigation.
smoothie shop,A store or café specializing in smoothies and blended drinks.
duty-free store,"A shop selling goods exempt from certain local or national taxes, often at airports."
painter,"A professional who paints buildings, walls, or artistic works."
hunan restaurant,"A restaurant serving cuisine from Hunan, China."
canal lock,A device for raising and lowering boats between stretches of water in a canal.
chinese breakfast restaurant,A restaurant serving traditional Chinese breakfast dishes.
laser tag center,"A facility for playing laser tag, a recreational shooting game."
dentist,A healthcare professional specializing in oral health and teeth care.
himalayan restaurant,A restaurant serving cuisine from the Himalayan region.
pub,A public house serving alcoholic drinks and sometimes food.
outdoor sculpture,A piece of artwork displayed outdoors.
sporting event,An organized competition or game in sports.
food and beverage retail,Stores selling packaged or prepared food and drinks.
other great outdoors,Areas for outdoor recreation and nature activities not otherwise specified.
fish market,A market selling fresh seafood.
middle school,An educational institution for children typically between elementary and high school.
portuguese restaurant,A restaurant serving cuisine from Portugal.
design studio,"A business providing design services, such as graphic, interior, or product design."
import and export service,A company facilitating the shipping of goods internationally.
baseball stadium,A stadium specifically designed for baseball games.
baseball club,An organization supporting baseball teams and players.
kosher store,A store selling food products prepared according to Jewish dietary laws.
sailing club,An organization supporting sailing enthusiasts and activities.
indian sweet shop,A shop selling Indian desserts and sweets.
packaging supply store,A store selling materials for packing and shipping goods.
office supply store,A retail shop selling office supplies and stationery.
supplement store,"A shop selling vitamins, supplements, and nutritional products."
motorcycle repair shop,A facility for maintaining and repairing motorcycles.
irani cafe,A café serving Iranian-style drinks and food.
japanese restaurant,A restaurant serving Japanese cuisine.
deli,"A store selling cold cuts, sandwiches, and specialty foods."
luggage store,"A retail shop selling bags, suitcases, and travel accessories."
waterfall,A natural or artificial feature where water flows over a vertical drop.
country club,"A private club offering recreational and social activities, often including golf or tennis."
hockey stadium,A stadium designed for hockey games.
bowling green,A lawn or facility for playing lawn bowling.
vacation rental,A property rented out to travelers for short-term stays.
platform,"A raised surface or area for standing, waiting, or boarding transport."
gay bar,A bar catering primarily to the LGBTQ+ community.
molecular gastronomy restaurant,A restaurant applying scientific techniques to cooking for innovative dishes.
cable car,"A vehicle suspended and pulled along cables, often for tourism or transport in mountains."
business and professional services,Firms providing specialized services to businesses or professionals.
urologist,A medical doctor specializing in urinary tract and male reproductive health.
government building,A building used by government offices or agencies.
miscellaneous store,A retail shop selling a variety of unrelated items.
piano bar,A bar featuring live piano music for entertainment.
taco restaurant,A restaurant specializing in tacos and Mexican cuisine.
music school,An institution providing instruction in music and performance.
towing service,A service for moving disabled or illegally parked vehicles.
track,"A designated path or course for running, racing, or athletics."
motorcycle dealership,A business selling new or used motorcycles.
chocolate store,A shop specializing in chocolate and confectionery.
orthopedic surgeon,A doctor specializing in musculoskeletal system surgery.
direct mail and email marketing service,A business providing marketing through mail and electronic communication.
catalan restaurant,"A restaurant serving cuisine from Catalonia, Spain."
charter bus,A bus service rented for private transportation.
sauna,A small room or building designed for heat sessions and relaxation.
söğüş place,A restaurant specializing in Turkish cold meat dishes.
community college,A two-year educational institution offering associate degrees and vocational training.
pathologist,A medical professional specializing in disease diagnosis via tissue and lab analysis.
"cafe, coffee, and tea house","A place serving coffee, tea, and light refreshments."
college tennis court,A tennis court located on a college campus.
hotel pool,A swimming pool located at a hotel for guest use.
tree,"A perennial plant with a trunk, branches, and leaves."
turkish home cooking restaurant,A restaurant serving traditional Turkish homemade dishes.
indie theater,A small independent movie or performance theater.
education,Institutions or services providing teaching and learning.
rajasthani restaurant,"A restaurant serving cuisine from Rajasthan, India."
party supply store,"A retail shop selling decorations, balloons, and items for celebrations."
outdoor event space,A location for hosting events outdoors.
business and strategy consulting office,An office providing advice on business and strategic planning.
law office,A professional office providing legal services.
shawarma restaurant,"A restaurant specializing in shawarma, a Middle Eastern meat dish."
town,A populated area larger than a village but smaller than a city.
ukrainian restaurant,A restaurant serving cuisine from Ukraine.
tapiocaria,"A restaurant or shop specializing in tapioca-based dishes, often Brazilian."
monastery,A religious community or building where monks or nuns live.
ch'ti restaurant,A restaurant serving cuisine from the Ch'ti region of France.
science museum,"A museum exhibiting scientific concepts, history, and technology."
military,An institution organized for defense and warfare.
gymnastics center,A facility providing gymnastics training and equipment.
college bookstore,A retail shop on a college campus selling textbooks and supplies.
fireworks store,A retail shop selling fireworks and pyrotechnic items.
wholesaler,"A business selling goods in large quantities, typically to retailers."
hardware store,"A retail shop selling tools, building supplies, and home improvement items."
maternity clinic,A medical clinic providing care for pregnant women and newborns.
accounting and bookkeeping service,A business offering financial record keeping and accounting services.
mattress store,A retail shop selling mattresses and sleep products.
balinese restaurant,"A restaurant serving cuisine from Bali, Indonesia."
hair removal service,A business providing hair removal treatments such as waxing or laser.
outlet store,A retail store selling discounted brand-name products.
amusement park,"A park featuring rides, games, and entertainment for recreation."
sculpture garden,An outdoor garden displaying sculptures and artworks.
wedding hall,A venue used for hosting wedding ceremonies and receptions.
airport lounge,A private area at an airport providing comfort and amenities to travelers.
middle eastern restaurant,A restaurant serving cuisine from Middle Eastern countries.
carpet store,A retail shop selling carpets and rugs.
coworking space,A shared office space used by individuals or small companies.
salad restaurant,A restaurant specializing in salads and fresh vegetables.
butcher,A shop or professional cutting and selling meat.
building and land surveyor,A professional who measures and maps land and structures.
vietnamese restaurant,A restaurant serving cuisine from Vietnam.
healthcare clinic,A facility providing medical care and health services.
jain restaurant,"A restaurant serving Jain cuisine, typically vegetarian."
conference,An organized meeting or event for discussion or presentations.
arcade,A venue with coin-operated games and entertainment.
beach,A shoreline area for recreation and leisure.
photography lab,A facility developing and printing photographs.
scandinavian restaurant,A restaurant serving cuisine from Scandinavian countries.
betting shop,A retail outlet for placing bets on sports or events.
preschool,An educational institution for children before elementary school.
puerto rican restaurant,A restaurant serving cuisine from Puerto Rico.
public bathroom,A restroom facility accessible to the public.
sunglasses store,A retail shop selling sunglasses and eyewear.
aosta restaurant,A restaurant serving cuisine from the Aosta region of Italy.
pastry shop,A bakery specializing in pastries and desserts.
advertising agency,A business providing marketing and advertising services.
atm,An automated teller machine for cash withdrawals and banking.
yoga studio,A facility offering yoga classes and instruction.
armenian restaurant,A restaurant serving cuisine from Armenia.
appraiser,A professional who evaluates property or items to determine value.
ophthalmologist,A medical doctor specializing in eye care and vision.
nail salon,"A salon providing manicures, pedicures, and nail treatments."
javanese restaurant,"A restaurant serving cuisine from Java, Indonesia."
currywurst joint,"A restaurant specializing in currywurst, a German sausage dish."
hungarian restaurant,A restaurant serving cuisine from Hungary.
boat launch,A location where boats can be launched into water.
social services organization,An organization providing social support and community services.
bathroom contractor,A contractor specializing in bathroom renovations and installations.
college baseball diamond,A baseball field on a college campus.
champagne bar,A bar specializing in champagne and sparkling wine.
okonomiyaki restaurant,"A restaurant serving okonomiyaki, a Japanese savory pancake."
tiki bar,A bar serving tropical-themed cocktails and drinks.
art restoration service,A business restoring or preserving artwork and antiques.
dongbei restaurant,A restaurant serving cuisine from China's Dongbei region.
light rail station,A stop or station for a light rail transit system.
general contractor,A professional overseeing construction projects.
piadineria,"A restaurant specializing in piadina, an Italian flatbread."
whisky bar,A bar specializing in whisky and related beverages.
motel,"A roadside hotel offering lodging, often with parking access."
fish and chips shop,A restaurant or takeout serving fish and chips.
blood bank,"A facility collecting, storing, and distributing blood for medical use."
lighthouse,A tower with a light guiding ships at sea.
eyecare store,"A retail shop selling glasses, contact lenses, and optical services."
maharashtrian restaurant,"A restaurant serving cuisine from Maharashtra, India."
dive bar,"A casual, often small bar with inexpensive drinks."
kitchen remodeler,A contractor specializing in kitchen renovations.
golf course,A designated area for playing golf.
child care service,A service providing care and supervision for children.
gym and studio,A facility offering fitness equipment and exercise classes.
locksmith,A professional providing lock and key services.
commercial real estate developer,A company developing commercial property for business use.
college hockey rink,An ice rink used by a college hockey team.
taverna,"A small restaurant or pub, typically Mediterranean-style."
mobile company,A business providing mobile phone services or products.
ski chalet,A lodging building near ski areas for accommodation.
bike trail,A path or route designated for cycling.
refrigeration and ice supplier,A business providing refrigeration equipment and ice products.
udon restaurant,"A restaurant serving udon, thick Japanese wheat noodles."
city,A large and densely populated urban area.
labor union,An organization representing workers in negotiations and rights advocacy.
go kart track,A circuit designed for racing go-karts.
framing store,A shop providing picture framing services and materials.
sports bar,A bar featuring sports broadcasts and related entertainment.
public art,Artworks displayed in public spaces.
snow sports,"Activities such as skiing, snowboarding, and sledding on snow."
antique store,A shop selling collectible or historical items.
empada house,"A restaurant or shop specializing in empadas, a type of savory pastry."
women's store,"A retail shop selling clothing, accessories, or products for women."
fujian restaurant,"A restaurant serving cuisine from Fujian, China."
baby store,A retail shop selling products for infants and toddlers.
natural park,A protected outdoor area for conservation and recreation.
airfield,"An area for aircraft takeoff, landing, and storage."
high school,"An educational institution for adolescents, typically grades 9-12."
tennis court,A designated area for playing tennis.
ash and haleem place,A restaurant serving ash (a Persian soup) and haleem (a meat and grain stew).
night market,"An outdoor market operating at night, selling food, goods, and entertainment."
buffet,A restaurant where customers serve themselves from a variety of dishes.
szechuan restaurant,A restaurant serving Szechuan cuisine from China's Sichuan province.
wings joint,A casual restaurant specializing in chicken wings.
kurdish restaurant,A restaurant serving cuisine from Kurdish regions.
soccer club,An organization for playing and promoting soccer.
tennis,A sport played on a court with racquets and a ball.
corporate housing agency,A company providing temporary housing for business professionals.
umbrian restaurant,"A restaurant serving cuisine from Umbria, Italy."
pizzeria,A restaurant specializing in pizza.
plastic surgeon,A medical doctor performing cosmetic or reconstructive surgery.
well,A structure for accessing underground water.
coffee shop,"A café serving coffee, tea, and light snacks."
pet grooming service,A business providing grooming services for pets.
convention,A large meeting or gathering of people with shared interests.
acehnese restaurant,"A restaurant serving cuisine from Aceh, Indonesia."
french restaurant,A restaurant serving French cuisine.
landscaper and gardener,A professional providing landscaping and gardening services.
surfing,A water sport where participants ride waves on a surfboard.
transport hub,A central location for various forms of transportation.
bike rental,A service renting bicycles for short-term use.
fire station,A facility housing firefighters and firefighting equipment.
golf club,An organization or facility for playing golf.
physical therapy clinic,A medical facility providing rehabilitation and physical therapy.
southeastern brazilian restaurant,A restaurant serving cuisine from Southeastern Brazil.
insurance agency,A company selling insurance policies.
kerala restaurant,"A restaurant serving cuisine from Kerala, India."
christmas market,A seasonal market featuring holiday goods and food.
swiss restaurant,A restaurant serving cuisine from Switzerland.
meze restaurant,"A restaurant serving meze, small dishes common in Mediterranean cuisine."
hotel bar,A bar located within a hotel.
parsi restaurant,"A restaurant serving Parsi cuisine, originating from the Zoroastrian community in India."
veneto restaurant,"A restaurant serving cuisine from Veneto, Italy."
cruise,"A voyage on a ship, often for leisure or tourism."
home health care service,Medical and personal care provided in a patient's home.
equipment rental service,"A business renting tools, machinery, or other equipment."
airport,"A facility for aircraft takeoff, landing, and passenger transport."
children's clothing store,A retail shop selling clothes for children.
aids resource,An organization providing information and support for AIDS.
dutch restaurant,A restaurant serving cuisine from the Netherlands.
college quad,An open courtyard area on a college campus.
home service,A company providing maintenance or repair services at homes.
flower store,A retail shop selling flowers and floral arrangements.
computer repair service,A business repairing computers and related devices.
tapas restaurant,A restaurant serving small Spanish dishes known as tapas.
tibetan restaurant,A restaurant serving cuisine from Tibet.
stock broker,A professional buying and selling stocks on behalf of clients.
architecture firm,A company providing architectural design and planning services.
zoo,A facility where animals are kept for public viewing and education.
organization,A structured group of people with a common purpose.
adult education,Educational programs designed for adult learners.
apres ski bar,A bar frequented after skiing for socializing and drinks.
trattoria,"An Italian restaurant serving casual, traditional cuisine."
cretan restaurant,"A restaurant serving cuisine from Crete, Greece."
piedmontese restaurant,"A restaurant serving cuisine from Piedmont, Italy."
outdoor gym,An exercise facility located outdoors with fitness equipment.
northern brazilian restaurant,A restaurant serving cuisine from Northern Brazil.
gift store,A retail shop selling gifts and souvenirs.
welding service,A business providing metal welding and fabrication services.
mosque,A place of worship for Muslims.
tex-mex restaurant,"A restaurant serving Tex-Mex cuisine, blending Texan and Mexican flavors."
border crossing,A point where people or goods pass between countries.
andhra restaurant,"A restaurant serving cuisine from Andhra Pradesh, India."
chimney sweep,A professional cleaning chimneys and fireplaces.
radio station,A facility broadcasting audio content over radio waves.
probation office,A government office supervising individuals on probation.
