OSM_tag;OSM_path;OSM_description;FS_candidates;FS_scores;FS_tag_GPT;OSM_full_description;FS_manual_path;FS_manual_tag;correct;correct_in_k;correct_embedding;correct_in_k_or_main;OSM_main;OSM_main_sub
goldsmith;craft > goldsmith;The workplace of a person who forges things out of gold, especially jewelry.;['arts crafts store', 'metals supplier', 'jewelry store', 'wholesaler', 'body piercing shop', 'locksmith', 'carpenter', 'welding service', 'antique store', 'painter', 'art restoration service', 'pawn shop', 'factory', 'art studio', 'recycling facility', 'leather supplier', 'interior designer', 'tailor', 'nail salon', 'industrial estate'];[0.42134028673171997, 0.40613609552383423, 0.39157211780548096, 0.3250095248222351, 0.3244217038154602, 0.32007673382759094, 0.3166051506996155, 0.31038713455200195, 0.3091626763343811, 0.3007509410381317, 0.2987124025821686, 0.29292920231819153, 0.2927060127258301, 0.28677695989608765, 0.2805405557155609, 0.27850550413131714, 0.27189740538597107, 0.270908921957016, 0.2669535279273987, 0.26455259323120117];jewelry store;The workplace of a person who forges things out of gold, especially jewelry.;business professional services > creative service;creative service;0;0;0;0;craft;craft > goldsmith
grinding mill;craft > grinding mill;A device that breaks solid materials into smaller pieces by grinding, crushing, or cutting. The aftermath is powdered product, not liquid extract like oil mill.;['industrial equipment supplier', 'salvage yard', 'factory', 'import export service', 'shipping freight material transportation service', 'metals supplier', 'wholesaler', 'carpenter', 'machine shop', 'repair service', 'rubber supplier', 'butcher', 'kitchen remodeler', 'shoe repair service', 'caterer', 'petroleum supplier', 'professional cleaning service', 'oil change service', 'scientific equipment supplier', 'engineer'];[0.2691972553730011, 0.26352930068969727, 0.2572936713695526, 0.2501569390296936, 0.24807384610176086, 0.23961171507835388, 0.23581697046756744, 0.2353636622428894, 0.22011834383010864, 0.21606434881687164, 0.21588817238807678, 0.2093672752380371, 0.2073441743850708, 0.2051674723625183, 0.20239242911338806, 0.201090008020401, 0.20095160603523254, 0.20013248920440674, 0.19574517011642456, 0.19303998351097107];factory;A device that breaks solid materials into smaller pieces by grinding, crushing, or cutting. The aftermath is powdered product, not liquid extract like oil mill.;business professional services > factory;factory;1;1;0;1;craft;craft > grinding mill
handicraft;craft > handicraft;A place where useful and decorative devices are made completely by hand or using only simple tools;['arts crafts store', 'sculpture garden', 'auto workshop', 'hobby store', 'outdoor sculpture', 'antique store', 'stationery store', 'car parts accessories', 'knitting store', 'souvenir store', 'skate store', 'paintball field', 'leather goods store', 'port', 'science museum', 'art museum', 'museum', 'textiles store', 'wings joint', 'construction supplies store'];[0.44816792011260986, 0.3250167965888977, 0.3118587136268616, 0.2999023199081421, 0.2891986072063446, 0.28869491815567017, 0.28135016560554504, 0.27147090435028076, 0.2578738331794739, 0.25071924924850464, 0.2480282187461853, 0.24606283009052277, 0.24584746360778809, 0.2448769360780716, 0.24345213174819946, 0.24304933845996857, 0.23821470141410828, 0.23759862780570984, 0.23605358600616455, 0.23226913809776306];arts crafts store;A place where useful and decorative devices are made completely by hand or using only simple tools;business professional services > creative service;creative service;0;0;0;0;craft;craft > handicraft
hvac;craft > hvac;A workplace or office of a person or company that install and maintain HVAC systems (Heating, Ventilating, and Air Conditioning).;['heating ventilating air conditioning contractor', 'coworking space', 'smog check shop', 'chemicals gasses manufacturer', 'industrial equipment supplier', 'refrigeration ice supplier', 'welding service', 'office building', 'factory', 'auto workshop', 'doors windows contractor', 'carpet flooring contractor', 'machine shop', 'power plant', 'scientific equipment supplier', 'warehouse', 'renewable energy service', 'bathroom contractor', 'mover', 'equipment rental service'];[0.6803559064865112, 0.42157620191574097, 0.42092660069465637, 0.42085179686546326, 0.4061654210090637, 0.4029958248138428, 0.40248170495033264, 0.40088754892349243, 0.398154616355896, 0.3954586982727051, 0.39078283309936523, 0.389920711517334, 0.38417506217956543, 0.37471914291381836, 0.37143969535827637, 0.37131232023239136, 0.3645912706851959, 0.3586483597755432, 0.35858166217803955, 0.3581247627735138];heating ventilating air conditioning contractor;A workplace or office of a person or company that install and maintain HVAC systems (Heating, Ventilating, and Air Conditioning).;business professional services > home improvement service > heating ventilating air conditioning contractor;heating ventilating air conditioning contractor;1;1;1;1;craft;craft > hvac
insulation;craft > insulation;A workplace or office of a person who does thermal insulation in buildings.;['office building', 'heating ventilating air conditioning contractor', 'coworking space', 'construction', 'outdoor event space', 'interior designer', 'hot air balloon tour agency', 'power plant', 'corporate amenity', 'corporate housing agency', 'plastics supplier', 'design studio', 'cabin', 'refrigeration ice supplier', 'factory', 'manufacturer', 'residential building', 'doors windows contractor', 'construction supplies store', 'equipment rental service'];[0.45239564776420593, 0.4025271236896515, 0.3758780360221863, 0.3281713128089905, 0.3264569044113159, 0.31332582235336304, 0.3108764886856079, 0.2979433238506317, 0.2965775728225708, 0.2952928841114044, 0.2937978506088257, 0.28960269689559937, 0.28681880235671997, 0.28150004148483276, 0.280719518661499, 0.27972981333732605, 0.2793428301811218, 0.27543848752975464, 0.27541545033454895, 0.27358531951904297];heating ventilating air conditioning contractor;A workplace or office of a person who does thermal insulation in buildings.;business professional services > home improvement service;home improvement service;0;0;0;0;craft;craft > insulation
interior decorator;craft > interior decorator;Workplace or office of a person who does interior decoratoring.;['interior designer', 'office building', 'carpenter', 'arts crafts store', 'coworking space', 'upholstery service', 'painter', 'kitchen remodeler', 'design studio', 'doors windows contractor', 'construction', 'deck patio contractor', 'ballroom', 'factory', 'art studio', 'bathroom contractor', 'fence contractor', 'wedding hall', 'electrician', 'body piercing shop'];[0.5270854234695435, 0.4161616861820221, 0.41125887632369995, 0.40583670139312744, 0.40073877573013306, 0.4002479314804077, 0.3968508243560791, 0.3831368684768677, 0.38295888900756836, 0.3727598488330841, 0.37270572781562805, 0.3697126507759094, 0.3529365658760071, 0.3498394787311554, 0.3471416234970093, 0.3440002202987671, 0.3433232009410858, 0.3422335386276245, 0.34079357981681824, 0.3404804468154907];interior designer;Workplace or office of a person who does interior decoratoring.;business professional services > home improvement service > interior designer;interior designer;1;1;1;1;craft;craft > interior decorator
interior work;craft > interior work;Workplace of a person who builds/installs non-load-bearing interior walls, especially drywall.;['interior designer', 'doors windows contractor', 'construction', 'office building', 'carpenter', 'painter', 'design studio', 'kitchen remodeler', 'fence contractor', 'bathroom contractor', 'upholstery service', 'garage door supplier', 'general contractor', 'mover', 'coworking space', 'factory', 'home improvement service', 'heating ventilating air conditioning contractor', 'carpet flooring contractor', 'art studio'];[0.42531707882881165, 0.3628751039505005, 0.35500144958496094, 0.32784128189086914, 0.3254532217979431, 0.31413888931274414, 0.3119646906852722, 0.3090153932571411, 0.30590981245040894, 0.30284440517425537, 0.29860347509384155, 0.29596102237701416, 0.2826358675956726, 0.27567070722579956, 0.272142618894577, 0.27122339606285095, 0.2684917747974396, 0.2643980383872986, 0.2637718617916107, 0.2637465298175812];construction;Workplace of a person who builds/installs non-load-bearing interior walls, especially drywall.;business professional services > home improvement service > interior designer;interior designer;0;1;1;1;craft;craft > interior work
jeweller;craft > jeweller;A place where necklaces, rings, brooches, earrings and bracelets and other personal adornments are created or repaired.;['jewelry store', 'arts crafts store', 'body piercing shop', 'antique store', 'souvenir store', 'hobby store', 'fashion accessories store', 'flower store', 'bridal store', 'knitting store', 'tattoo parlor', 'metals supplier', 'textiles store', 'nail salon', 'pawn shop', 'herbs spices store', 'housewares store', 'leather goods store', 'motorcycle repair shop', 'gift store'];[0.5438264012336731, 0.4928097128868103, 0.4742702841758728, 0.38652849197387695, 0.37945160269737244, 0.367733359336853, 0.36009567975997925, 0.35316091775894165, 0.34866398572921753, 0.3472481369972229, 0.3437441289424896, 0.34268754720687866, 0.3362444043159485, 0.3320021629333496, 0.32822543382644653, 0.3252650499343872, 0.32447344064712524, 0.32036924362182617, 0.31966254115104675, 0.31600192189216614];jewelry store;A place where necklaces, rings, brooches, earrings and bracelets and other personal adornments are created or repaired.;business professional services > creative service;creative service;0;0;0;0;craft;craft > jeweller
joiner;craft > joiner;An artisan who builds things by joining pieces of wood, particularly furniture or ornamental work.;['carpenter', 'wings joint', 'upholstery service', 'auto workshop', 'bbq joint', 'burger joint', 'construction', 'arts crafts store', 'interior designer', 'welding service', 'construction supplies store', 'kitchen remodeler', 'mac cheese joint', 'winery', 'fence contractor', 'housewares store', 'leather supplier', 'deck patio contractor', 'furniture home store', 'wedding hall'];[0.36845701932907104, 0.3563726246356964, 0.32834988832473755, 0.31920742988586426, 0.3118826746940613, 0.3061038851737976, 0.30549949407577515, 0.3047930896282196, 0.2933439612388611, 0.2924288511276245, 0.2849636971950531, 0.2822599709033966, 0.2760998606681824, 0.27559903264045715, 0.27466046810150146, 0.2741320729255676, 0.27356600761413574, 0.27006465196609497, 0.26920264959335327, 0.2677993178367615];carpenter;An artisan who builds things by joining pieces of wood, particularly furniture or ornamental work.;business professional services > home improvement service > carpenter;carpenter;1;1;1;1;craft;craft > joiner
key cutter;craft > key cutter;A place where keys can be duplicated from originals.;['locksmith', 'bunsik restaurant', 'garage door supplier', 'doors windows contractor', 'fish chips shop', 'indian sweet shop', 'sandwich spot', 'bossamjokbal restaurant', 'karaoke bar', 'gukbap restaurant', 'pastelaria', 'kosher restaurant', 'varenyky restaurant', 'betawinese restaurant', 'salvage yard', 'canal lock', 'chettinad restaurant', 'sausage store', 'halal restaurant', 'acehnese restaurant'];[0.34465211629867554, 0.20870047807693481, 0.20362511277198792, 0.19820362329483032, 0.19565865397453308, 0.18806229531764984, 0.18752306699752808, 0.18655365705490112, 0.18228226900100708, 0.1810246706008911, 0.17963486909866333, 0.17837044596672058, 0.1767544150352478, 0.174215167760849, 0.1742095649242401, 0.1739630103111267, 0.17297616600990295, 0.1722337305545807, 0.17053192853927612, 0.1701509952545166];locksmith;A place where keys can be duplicated from originals.;business professional services > locksmith;locksmith;1;1;1;1;craft;craft > key cutter
laboratory;craft > laboratory;A laboratory.;['laboratory', 'research laboratory', 'medical lab', 'scientific equipment supplier', 'photography lab', 'industrial equipment supplier', 'auto workshop', 'college lab', 'science museum', 'welding service', 'electrical equipment supplier', 'chemicals gasses manufacturer', 'factory', 'machine shop', 'blood bank', 'metals supplier', 'packaging supply store', 'manufacturer', 'warehouse', 'wholesaler'];[0.6096571683883667, 0.5567823648452759, 0.5181993246078491, 0.42996084690093994, 0.39877551794052124, 0.32915186882019043, 0.3275836110115051, 0.31493306159973145, 0.3138267397880554, 0.2937021255493164, 0.2909638583660126, 0.28804096579551697, 0.28447219729423523, 0.28067997097969055, 0.27871638536453247, 0.2766728401184082, 0.25775259733200073, 0.25393006205558777, 0.2538304030895233, 0.2444312870502472];laboratory;A laboratory.;business professional services > laboratory;laboratory;1;1;1;1;craft;craft > laboratory
lapidary;craft > lapidary;lapidary: a gemcutter;['racquetball club', 'locksmith', 'butcher', 'wholesaler', 'savoyard restaurant', 'racquet sport club', 'brasserie', 'burgundian restaurant', 'bagel shop', 'kitchen remodeler', 'nail salon', 'body piercing shop', 'souvlaki shop', 'machine shop', 'ballroom', 'botanero', 'mobile company', 'corsican restaurant', 'labour canteen', 'fruit vegetable store'];[0.29023128747940063, 0.2845039367675781, 0.28221601247787476, 0.27918875217437744, 0.2727562189102173, 0.27118390798568726, 0.26666367053985596, 0.2648110091686249, 0.26474475860595703, 0.2620958685874939, 0.2612351179122925, 0.2576636075973511, 0.25659656524658203, 0.2534354627132416, 0.2509497404098511, 0.2507146894931793, 0.2500927448272705, 0.24981147050857544, 0.247494637966156, 0.24656710028648376];wholesaler;lapidary: a gemcutter;business professional services > creative service;creative service;0;0;0;0;craft;craft > lapidary
leather;craft > leather;"A leatherworker; a person who makes things from leather.";['leather supplier', 'leather goods store', 'rubber supplier', 'arts crafts store', 'upholstery service', 'factory', 'manufacturer', 'wholesaler', 'carpenter', 'hobby store', 'metals supplier', 'industrial equipment supplier', 'butcher', 'interior designer', 'shoe repair service', 'locksmith', 'tire repair shop', 'tailor', 'scientific equipment supplier', 'auto workshop'];[0.6721681356430054, 0.5908042788505554, 0.424461305141449, 0.3886473774909973, 0.3884270191192627, 0.3492749035358429, 0.34224188327789307, 0.340257465839386, 0.33694595098495483, 0.3299707770347595, 0.3286118507385254, 0.3159213066101074, 0.31308072805404663, 0.3100462555885315, 0.3091892600059509, 0.30588996410369873, 0.30284619331359863, 0.2996893525123596, 0.2993362843990326, 0.2965547442436218];leather goods store;"A leatherworker; a person who makes things from leather.";business professional services > leather supplier;leather supplier;0;1;1;1;craft;craft > leather
locksmith;craft > locksmith;The workshop of a craftsman who installs or repairs locks and opens locked doors.;['locksmith', 'garage door supplier', 'doors windows contractor', 'canal lock', 'auto workshop', 'carpenter', 'baggage locker', 'fence contractor', 'automotive repair shop', 'prison', 'shoe repair service', 'repair service', 'rv motorhome dealership', 'kitchen remodeler', 'computer repair service', 'salvage yard', 'tire repair shop', 'motorcycle repair shop', 'wedding hall', 'leather supplier'];[0.5453787446022034, 0.3963596820831299, 0.39433521032333374, 0.3326435685157776, 0.26649338006973267, 0.2614977955818176, 0.2606460750102997, 0.22835800051689148, 0.225748211145401, 0.223032146692276, 0.22271010279655457, 0.2045609951019287, 0.19801777601242065, 0.1971966028213501, 0.1912706196308136, 0.19044411182403564, 0.18648472428321838, 0.18276181817054749, 0.18064072728157043, 0.1705196648836136];locksmith;The workshop of a craftsman who installs or repairs locks and opens locked doors.;business professional services > locksmith;locksmith;1;1;1;1;craft;craft > locksmith
luthier;craft > luthier;Workshop of a luthier, who makes or repairs stringed wooden musical instruments, such as lutes, violins, and guitars.;['upholstery service', 'carpenter', 'leather supplier', 'kitchen remodeler', 'welding service', 'shoe repair service', 'scientific equipment supplier', 'metals supplier', 'industrial equipment supplier', 'repair service', 'electrical equipment supplier', 'roofer', 'construction', 'tree service', 'electrician', 'arts crafts store', 'rubber supplier', 'salvage yard', 'home improvement service', 'computer repair service'];[0.36186665296554565, 0.35070374608039856, 0.3418731093406677, 0.33503782749176025, 0.3349720239639282, 0.32114672660827637, 0.31309258937835693, 0.31113219261169434, 0.3102682828903198, 0.30831190943717957, 0.30700933933258057, 0.30247050523757935, 0.2931411564350128, 0.2908044755458832, 0.2902172803878784, 0.28915441036224365, 0.28463396430015564, 0.28387731313705444, 0.28075236082077026, 0.27903616428375244];arts crafts store;Workshop of a luthier, who makes or repairs stringed wooden musical instruments, such as lutes, violins, and guitars.;business professional services > creative service;creative service;0;0;0;0;craft;craft > luthier
metal construction;craft > metal construction;Workplace or office of a person who work with metal. This applies to: planning, construction, trade, repair.;['metals supplier', 'welding service', 'carpenter', 'construction', 'industrial equipment supplier', 'fence contractor', 'shipping freight material transportation service', 'auto workshop', 'factory', 'plastics supplier', 'salvage yard', 'deck patio contractor', 'interior designer', 'construction supplies store', 'general contractor', 'sewer contractor', 'doors windows contractor', 'electrical equipment supplier', 'carpet flooring contractor', 'automotive repair shop'];[0.5648483037948608, 0.4893419146537781, 0.45729607343673706, 0.4478543698787689, 0.44361066818237305, 0.4153646230697632, 0.4095752239227295, 0.4083431661128998, 0.4038434624671936, 0.40366238355636597, 0.39713868498802185, 0.39440131187438965, 0.3876412808895111, 0.3870253264904022, 0.3823256194591522, 0.3732544779777527, 0.36250069737434387, 0.35914090275764465, 0.3575107753276825, 0.3571529984474182];welding service;Workplace or office of a person who work with metal. This applies to: planning, construction, trade, repair.;business professional services > metals supplier;metals supplier;0;1;1;1;craft;craft > metal construction
mint;craft > mint;A place where coins and medals are hand crafted.;['arts crafts store', 'auction house', 'souvenir store', 'bingo center', 'metals supplier', 'windmill', 'currency exchange', 'christmas market', 'antique store', 'gift store', 'sculpture garden', 'monument', 'cupcake shop', 'beer festival', 'casino', 'jewelry store', 'equestrian facility', 'art museum', 'karaoke box', 'paintball field'];[0.33134669065475464, 0.29154250025749207, 0.27903443574905396, 0.25323450565338135, 0.25226110219955444, 0.24605891108512878, 0.24476417899131775, 0.24140983819961548, 0.23767808079719543, 0.23619361221790314, 0.22999323904514313, 0.22484391927719116, 0.21568743884563446, 0.21370986104011536, 0.2134905904531479, 0.21163848042488098, 0.2112942337989807, 0.20830555260181427, 0.20826108753681183, 0.20721429586410522];metals supplier;A place where coins and medals are hand crafted.;business professional services > creative service;creative service;0;0;0;0;craft;craft > mint
musical instrument;craft > musical instrument;A craftsman creating musical instruments;['carpenter', 'arts crafts store', 'industrial equipment supplier', 'auto workshop', 'electrical equipment supplier', 'metals supplier', 'karaoke box', 'welding service', 'construction', 'factory', 'leather supplier', 'recording studio', 'manufacturer', 'scientific equipment supplier', 'kitchen remodeler', 'rubber supplier', 'wholesaler', 'painter', 'machine shop', 'garage door supplier'];[0.4086916446685791, 0.36311042308807373, 0.3606943190097809, 0.358427494764328, 0.3330376446247101, 0.32601553201675415, 0.32521915435791016, 0.32087552547454834, 0.3154478073120117, 0.3151586651802063, 0.2972930669784546, 0.29529422521591187, 0.2944454550743103, 0.293237566947937, 0.2906797230243683, 0.2900336682796478, 0.2880759835243225, 0.2869023084640503, 0.28684014081954956, 0.28187400102615356];arts crafts store;A craftsman creating musical instruments;business professional services > creative service;creative service;0;0;0;0;craft;craft > musical instrument
oil mill;craft > oil mill;A mill designed to crush or bruise oil-bearing seeds, such as linseed or peanuts, or other oil-rich vegetable material.;['petroleum supplier', 'oil change service', 'agriculture forestry service', 'landscaper gardener', 'plastics supplier', 'rubber supplier', 'salvage yard', 'herbs spices store', 'engineer', 'farmers market', 'industrial equipment supplier', 'pest control service', 'fruit vegetable store', 'power plant', 'chemicals gasses manufacturer', 'paper supplier', 'carpenter', 'renewable energy service', 'nutritionist', 'stock broker'];[0.2296558916568756, 0.22747951745986938, 0.1990446299314499, 0.1972123086452484, 0.1830068677663803, 0.17871400713920593, 0.1757008135318756, 0.17498014867305756, 0.17397384345531464, 0.17293591797351837, 0.17266494035720825, 0.16939090192317963, 0.16499069333076477, 0.15900936722755432, 0.1580064296722412, 0.15725897252559662, 0.15693576633930206, 0.15667802095413208, 0.15185874700546265, 0.15075787901878357];agriculture forestry service;A mill designed to crush or bruise oil-bearing seeds, such as linseed or peanuts, or other oil-rich vegetable material.;business professional services;business professional services;0;0;0;0;craft;craft > oil mill
optician;craft > optician;A place where lenses for the correction of a person's vision are designed, fitted and dispensed.;['optometrist', 'ophthalmologist', 'eyecare store', 'sunglasses store', 'photography service', 'photography lab', 'photographer', 'photography studio', 'plastics supplier', 'shoe repair service', 'industrial equipment supplier', 'scientific equipment supplier', 'tailor', 'camera store', 'electrical equipment supplier', 'rubber supplier', 'plastic surgeon', 'watch store', 'manufacturer', 'body piercing shop'];[0.5187322497367859, 0.4989069998264313, 0.4660046696662903, 0.4140012860298157, 0.3562961220741272, 0.3286115527153015, 0.3252946734428406, 0.31616318225860596, 0.3070067763328552, 0.3064615726470947, 0.30417537689208984, 0.29747259616851807, 0.29560714960098267, 0.29017502069473267, 0.280751496553421, 0.2740159034729004, 0.27182549238204956, 0.26979711651802063, 0.26205533742904663, 0.26067376136779785];optometrist;A place where lenses for the correction of a person's vision are designed, fitted and dispensed.;health medicine > optometrist;optometrist;1;1;1;1;craft;craft > optician
organ builder;craft > organ builder;Organ building is the profession of designing, building, restoring and maintaining pipe organs.;['sewer contractor', 'construction', 'interior designer', 'plumber', 'kitchen remodeler', 'bathroom contractor', 'body piercing shop', 'architecture firm', 'carpenter', 'office building', 'painter', 'upholstery service', 'design studio', 'carpet flooring contractor', 'welding service', 'ballroom', 'industrial equipment supplier', 'heating ventilating air conditioning contractor', 'factory', 'city hall'];[0.41230329871177673, 0.3989359140396118, 0.38345396518707275, 0.37674468755722046, 0.37406545877456665, 0.35984915494918823, 0.3523738384246826, 0.33309078216552734, 0.3285793364048004, 0.32760149240493774, 0.3274857699871063, 0.32685697078704834, 0.3205719590187073, 0.31791263818740845, 0.31503021717071533, 0.31312140822410583, 0.31311899423599243, 0.3107149600982666, 0.3071821331977844, 0.3071637749671936];construction;Organ building is the profession of designing, building, restoring and maintaining pipe organs.;business professional services > repair service;repair service;0;0;0;0;craft;craft > organ builder
painter;craft > painter;A workplace or office of a house painter which is a tradesman responsible for the painting and decorating of buildings.;['painter', 'carpenter', 'interior designer', 'art studio', 'arts crafts store', 'art restoration service', 'fence contractor', 'deck patio contractor', 'upholstery service', 'kitchen remodeler', 'general contractor', 'sewer contractor', 'doors windows contractor', 'bathroom contractor', 'electrician', 'landscaper gardener', 'office building', 'mover', 'home improvement service', 'design studio'];[0.6358487606048584, 0.5011748671531677, 0.4656909704208374, 0.46297869086265564, 0.4212551414966583, 0.4198992848396301, 0.41395658254623413, 0.40998589992523193, 0.40351009368896484, 0.3799061179161072, 0.37964749336242676, 0.3751181960105896, 0.3703503906726837, 0.3695668578147888, 0.3659248352050781, 0.36520716547966003, 0.3534015417098999, 0.34825778007507324, 0.34611213207244873, 0.3454735577106476];painter;A workplace or office of a house painter which is a tradesman responsible for the painting and decorating of buildings.;business professional services > home improvement service > painter;painter;1;1;1;1;craft;craft > painter
paperhanger;craft > paperhanger;The office of a paperhanger.;['paper supplier', 'office building', 'coworking space', 'publisher', 'writing copywriting technical writing service', 'corporate cafeteria', 'stationery store', 'meeting room', 'print store', 'office', 'tech startup', 'logging service', 'corporate amenity', 'newsstand', 'accounting bookkeeping service', 'print tv radio outdoor advertising service', 'art restoration service', 'newsagent', 'recycling facility', 'storage facility'];[0.39732038974761963, 0.3794358968734741, 0.3296423852443695, 0.29581183195114136, 0.2945449948310852, 0.2905031442642212, 0.27310389280319214, 0.2710074186325073, 0.26675641536712646, 0.261321097612381, 0.2592689096927643, 0.25654035806655884, 0.2528509199619293, 0.24873605370521545, 0.24786174297332764, 0.2452048361301422, 0.2399071753025055, 0.23897221684455872, 0.23656031489372253, 0.23532038927078247];paper supplier;The office of a paperhanger.;business professional services > office;office;0;1;0;1;craft;craft > paperhanger
parquet layer;craft > parquet layer;A workplace or office of a parquet layer.;['racquetball club', 'racquet sport club', 'tennis court', 'tennis', 'badminton court', 'tennis club', 'racquet sports', 'squash court', 'office building', 'coworking space', 'leather supplier', 'tailor', 'construction', 'architecture firm', 'warehouse', 'laboratory', 'welding service', 'design studio', 'corporate amenity', 'fence contractor'];[0.46069180965423584, 0.4604455828666687, 0.4315606951713562, 0.41643384099006653, 0.4105954170227051, 0.40580394864082336, 0.40326613187789917, 0.38158512115478516, 0.3511818051338196, 0.3487936556339264, 0.3298828601837158, 0.32737043499946594, 0.3197248578071594, 0.3134714365005493, 0.3117823004722595, 0.304646372795105, 0.3038265109062195, 0.30237728357315063, 0.3017192482948303, 0.29770833253860474];office building;A workplace or office of a parquet layer.;business professional services > home improvement service > carpet flooring contractor;carpet flooring contractor;0;0;0;0;craft;craft > parquet layer
paver;craft > paver;The workshop or office of a paver.;['office building', 'deck patio contractor', 'outdoor sculpture', 'paper supplier', 'construction supplies store', 'auto workshop', 'prayer room', 'sculpture garden', 'conference room', 'ballroom', 'laser tag center', 'stationery store', 'lodge', 'paella restaurant', 'construction', 'landscaper gardener', 'arts crafts store', 'garden center', 'upholstery service', 'newsagent'];[0.3702507019042969, 0.363347589969635, 0.3554318845272064, 0.3459962010383606, 0.3445112109184265, 0.33423227071762085, 0.3303580582141876, 0.3269147574901581, 0.3267730474472046, 0.30776411294937134, 0.30311745405197144, 0.30265331268310547, 0.302129864692688, 0.30188965797424316, 0.29845327138900757, 0.29652512073516846, 0.2962416708469391, 0.29297012090682983, 0.29147177934646606, 0.2895045280456543];construction;The workshop or office of a paver.;business professional services;business professional services;0;0;0;0;craft;craft > paver
pest control;craft > pest control;A business that offers pest control services;['pest control service', 'landscaper gardener', 'agriculture forestry service', 'spa', 'factory', 'pet service', 'upholstery service', 'pet grooming service', 'home improvement service', 'wholesaler', 'manufacturer', 'mobile company', 'technology business', 'creative service', 'caterer', 'carpenter', 'print tv radio outdoor advertising service', 'home service', 'promotional item service', 'nail salon'];[0.7820960283279419, 0.4998224377632141, 0.4638204872608185, 0.43025803565979004, 0.4291355609893799, 0.4286435544490814, 0.4202592968940735, 0.41924118995666504, 0.4137570559978485, 0.41344594955444336, 0.4065866768360138, 0.40293484926223755, 0.3969317376613617, 0.39625146985054016, 0.39528220891952515, 0.3942050039768219, 0.3940236270427704, 0.39202213287353516, 0.3906802237033844, 0.38920849561691284];pest control service;A business that offers pest control services;business professional services > home improvement service > pest control service;pest control service;1;1;1;1;craft;craft > pest control
photographer;craft > photographer;A workplace or office of a person who takes photographs using a camera.;['photographer', 'photography lab', 'photography service', 'photography studio', 'painter', 'art studio', 'office building', 'recording studio', 'manufacturer', 'coworking space', 'camera store', 'ophthalmologist', 'art restoration service', 'creative service', 'factory', 'carpenter', 'healthcare professional', 'office', 'film studio', 'physician'];[0.5940581560134888, 0.5601329803466797, 0.5441446304321289, 0.5372163653373718, 0.3748815059661865, 0.35636115074157715, 0.34934985637664795, 0.34589123725891113, 0.33835873007774353, 0.3331347107887268, 0.3305171728134155, 0.32443106174468994, 0.3219999372959137, 0.3194838762283325, 0.3191317915916443, 0.3148028254508972, 0.31427010893821716, 0.30774611234664917, 0.30653923749923706, 0.3059498369693756];photographer;A workplace or office of a person who takes photographs using a camera.;business professional services > photography service > photographer;photographer;1;1;1;1;craft;craft > photographer
photographic laboratory;craft > photographic laboratory;A place where photos taken on a film or digital images are transformed into a more permanent form, often on paper or plastic foil.;['photography lab', 'photography service', 'photography studio', 'photographer', 'recycling facility', 'science museum', 'art restoration service', 'plastics supplier', 'film studio', 'camera store', 'painter', 'arts crafts store', 'print store', 'print tv radio outdoor advertising service', 'laboratory', 'paper supplier', 'research laboratory', 'recording studio', 'outdoor sculpture', 'art studio'];[0.5059795379638672, 0.3988127112388611, 0.3852091431617737, 0.36890915036201477, 0.3190699815750122, 0.3078022003173828, 0.30443137884140015, 0.30285727977752686, 0.30131012201309204, 0.3006812334060669, 0.27712106704711914, 0.2733404338359833, 0.27331921458244324, 0.2697862386703491, 0.26946792006492615, 0.25948402285575867, 0.250078022480011, 0.24974355101585388, 0.24911656975746155, 0.24787069857120514];photography lab;A place where photos taken on a film or digital images are transformed into a more permanent form, often on paper or plastic foil.;business professional services > photography service > photography lab;photography lab;1;1;1;1;craft;craft > photographic laboratory
photovoltaic;craft > photovoltaic;A workplace or office who installed or planned photovoltaic systems.;['renewable energy service', 'power plant', 'photography lab', 'office building', 'coworking space', 'electrical equipment supplier', 'deck patio contractor', 'photography studio', 'welding service', 'machine shop', 'factory', 'industrial equipment supplier', 'landscaper gardener', 'outdoor event space', 'equipment rental service', 'scientific equipment supplier', 'tech startup', 'construction', 'photography service', 'electrician'];[0.46381762623786926, 0.46215391159057617, 0.38845083117485046, 0.3850967288017273, 0.3653608560562134, 0.3618946075439453, 0.34097304940223694, 0.3405280113220215, 0.3365596532821655, 0.33456775546073914, 0.32443100214004517, 0.3238333463668823, 0.3199733793735504, 0.3193412125110626, 0.31444209814071655, 0.31415992975234985, 0.3110966682434082, 0.31056106090545654, 0.3037071228027344, 0.302339643239975];renewable energy service;A workplace or office who installed or planned photovoltaic systems.;business professional services > renewable energy service;renewable energy service;1;1;1;1;craft;craft > photovoltaic
