OSM_tag;OSM_path;OSM_description;FS_candidates;FS_scores;FS_tag_GPT;OSM_full_description;FS_manual_path;FS_manual_tag;correct;correct_in_k;correct_embedding;correct_in_k_or_main;OSM_main;OSM_main_sub
trullo;building > accommodation > trullo;A stone hut with a conical roof.;['mountain hut', 'roof deck', 'lodge', 'rooftop bar', 'structure', 'roofer', 'picnic shelter', 'boarding house', 'residential building', 'bridge'];[0.4766809940338135, 0.4766744375228882, 0.4136934280395508, 0.40844422578811646, 0.3940579295158386, 0.3826121687889099, 0.37018030881881714, 0.3607926368713379, 0.34808504581451416, 0.34240099787712097];lodge;A stone hut with a conical roof.;landmarks outdoors;landmarks outdoors;0;0;0;0;building;building > accommodation
commercial;building > commercial;A building for non-specific commercial activities, not necessarily an office building. Consider tagging the surrounding area using landuse=commercial if there is such use. Use 'retail' if the building consists primarily of shops.;['office building', 'residential building', 'home private', 'apartment condo', 'capitol building', 'construction', 'coworking space', 'outdoor event space', 'government building', 'corporate amenity'];[0.528847336769104, 0.5017867088317871, 0.4578840732574463, 0.45746225118637085, 0.44581338763237, 0.43689101934432983, 0.413302481174469, 0.4123789966106415, 0.38385695219039917, 0.3813678026199341];corporate amenity;A building for non-specific commercial activities, not necessarily an office building. Consider tagging the surrounding area using landuse=commercial if there is such use. Use 'retail' if the building consists primarily of shops.;retail;retail;0;0;0;0;building;building > commercial
industrial;building > commercial > industrial;A building for industrial purposes. Use warehouse if the purpose is known to be primarily for storage/distribution. Consider using landuse=industrial for the surrounding area and appropriate tags like man_made=works to describe the industrial activity.;['warehouse', 'storage facility', 'industrial estate', 'factory', 'coworking space', 'industrial equipment supplier', 'construction', 'outdoor event space', 'office building', 'appraiser'];[0.4591933488845825, 0.430824875831604, 0.3847612738609314, 0.3755764663219452, 0.3667086362838745, 0.360177218914032, 0.3562554717063904, 0.34345632791519165, 0.34115245938301086, 0.33142605423927307];factory;A building for industrial purposes. Use warehouse if the purpose is known to be primarily for storage/distribution. Consider using landuse=industrial for the surrounding area and appropriate tags like man_made=works to describe the industrial activity.;business professional services > factory;factory;1;1;0;1;building;building > commercial
kiosk;building > commercial > kiosk;A small one-room retail building.;['construction supplies store', 'garden center', 'framing store', 'boutique', 'home appliance store', 'office building', 'kitchen supply store', 'carpet store', 'kuruyemisci shop', 'furniture home store'];[0.5287226438522339, 0.48157963156700134, 0.4758762717247009, 0.46672773361206055, 0.4654838740825653, 0.4625622630119324, 0.4590148329734802, 0.4588621258735657, 0.45853763818740845, 0.4543205201625824];boutique;A small one-room retail building.;retail;retail;0;0;0;0;building;building > commercial
office;building > commercial > office;An office building. Use office=* where applicable for the business(es) that use the building. Consider tagging the surrounding area using landuse=commercial if it applies. Prefer landuse=retail if the building consists primarily of shops.;['office building', 'residential building', 'coworking space', 'construction', 'apartment condo', 'capitol building', 'home private', 'corporate amenity', 'government building', 'post office'];[0.52874356508255, 0.44234931468963623, 0.4048789441585541, 0.4025036096572876, 0.3975319564342499, 0.39611178636550903, 0.39499878883361816, 0.37955111265182495, 0.3609437346458435, 0.35945749282836914];office building;An office building. Use office=* where applicable for the business(es) that use the building. Consider tagging the surrounding area using landuse=commercial if it applies. Prefer landuse=retail if the building consists primarily of shops.;business professional services > office > office building;office building;1;1;1;1;building;building > commercial
retail;building > commercial > retail;"A building primarily used for selling goods that are sold to the public; use shop=* to identify the sort of goods sold or an appropriate amenity=* (pub, cafe, restaurant, etc.). Consider use landuse=retail for the surrounding area.";['construction supplies store', 'boutique', 'kuruyemisci shop', 'farmers market', 'outdoor supply store', 'market', 'construction', 'tursucu shop', 'office building', 'food beverage retail'];[0.5234241485595703, 0.47941097617149353, 0.4782189130783081, 0.46818816661834717, 0.4644262194633484, 0.4571763873100281, 0.4520476460456848, 0.45070648193359375, 0.4455024003982544, 0.44298362731933594];market;"A building primarily used for selling goods that are sold to the public; use shop=* to identify the sort of goods sold or an appropriate amenity=* (pub, cafe, restaurant, etc.). Consider use landuse=retail for the surrounding area.";retail;retail;0;0;0;0;building;building > commercial
supermarket;building > commercial > supermarket;A building constructed to house a self-service large-area store.;['construction supplies store', 'home appliance store', 'supermarket', 'kitchen supply store', 'garden center', 'housewares store', 'kuruyemisci shop', 'office supply store', 'gourmet store', 'office building'];[0.5363781452178955, 0.5221577286720276, 0.515855610370636, 0.4992523789405823, 0.49756425619125366, 0.49564260244369507, 0.48643261194229126, 0.4833557605743408, 0.4815698564052582, 0.48146629333496094];supermarket;A building constructed to house a self-service large-area store.;retail > food beverage retail > supermarket;supermarket;1;1;0;1;building;building > commercial
warehouse;building > commercial > warehouse;A building primarily intended for the storage or goods or as part of a distribution system.;['construction supplies store', 'warehouse', 'storage facility', 'office supply store', 'warehouse wholesale store', 'packaging supply store', 'outdoor supply store', 'kitchen supply store', 'shipping freight material transportation service', 'distribution center'];[0.5403422117233276, 0.5314410924911499, 0.5196372270584106, 0.4991456866264343, 0.49680647253990173, 0.4965851306915283, 0.4608743190765381, 0.44886595010757446, 0.44116729497909546, 0.4408155679702759];warehouse;A building primarily intended for the storage or goods or as part of a distribution system.;business professional services > warehouse;warehouse;1;1;0;1;building;building > commercial
religious;building > religious;Unspecific building related to religion. Prefer more specific values if possible.;['mosque', 'religious school', 'temple', 'hindu temple', 'church', 'shrine', 'monastery', 'confucian temple', 'buddhist temple', 'prayer room'];[0.4666527807712555, 0.46287772059440613, 0.44692522287368774, 0.4444809556007385, 0.4422244727611542, 0.4264554977416992, 0.4195283353328705, 0.41650938987731934, 0.41127389669418335, 0.40736058354377747];religious school;Unspecific building related to religion. Prefer more specific values if possible.;community government > spiritual center;spiritual center;0;0;0;0;building;building > religious
cathedral;building > religious > cathedral;A building that was built as a cathedral. Used in conjunction with amenity=place_of_worship, religion=*, denomination=* and landuse=religious for the cathedral grounds where it is in current use.;['church', 'shrine', 'residential building', 'mosque', 'temple', 'courthouse', 'kingdom hall', 'capitol building', 'monastery', 'home private'];[0.39579981565475464, 0.3831865191459656, 0.3760772943496704, 0.36953848600387573, 0.36687031388282776, 0.3566448390483856, 0.35349375009536743, 0.35236021876335144, 0.3378058671951294, 0.33611756563186646];church;A building that was built as a cathedral. Used in conjunction with amenity=place_of_worship, religion=*, denomination=* and landuse=religious for the cathedral grounds where it is in current use.;community government > spiritual center;spiritual center;0;0;0;0;building;building > religious
chapel;building > religious > chapel;A building that was built as a chapel. Used in conjunction with amenity=place_of_worship, religion=*, denomination=* and landuse=religious for the chapel grounds where it is in current use.;['temple', 'church', 'prayer room', 'kingdom hall', 'mosque', 'confucian temple', 'buddhist temple', 'capitol building', 'synagogue', 'residential building'];[0.4297439455986023, 0.41055572032928467, 0.41026240587234497, 0.39484402537345886, 0.3917006850242615, 0.39059290289878845, 0.3868514895439148, 0.3868483901023865, 0.3847845792770386, 0.3843598961830139];church;A building that was built as a chapel. Used in conjunction with amenity=place_of_worship, religion=*, denomination=* and landuse=religious for the chapel grounds where it is in current use.;community government > spiritual center;spiritual center;0;0;0;0;building;building > religious
church;building > religious > church;A building that was built as a church. Used in conjunction with amenity=place_of_worship, religion=* , denomination=* and landuse=religious for the church grounds where it is in current use.;['church', 'courthouse', 'residential building', 'temple', 'capitol building', 'mosque', 'prayer room', 'religious school', 'shrine', 'government building'];[0.4630171060562134, 0.43315860629081726, 0.4292619824409485, 0.41673800349235535, 0.40423041582107544, 0.39338594675064087, 0.3911932706832886, 0.3899931311607361, 0.3835051357746124, 0.38236546516418457];church;A building that was built as a church. Used in conjunction with amenity=place_of_worship, religion=* , denomination=* and landuse=religious for the church grounds where it is in current use.;community government > spiritual center > church;church;1;1;1;1;building;building > religious
kingdom hall;building > religious > kingdom hall;A building that was built as a Kingdom Hall. Often used in conjunction with amenity=place_of_worship, religion=christian, denomination=jehovahs_witness and landuse=religious for the grounds where it is in current use.;['kingdom hall', 'prayer room', 'temple', 'city hall', 'courthouse', 'shrine', 'town hall', 'confucian temple', 'church', 'synagogue'];[0.5770905613899231, 0.39715489745140076, 0.39163458347320557, 0.3875594735145569, 0.38535356521606445, 0.38149160146713257, 0.3810504674911499, 0.37256938219070435, 0.37082505226135254, 0.3581864833831787];kingdom hall;A building that was built as a Kingdom Hall. Often used in conjunction with amenity=place_of_worship, religion=christian, denomination=jehovahs_witness and landuse=religious for the grounds where it is in current use.;community government > spiritual center > kingdom hall;kingdom hall;1;1;1;1;building;building > religious
monastery;building > religious > monastery;A building constructed as monastery. Often, monasteries consist of several distinct buildings with specific functions. For active monasteries (communities), use amenity=monastery, for the grounds of a former monastery, have a look at historic=monastery;['monastery', 'buddhist temple', 'confucian temple', 'temple', 'mosque', 'church', 'synagogue', 'hindu temple', 'shrine', 'sikh temple'];[0.6521629095077515, 0.5118559002876282, 0.46939635276794434, 0.4493071138858795, 0.44793641567230225, 0.4283333420753479, 0.4259587824344635, 0.4226078987121582, 0.39258942008018494, 0.3769213557243347];monastery;A building constructed as monastery. Often, monasteries consist of several distinct buildings with specific functions. For active monasteries (communities), use amenity=monastery, for the grounds of a former monastery, have a look at historic=monastery;community government > spiritual center > monastery;monastery;1;1;1;1;building;building > religious
mosque;building > religious > mosque;A building errected as mosque. Used in conjunction with amenity=place_of_worship, religion=*, denomination=* and landuse=religious for the grounds where it is in current use.;['mosque', 'temple', 'shrine', 'courthouse', 'hindu temple', 'residential building', 'synagogue', 'prayer room', 'confucian temple', 'church'];[0.5610564947128296, 0.3911876678466797, 0.3848983943462372, 0.3842300772666931, 0.3832501173019409, 0.38204237818717957, 0.3692147731781006, 0.3649371266365051, 0.359214723110199, 0.3578217923641205];mosque;A building errected as mosque. Used in conjunction with amenity=place_of_worship, religion=*, denomination=* and landuse=religious for the grounds where it is in current use.;community government > spiritual center > mosque;mosque;1;1;1;1;building;building > religious
presbytery;building > religious > presbytery;A building where priests live and work.;['church', 'monastery', 'temple', 'confucian temple', 'prayer room', 'hindu temple', 'shrine', 'religious school', 'kingdom hall', 'synagogue'];[0.48970940709114075, 0.48244065046310425, 0.4720834493637085, 0.4515705108642578, 0.4449997842311859, 0.4444188177585602, 0.4352133274078369, 0.4294537603855133, 0.42030853033065796, 0.41482752561569214];church;A building where priests live and work.;community government > spiritual center;spiritual center;0;0;0;0;building;building > religious
shrine;building > religious > shrine;A building that was built as a shrine. Used in conjunction with amenity=place_of_worship, religion=*, denomination=* and landuse=religious for the grounds where it is in current use. Small structures should consider historic=wayside_shrine.;['shrine', 'temple', 'hindu temple', 'sikh temple', 'confucian temple', 'buddhist temple', 'mosque', 'kingdom hall', 'monument', 'historic protected site'];[0.5560722351074219, 0.47520512342453003, 0.45851415395736694, 0.42428821325302124, 0.4219846725463867, 0.42191267013549805, 0.42172837257385254, 0.42069607973098755, 0.4170582592487335, 0.4072088897228241];shrine;A building that was built as a shrine. Used in conjunction with amenity=place_of_worship, religion=*, denomination=* and landuse=religious for the grounds where it is in current use. Small structures should consider historic=wayside_shrine.;community government > spiritual center > shrine;shrine;1;1;1;1;building;building > religious
synagogue;building > religious > synagogue;A building that was built as a synagogue. Used in conjunction with amenity=place_of_worship, religion=*, denomination=* and landuse=religious for the grounds where it is in current use.;['synagogue', 'temple', 'hindu temple', 'mosque', 'residential building', 'confucian temple', 'buddhist temple', 'sikh temple', 'courthouse', 'church'];[0.5171043276786804, 0.4342831075191498, 0.4058636426925659, 0.4041217565536499, 0.39995312690734863, 0.3900233805179596, 0.3845197856426239, 0.38397204875946045, 0.38097894191741943, 0.3785885274410248];synagogue;A building that was built as a synagogue. Used in conjunction with amenity=place_of_worship, religion=*, denomination=* and landuse=religious for the grounds where it is in current use.;community government > spiritual center > synagogue;synagogue;1;1;1;1;building;building > religious
temple;building > religious > temple;A building that was built as a temple. Used in conjunction with amenity=place_of_worship, religion=*, denomination=* and landuse=religious for the grounds where it is in current use.;['temple', 'hindu temple', 'buddhist temple', 'confucian temple', 'sikh temple', 'shrine', 'synagogue', 'mosque', 'church', 'courthouse'];[0.5610219240188599, 0.5474703311920166, 0.4991305470466614, 0.4987281560897827, 0.47848623991012573, 0.47240161895751953, 0.43082767724990845, 0.42538902163505554, 0.4165388345718384, 0.4044782519340515];temple;A building that was built as a temple. Used in conjunction with amenity=place_of_worship, religion=*, denomination=* and landuse=religious for the grounds where it is in current use.;community government > spiritual center > temple;temple;1;1;1;1;building;building > religious
bakehouse;building > civicamenity > bakehouse;A building that was built as a bakehouse (i.e. for baking bread). Often used in conjunction with another node amenity=baking_oven and oven=wood_fired.;['bakery', 'corporate cafeteria', 'kitchen remodeler', 'chimney sweep', 'molecular gastronomy restaurant', 'kebab restaurant', 'caterer', 'lodge', 'multicuisine indian restaurant', 'bistro'];[0.3524625897407532, 0.32650917768478394, 0.31007444858551025, 0.30307888984680176, 0.2715575098991394, 0.2694714665412903, 0.26922059059143066, 0.26855364441871643, 0.26654955744743347, 0.2619185447692871];bakery;A building that was built as a bakehouse (i.e. for baking bread). Often used in conjunction with another node amenity=baking_oven and oven=wood_fired.;community government > government building;government building;0;0;0;0;building;building > civicamenity
bridge;building > civicamenity > bridge;A building used as a bridge (skyway). To map a gatehouse use building=gatehouse. See also bridge=yes for highway=*. Don't use this tag just for marking bridges (their outlines). For such purposes use man_made=bridge.;['bridge', 'residential building', 'city hall', 'home private', 'capitol building', 'courthouse', 'town hall', 'roof deck', 'government building', 'canal lock'];[0.4644162654876709, 0.3833729922771454, 0.3733750581741333, 0.3442515432834625, 0.34342750906944275, 0.321100652217865, 0.3080670237541199, 0.30020871758461, 0.2987712025642395, 0.29701918363571167];bridge;A building used as a bridge (skyway). To map a gatehouse use building=gatehouse. See also bridge=yes for highway=*. Don't use this tag just for marking bridges (their outlines). For such purposes use man_made=bridge.;community government > government building;government building;0;1;0;1;building;building > civicamenity
civic;building > civicamenity > civic;A generic tag for a building created to house some civic amenity, for example amenity=community_centre, amenity=library, amenity=toilets, leisure=sports_centre, leisure=swimming_pool, amenity=townhall etc. Use amenity=* or leisure=* etc. to provide further details. See building=public and more specific tags like building=library as well.;['residential building', 'home private', 'capitol building', 'apartment condo', 'city hall', 'government building', 'housing development', 'courthouse', 'housing authority', 'college engineering building'];[0.5403525233268738, 0.4977870583534241, 0.4722553491592407, 0.45416927337646484, 0.44476553797721863, 0.4432299733161926, 0.4322383999824524, 0.4274284839630127, 0.3760613203048706, 0.36882340908050537];government building;A generic tag for a building created to house some civic amenity, for example amenity=community_centre, amenity=library, amenity=toilets, leisure=sports_centre, leisure=swimming_pool, amenity=townhall etc. Use amenity=* or leisure=* etc. to provide further details. See building=public and more specific tags like building=library as well.;community government;community government;0;0;0;0;building;building > civicamenity
college;building > civicamenity > college;A college building. Use amenity=college on the whole college area to represent the college as an institution.;['college engineering building', 'college academic building', 'college administrative building', 'college arts building', 'college technology building', 'college communications building', 'college science building', 'college residence hall', 'college math building', 'college history building'];[0.6985970735549927, 0.6842408180236816, 0.6785496473312378, 0.6718648672103882, 0.6570738554000854, 0.6431620121002197, 0.6367495059967041, 0.6346836090087891, 0.6119459867477417, 0.6098498106002808];college academic building;A college building. Use amenity=college on the whole college area to represent the college as an institution.;community government > education > college university > college academic building;college academic building;1;1;0;1;building;building > civicamenity
fire station;building > civicamenity > fire station;A building constructed as fire station, i.e. to house fire fighting equipment and officers, regardless of current use. Add amenity=fire_station on the grounds for an active fire station.;['fire station', 'police station', 'rescue service', 'probation office', 'law enforcement public safety', 'military base', 'fuel station', 'office building', 'residential building', 'military'];[0.6482822895050049, 0.5048084259033203, 0.39629048109054565, 0.3895198702812195, 0.3821350932121277, 0.38107025623321533, 0.3750791847705841, 0.3618674874305725, 0.3606776297092438, 0.3576579689979553];fire station;A building constructed as fire station, i.e. to house fire fighting equipment and officers, regardless of current use. Add amenity=fire_station on the grounds for an active fire station.;community government > government building > law enforcement public safety > fire station;fire station;1;1;1;1;building;building > civicamenity
government;building > civicamenity > government;For government buildings in general, including municipal, provincial and divisional secretaries, government agencies and departments, town halls, (regional) parliaments and court houses.;['government department', 'government building', 'city hall', 'capitol building', 'courthouse', 'residential building', 'post office', 'town hall', 'police station', 'embassy consulate'];[0.6897858381271362, 0.6487258076667786, 0.648421049118042, 0.6424350738525391, 0.6408942937850952, 0.6004801988601685, 0.5620112419128418, 0.5600811839103699, 0.5265874266624451, 0.5248271226882935];government building;For government buildings in general, including municipal, provincial and divisional secretaries, government agencies and departments, town halls, (regional) parliaments and court houses.;community government > government building;government building;1;1;0;1;building;building > civicamenity
gatehouse;building > civicamenity > gatehouse;An entry control point building, spanning over a highway that enters a city or compound.;['city hall', 'residential building', 'capitol building', 'apartment condo', 'home private', 'government building', 'police station', 'town hall', 'airport gate', 'neighborhood'];[0.5024672746658325, 0.4812172055244446, 0.42947933077812195, 0.42305976152420044, 0.42123904824256897, 0.40279528498649597, 0.37217438220977783, 0.36841028928756714, 0.36557909846305847, 0.3590448498725891];government building;An entry control point building, spanning over a highway that enters a city or compound.;community government;community government;0;0;0;0;building;building > civicamenity
hospital;building > civicamenity > hospital;A building errected for a hospital. Use amenity=hospital for the hospital grounds.;['childrens hospital', 'emergency room', 'hospital unit', 'hospital', 'residential building', 'office building', 'nursing home', 'home private', 'fire station', 'city hall'];[0.4918195605278015, 0.4707806408405304, 0.46990036964416504, 0.4665926694869995, 0.45886120200157166, 0.44837528467178345, 0.4210693836212158, 0.42052459716796875, 0.4100891947746277, 0.4099900424480438];hospital;A building errected for a hospital. Use amenity=hospital for the hospital grounds.;health medicine > hospital > hospital unit;hospital unit;0;1;0;1;building;building > civicamenity
kindergarten;building > civicamenity > kindergarten;For any generic kindergarten buildings. Buildings for specific uses (sports halls etc.) should be tagged for their purpose. If there is currently a kindergarten in the building, use amenity=kindergarten on the perimeter of the kindergarten grounds.;['nursery school', 'indoor play area', 'preschool', 'elementary school', 'swim school', 'residential building', 'playground', 'capitol building', 'middle school', 'circus school'];[0.41553133726119995, 0.3933577537536621, 0.39245444536209106, 0.3758881390094757, 0.36657190322875977, 0.3640247583389282, 0.36221593618392944, 0.35783374309539795, 0.3551488518714905, 0.34811753034591675];preschool;For any generic kindergarten buildings. Buildings for specific uses (sports halls etc.) should be tagged for their purpose. If there is currently a kindergarten in the building, use amenity=kindergarten on the perimeter of the kindergarten grounds.;community government > education > nursery school;nursery school;0;1;1;1;building;building > civicamenity
museum;building > civicamenity > museum;A building which was designed as a museum.;['history museum', 'science museum', 'art museum', 'museum', 'erotic museum', 'city hall', 'exhibit', 'capitol building', 'courthouse', 'monument'];[0.6372382640838623, 0.6239662766456604, 0.622481107711792, 0.5865554809570312, 0.5078071355819702, 0.4448038637638092, 0.4434543550014496, 0.433647483587265, 0.42864805459976196, 0.4240574836730957];museum;A building which was designed as a museum.;arts entertainment > museum;museum;1;1;0;1;building;building > civicamenity
public;building > civicamenity > public;A building constructed as accessible to the general public (a town hall, police station, court house, etc.).;['city hall', 'courthouse', 'residential building', 'police station', 'town hall', 'home private', 'capitol building', 'government building', 'fire station', 'law enforcement public safety'];[0.6735860109329224, 0.6481414437294006, 0.6161928176879883, 0.6110743880271912, 0.6040291786193848, 0.6038758754730225, 0.590901255607605, 0.5777697563171387, 0.550048828125, 0.5358886122703552];government building;A building constructed as accessible to the general public (a town hall, police station, court house, etc.).;community government > government building;government building;1;1;0;1;building;building > civicamenity
school;building > civicamenity > school;A building errected as school. Buildings for specific uses (sports halls etc.) should be tagged for their purpose. If there is currently a school, use amenity=school on the perimeter of the school grounds.;['indoor play area', 'college engineering building', 'college stadium', 'residential building', 'flight school', 'swim school', 'capitol building', 'college arts building', 'college administrative building', 'circus school'];[0.45093995332717896, 0.44315773248672485, 0.43095558881759644, 0.42227521538734436, 0.4171569347381592, 0.415732741355896, 0.4150524139404297, 0.4140765070915222, 0.40607374906539917, 0.4048014283180237];college engineering building;A building errected as school. Buildings for specific uses (sports halls etc.) should be tagged for their purpose. If there is currently a school, use amenity=school on the perimeter of the school grounds.;community government > education;education;0;0;0;0;building;building > civicamenity
toilets;building > civicamenity > toilets;A toilet block.;['public bathroom', 'city hall', 'bathroom contractor', 'embassy consulate', 'tunnel', 'housing development', 'bridge', 'residential building', 'town hall', 'post office'];[0.453848659992218, 0.3418465256690979, 0.2928895950317383, 0.2600143551826477, 0.25977203249931335, 0.2564642131328583, 0.25231099128723145, 0.24845844507217407, 0.23980577290058136, 0.23632577061653137];public bathroom;A toilet block.;community government > public bathroom;public bathroom;1;1;1;1;building;building > civicamenity
train station;building > civicamenity > train station;A building constructed to be a train station building, including buildings that are abandoned and used nowadays for a different purpose.;['capitol building', 'city hall', 'residential building', 'train', 'rail station', 'light rail station', 'government building', 'metro station', 'home private', 'police station'];[0.4426119923591614, 0.41619452834129333, 0.4126039743423462, 0.4098758101463318, 0.404715895652771, 0.38144636154174805, 0.37980371713638306, 0.3796643614768982, 0.35502058267593384, 0.3459485173225403];rail station;A building constructed to be a train station building, including buildings that are abandoned and used nowadays for a different purpose.;travel transportation > transport hub > rail station;rail station;1;1;0;1;building;building > civicamenity
transportation;building > civicamenity > transportation;A building related to public transport. You will probably want to tag it with proper transport related tag as well, such as public_transport=station. Note that there is a special tag for train station buildings - building=train_station.;['train', 'street', 'rail station', 'light rail station', 'capitol building', 'public transportation', 'road', 'metro station', 'residential building', 'travel transportation'];[0.45098626613616943, 0.4341089427471161, 0.4277328848838806, 0.4238142967224121, 0.42185014486312866, 0.4215947985649109, 0.39579886198043823, 0.39373281598091125, 0.39137375354766846, 0.38464272022247314];rail station;A building related to public transport. You will probably want to tag it with proper transport related tag as well, such as public_transport=station. Note that there is a special tag for train station buildings - building=train_station.;travel transportation > transportation service > public transportation;public transportation;0;1;0;1;building;building > civicamenity
university;building > civicamenity > university;A university building. Use amenity=university for the university as an institution.;['college engineering building', 'college academic building', 'college administrative building', 'college arts building', 'college technology building', 'college communications building', 'college science building', 'college stadium', 'university', 'college history building'];[0.6113748550415039, 0.5720429420471191, 0.5520517230033875, 0.5505084991455078, 0.5459827184677124, 0.5359224081039429, 0.5200268030166626, 0.5112158060073853, 0.5088040828704834, 0.4966045916080475];university;A university building. Use amenity=university for the university as an institution.;community government > education > college university > college academic building;college academic building;0;1;0;1;building;building > civicamenity
barn;building > agriculturalplant production > barn;An agricultural building that can be used for storage and as a covered workplace.;['farm', 'coworking space', 'storage facility', 'office building', 'construction supplies store', 'agriculture forestry service', 'farmers market', 'construction', 'residential building', 'garden center'];[0.40060025453567505, 0.3800932466983795, 0.35285547375679016, 0.337040513753891, 0.32818418741226196, 0.3210025429725647, 0.3141065239906311, 0.3124261498451233, 0.30149900913238525, 0.29557448625564575];farm;An agricultural building that can be used for storage and as a covered workplace.;business professional services > storage facility;storage facility;0;1;0;1;building;building > agriculturalplant production
conservatory;building > agriculturalplant production > conservatory;A building or room having glass or tarpaulin roofing and walls used as an indoor garden or a sunroom (winter garden).;['garden center', 'picnic shelter', 'beer garden', 'landscaper gardener', 'botanical garden', 'garden', 'farm', 'framing store', 'residential building', 'planetarium'];[0.37601685523986816, 0.3666735291481018, 0.3518868386745453, 0.34293532371520996, 0.34268563985824585, 0.34009838104248047, 0.33899182081222534, 0.32569727301597595, 0.3247673511505127, 0.31486350297927856];botanical garden;A building or room having glass or tarpaulin roofing and walls used as an indoor garden or a sunroom (winter garden).;community government;community government;0;0;0;0;building;building > agriculturalplant production
cowshed;building > agriculturalplant production > cowshed;A cowshed (cow barn, cow house) is a building for housing cows, usually found on farms.;['farm', 'home private', 'residential building', 'housing development', 'animal shelter', 'capitol building', 'apartment condo', 'government building', 'farmers market', 'military base'];[0.4195300340652466, 0.3477148413658142, 0.34740012884140015, 0.3421782851219177, 0.3180614709854126, 0.2969437837600708, 0.27907586097717285, 0.27722588181495667, 0.27671509981155396, 0.2725214958190918];farm;A cowshed (cow barn, cow house) is a building for housing cows, usually found on farms.;landmarks outdoors > farm;farm;1;1;1;1;building;building > agriculturalplant production
farm auxiliary;building > agriculturalplant production > farm auxiliary;A building on a farm that is not a dwelling (use 'farm' or 'house' for the farm house).;['farm', 'home private', 'residential building', 'housing development', 'apartment condo', 'landscaper gardener', 'farmers market', 'garden center', 'housing authority', 'courthouse'];[0.47196120023727417, 0.4654056429862976, 0.4303928017616272, 0.4139648675918579, 0.38391074538230896, 0.36262673139572144, 0.3451318144798279, 0.34380680322647095, 0.32273900508880615, 0.32073652744293213];farm;A building on a farm that is not a dwelling (use 'farm' or 'house' for the farm house).;landmarks outdoors > farm;farm;1;1;1;1;building;building > agriculturalplant production
greenhouse;building > agriculturalplant production > greenhouse;A greenhouse is a glass or plastic covered building used to grow plants. Use landuse=greenhouse_horticulture for an area containing multiple greenhouses;['landscaper gardener', 'garden center', 'farm', 'apartment condo', 'home private', 'botanical garden', 'residential building', 'garden', 'plastics supplier', 'agriculture forestry service'];[0.2975364029407501, 0.2898915708065033, 0.2748246192932129, 0.2585877776145935, 0.2505419850349426, 0.24864475429058075, 0.2464946210384369, 0.24183300137519836, 0.24120062589645386, 0.23964762687683105];garden center;A greenhouse is a glass or plastic covered building used to grow plants. Use landuse=greenhouse_horticulture for an area containing multiple greenhouses;business professional services > agriculture forestry service;agriculture forestry service;0;1;0;1;building;building > agriculturalplant production
slurry tank;building > agriculturalplant production > slurry tank;A circular building built to hold a liquid mix of primarily animal excreta (also known as slurry).;['food stand', 'farmers market', 'food truck', 'gastropub', 'food court', 'farm', 'dumpling restaurant', 'butcher', 'meadery', 'agriturismo'];[0.29150334000587463, 0.2798563241958618, 0.26937955617904663, 0.2635405361652374, 0.25378715991973877, 0.2534743845462799, 0.23849624395370483, 0.2383348047733307, 0.23636583983898163, 0.23507219552993774];farm;A circular building built to hold a liquid mix of primarily animal excreta (also known as slurry).;landmarks outdoors > farm;farm;1;1;0;1;building;building > agriculturalplant production
stable;building > agriculturalplant production > stable;A building constructed as a stable for horses.;['farm', 'equestrian facility', 'stable', 'animal shelter', 'windmill', 'well', 'courthouse', 'racecourse', 'capitol building', 'nature preserve'];[0.40688595175743103, 0.40299588441848755, 0.3223736584186554, 0.304970383644104, 0.23160144686698914, 0.2311943620443344, 0.22764161229133606, 0.22547033429145813, 0.22391021251678467, 0.22057831287384033];stable;A building constructed as a stable for horses.;landmarks outdoors > stable;stable;1;1;0;1;building;building > agriculturalplant production
sty;building > agriculturalplant production > sty;A sty (pigsty, pig ark, pig-shed) is a building for raising domestic pigs, usually found on farms.;['farm', 'animal shelter', 'farmers market', 'pet supplies store', 'street food gathering', 'landscaper gardener', 'garden center', 'stoop sale', 'construction supplies store', 'home private'];[0.4018703103065491, 0.3225472569465637, 0.2841549813747406, 0.2732117772102356, 0.2679559588432312, 0.26670917868614197, 0.2604946494102478, 0.2507534325122833, 0.23915113508701324, 0.23837600648403168];farm;A sty (pigsty, pig ark, pig-shed) is a building for raising domestic pigs, usually found on farms.;landmarks outdoors > farm;farm;1;1;1;1;building;building > agriculturalplant production
livestock;building > agriculturalplant production > livestock;A building for housing/rising other livestock (apart from cows, horses or pigs covered above), or when the livestock changes.;['animal shelter', 'farm', 'housing development', 'residential building', 'home private', 'equestrian facility', 'government building', 'apartment condo', 'farmers market', 'fence contractor'];[0.4349856972694397, 0.380764365196228, 0.36042320728302, 0.29198798537254333, 0.28526628017425537, 0.27798914909362793, 0.26433485746383667, 0.2629128098487854, 0.25645169615745544, 0.25154438614845276];animal shelter;A building for housing/rising other livestock (apart from cows, horses or pigs covered above), or when the livestock changes.;landmarks outdoors > farm;farm;0;1;0;1;building;building > agriculturalplant production
