OSM_tag;OSM_path;OSM_description;FS_candidates;FS_scores;FS_tag_GPT;OSM_full_description;FS_manual_path;FS_manual_tag;correct;correct_in_k;correct_embedding;correct_in_k_or_main;OSM_main;OSM_main_sub
allotment house;building > storage > allotment house;A small outbuilding for short visits in a allotment garden.;['home private', 'residential building', 'garden', 'housing development', 'retirement home'];[0.4166834354400635, 0.39629489183425903, 0.3579165041446686, 0.34283384680747986, 0.3375090956687927];home private;A small outbuilding for short visits in a allotment garden.;community government > residential building > home private;home private;1;1;1;1;building;building > storage
boathouse;building > storage > boathouse;A boathouse is a building used for the storage of boats.;['boat rental', 'boat ferry', 'boarding house', 'canoe kayak rental', 'boat launch'];[0.5919646620750427, 0.45278608798980713, 0.4494217336177826, 0.43930521607398987, 0.4162559509277344];boat rental;A boathouse is a building used for the storage of boats.;business professional services > storage facility;storage facility;0;0;0;0;building;building > storage
hangar;building > storage > hangar;A hangar is a building used for the storage of airplanes, helicopters or space-craft. Consider adding aeroway=hangar, when appropriate.;['cabin', 'airport lounge', 'airfield', 'boarding house', 'plane'];[0.38614416122436523, 0.36769774556159973, 0.3609205484390259, 0.35697054862976074, 0.3516058623790741];airfield;A hangar is a building used for the storage of airplanes, helicopters or space-craft. Consider adding aeroway=hangar, when appropriate.;travel transportation > transport hub > airport;airport;0;0;0;0;building;building > storage
hut;building > storage > hut;A hut is a small and crude shelter. Note that this word has two meanings - it may be synonym of building=shed, it may be a residential building of low quality.;['residential building', 'home private', 'housing development', 'apartment condo', 'mountain hut'];[0.4174150824546814, 0.40845629572868347, 0.397427499294281, 0.3938864469528198, 0.36394548416137695];mountain hut;A hut is a small and crude shelter. Note that this word has two meanings - it may be synonym of building=shed, it may be a residential building of low quality.;community government > residential building;residential building;0;1;1;1;building;building > storage
shed;building > storage > shed;A shed is a simple, single-storey structure in a back garden or on an allotment that is used for storage, hobbies, or as a workshop.;['framing store', 'construction supplies store', 'hobby store', 'outdoor supply store', 'picnic shelter'];[0.385530948638916, 0.38352078199386597, 0.3621186316013336, 0.3609825670719147, 0.3513796925544739];construction supplies store;A shed is a simple, single-storey structure in a back garden or on an allotment that is used for storage, hobbies, or as a workshop.;business professional services > storage facility;storage facility;0;0;0;0;building;building > storage
carport;building > cars > carport;A carport is a covered structure used to offer limited protection to vehicles, primarily cars, from the elements. Unlike most structures a carport does not have four walls, and usually has one or two.;['residential building', 'platform', 'parking', 'capitol building', 'cable car'];[0.3180919289588928, 0.31792962551116943, 0.30507057905197144, 0.28231650590896606, 0.27951836585998535];parking;A carport is a covered structure used to offer limited protection to vehicles, primarily cars, from the elements. Unlike most structures a carport does not have four walls, and usually has one or two.;travel transportation > parking;parking;1;1;0;1;building;building > cars
garage;building > cars > garage;A garage is a building suitable for the storage of one or possibly more motor vehicle or similar. See building=garages for larger shared buildings. For an aircraft garage, see building=hangar.;['residential building', 'apartment condo', 'platform', 'home private', 'capitol building'];[0.41539037227630615, 0.39082005620002747, 0.3708358407020569, 0.36865684390068054, 0.36367037892341614];residential building;A garage is a building suitable for the storage of one or possibly more motor vehicle or similar. See building=garages for larger shared buildings. For an aircraft garage, see building=hangar.;travel transportation > parking;parking;0;0;0;0;building;building > cars
garages;building > cars > garages;A building that consists of a number of discrete storage spaces for different owners/tenants. See also building=garage.;['residential building', 'apartment condo', 'home private', 'city hall', 'storage facility'];[0.4052446782588959, 0.3709544241428375, 0.359280526638031, 0.3483809232711792, 0.33485275506973267];storage facility;A building that consists of a number of discrete storage spaces for different owners/tenants. See also building=garage.;travel transportation > parking;parking;0;0;0;0;building;building > cars
parking;building > cars > parking;Structure purpose-built for parking cars.;['parking', 'urban park', 'pedestrian plaza', 'structure', 'playground'];[0.5527979731559753, 0.40113407373428345, 0.3823734521865845, 0.3803453743457794, 0.37164151668548584];parking;Structure purpose-built for parking cars.;travel transportation > parking;parking;1;1;1;1;building;building > cars
digester;building > powertechnical buildings > digester;A digester is a bioreactor for the production of biogas from biomass.;['gastropub', 'capitol building', 'kitchen remodeler', 'chemicals gasses manufacturer', 'sewer contractor'];[0.32788509130477905, 0.30122819542884827, 0.29133617877960205, 0.2898883521556854, 0.2887696623802185];chemicals gasses manufacturer;A digester is a bioreactor for the production of biogas from biomass.;business professional services > renewable energy service;renewable energy service;0;0;0;0;building;building > powertechnical buildings
service;building > powertechnical buildings > service;Service building usually is a small unmanned building with certain machinery (like pumps or transformers).;['power plant', 'electrical equipment supplier', 'equipment rental service', 'renewable energy service', 'electrician'];[0.576248824596405, 0.4567315876483917, 0.4276920557022095, 0.42578190565109253, 0.42191678285598755];power plant;Service building usually is a small unmanned building with certain machinery (like pumps or transformers).;business professional services;business professional services;0;0;0;0;building;building > powertechnical buildings
tech cab;building > powertechnical buildings > tech cab;Small prefabricated cabin structures for the air-conditioned accommodation of different technology.;['cabin', 'travel lounge', 'boarding house', 'hostel', 'lodging'];[0.5171607136726379, 0.408264696598053, 0.3987717032432556, 0.3908270001411438, 0.3798067569732666];cabin;Small prefabricated cabin structures for the air-conditioned accommodation of different technology.;business professional services > home improvement service > heating ventilating air conditioning contractor;heating ventilating air conditioning contractor;0;0;0;0;building;building > powertechnical buildings
transformer tower;building > powertechnical buildings > transformer tower;A transformer tower is a characteristic tall building comprising a distribution transformer and constructed to connect directly to a medium voltage overhead power line. Quite often the power line has since been undergrounded but the building may still serve as a substation. If the building is still in use as a substation it should additionally be tagged as power=substation + substation=minor_distribution.;['power plant', 'residential building', 'utility company', 'electrical equipment supplier', 'apartment condo'];[0.3984754681587219, 0.3110458254814148, 0.30907267332077026, 0.290435254573822, 0.2801641821861267];power plant;A transformer tower is a characteristic tall building comprising a distribution transformer and constructed to connect directly to a medium voltage overhead power line. Quite often the power line has since been undergrounded but the building may still serve as a substation. If the building is still in use as a substation it should additionally be tagged as power=substation + substation=minor_distribution.;business professional services > electrical equipment supplier;electrical equipment supplier;0;1;0;1;building;building > powertechnical buildings
water tower;building > powertechnical buildings > water tower;A water tower.;['dam', 'power plant', 'fountain', 'roof deck', 'structure'];[0.4100439250469208, 0.3947792947292328, 0.3876440227031708, 0.3730562627315521, 0.3627234697341919];structure;A water tower.;landmarks outdoors;landmarks outdoors;0;0;0;0;building;building > powertechnical buildings
storage tank;building > powertechnical buildings > storage tank;Storage tanks are containers that hold liquids;['storage facility', 'baggage locker', 'fuel station', 'bubble tea shop', 'food stand'];[0.3623920679092407, 0.3268623948097229, 0.3141089081764221, 0.2938949465751648, 0.29014039039611816];storage facility;Storage tanks are containers that hold liquids;business professional services > storage facility;storage facility;1;1;1;1;building;building > powertechnical buildings
silo;building > powertechnical buildings > silo;A silo is a building for storing bulk materials;['construction supplies store', 'capitol building', 'storage facility', 'residential building', 'home private'];[0.3658697009086609, 0.3394922614097595, 0.3288043141365051, 0.3199033737182617, 0.28967368602752686];storage facility;A silo is a building for storing bulk materials;business professional services > storage facility;storage facility;1;1;0;1;building;building > powertechnical buildings
beach hut;building > buildings > beach hut;A small, usually wooden, and often brightly coloured cabin or shelter above the high tide mark on popular bathing beaches.;['beach', 'nudist beach', 'bathing area', 'harbor marina', 'mountain hut'];[0.5495938062667847, 0.5112868547439575, 0.48608511686325073, 0.4677450656890869, 0.45108962059020996];beach;A small, usually wooden, and often brightly coloured cabin or shelter above the high tide mark on popular bathing beaches.;landmarks outdoors > beach;beach;1;1;1;1;building;building > buildings
bunker;building > buildings > bunker;A hardened military building. Also use military=bunker.;['military base', 'military', 'capitol building', 'office building', 'residential building'];[0.43580999970436096, 0.3567854166030884, 0.2916387915611267, 0.28919070959091187, 0.28756454586982727];military base;A hardened military building. Also use military=bunker.;community government > government building > military;military;0;1;0;1;building;building > buildings
castle;building > buildings > castle;A building constructed as a castle. Can be further specified with historic=castle + castle_type=*.;['castle', 'palace', 'historic protected site', 'monument', 'residential building'];[0.5518938302993774, 0.2674306333065033, 0.2565745711326599, 0.24007655680179596, 0.23457984626293182];castle;A building constructed as a castle. Can be further specified with historic=castle + castle_type=*.;landmarks outdoors > castle;castle;1;1;1;1;building;building > buildings
construction;building > buildings > construction;Used for buildings under construction. Use construction=* to hold the value for the completed building.;['residential building', 'capitol building', 'government building', 'city hall', 'apartment condo'];[0.3759872317314148, 0.37405651807785034, 0.32654526829719543, 0.3220086097717285, 0.31902948021888733];residential building;Used for buildings under construction. Use construction=* to hold the value for the completed building.;business professional services > construction;construction;0;0;0;0;building;building > buildings
container;building > buildings > container;For a container used as a permanent building. Do not map containers placed temporarily, for example used in shipping or construction.;['pier', 'construction supplies store', 'boat launch', 'roof deck', 'boat rental'];[0.4360877275466919, 0.3726167678833008, 0.35879895091056824, 0.3530810475349426, 0.349948525428772];construction supplies store;For a container used as a permanent building. Do not map containers placed temporarily, for example used in shipping or construction.;business professional services > storage facility;storage facility;0;0;0;0;building;building > buildings
guardhouse;building > buildings > guardhouse;Poste de garde.;['residential building', 'post office', 'palace', 'capitol building', 'home private'];[0.4516381025314331, 0.41572073101997375, 0.40660256147384644, 0.40413135290145874, 0.4022403359413147];residential building;Poste de garde.;community government > government building > law enforcement public safety;law enforcement public safety;0;0;0;0;building;building > buildings
military;building > buildings > military;A military building. Also use military=*.;['military base', 'military', 'residential building', 'capitol building', 'home private'];[0.6098635196685791, 0.5423688888549805, 0.3620813488960266, 0.3483086824417114, 0.33806687593460083];military;A military building. Also use military=*.;community government > government building > military;military;1;1;0;1;building;building > buildings
outbuilding;building > buildings > outbuilding;A less important building near to and on the same piece of land as a larger building.;['structure', 'residential building', 'waterfront', 'capitol building', 'home private'];[0.393497109413147, 0.35604381561279297, 0.34451350569725037, 0.3345131278038025, 0.3336201310157776];structure;A less important building near to and on the same piece of land as a larger building.;community government;community government;0;0;0;0;building;building > buildings
pagoda;building > buildings > pagoda;A building constructed as a pagoda.;['capitol building', 'residential building', 'government building', 'city hall', 'home private'];[0.43290776014328003, 0.42206260561943054, 0.3760151267051697, 0.3715999126434326, 0.3599967956542969];capitol building;A building constructed as a pagoda.;community government > spiritual center > buddhist temple;buddhist temple;0;0;0;0;building;building > buildings
quonset hut;building > buildings > quonset hut;A lightweight prefabricated structure in the shape of a semicircle.;['mountain hut', 'residential building', 'structure', 'home private', 'apartment condo'];[0.43012735247612, 0.3989119529724121, 0.39394596219062805, 0.3608349561691284, 0.3603183627128601];structure;A lightweight prefabricated structure in the shape of a semicircle.;landmarks outdoors;landmarks outdoors;0;0;0;0;building;building > buildings
roof;building > buildings > roof;A structure that consists of a roof with open sides, such as a rain shelter, and also gas stations;['roof deck', 'roofer', 'picnic shelter', 'residential building', 'capitol building'];[0.44498974084854126, 0.4123545289039612, 0.38301441073417664, 0.374603271484375, 0.35005301237106323];picnic shelter;A structure that consists of a roof with open sides, such as a rain shelter, and also gas stations;community government;community government;0;0;0;0;building;building > buildings
ruins;building > buildings > ruins;Frequently used for a house or other building that is abandoned and in poor repair. However, some believe this usage is incorrect, and the tag should only be used for buildings constructed as fake ruins (for example sham ruins in an English landscape garden). See also lifecycle tagging.;['residential building', 'home private', 'housing development', 'capitol building', 'government building'];[0.3648686110973358, 0.3158414363861084, 0.30783510208129883, 0.2791135013103485, 0.2658613920211792];residential building;Frequently used for a house or other building that is abandoned and in poor repair. However, some believe this usage is incorrect, and the tag should only be used for buildings constructed as fake ruins (for example sham ruins in an English landscape garden). See also lifecycle tagging.;landmarks outdoors;landmarks outdoors;0;0;0;0;building;building > buildings
ship;building > buildings > ship;A decommissioned ship/submarine which stays in one place.;['harbor marina', 'boat launch', 'marine terminal', 'boat rental', 'boarding house'];[0.42482641339302063, 0.3953458070755005, 0.39250099658966064, 0.37185239791870117, 0.34604912996292114];marine terminal;A decommissioned ship/submarine which stays in one place.;landmarks outdoors;landmarks outdoors;0;0;0;0;building;building > buildings
tent;building > buildings > tent;For a permanently placed tent. Do not map tents placed temporarily.;['picnic shelter', 'campground', 'structure', 'lighthouse', 'roof deck'];[0.4135380983352661, 0.40462374687194824, 0.34442758560180664, 0.33631420135498047, 0.3347739279270172];campground;For a permanently placed tent. Do not map tents placed temporarily.;landmarks outdoors > campground;campground;1;1;0;1;building;building > buildings
tower;building > buildings > tower;A tower-building.;['capitol building', 'residential building', 'structure', 'office building', 'roof deck'];[0.4271789789199829, 0.40973106026649475, 0.40320366621017456, 0.3833639621734619, 0.38187646865844727];structure;A tower-building.;community government;community government;0;0;0;0;building;building > buildings
triumphal arch;building > buildings > triumphal arch;A free-standing monumental structure in the shape of an archway with one or more arched passageways.;['structure', 'monument', 'bridge', 'palace', 'canal lock'];[0.4487764239311218, 0.4191625714302063, 0.4070349931716919, 0.4066534638404846, 0.3729533553123474];monument;A free-standing monumental structure in the shape of an archway with one or more arched passageways.;landmarks outdoors > structure;structure;0;1;1;1;building;building > buildings
windmill;building > buildings > windmill;A building constructed as a traditional windmill, historically used to mill grain with wind power.;['windmill', 'farm', 'renewable energy service', 'power plant', 'residential building'];[0.5888598561286926, 0.3165126442909241, 0.2601640224456787, 0.23699742555618286, 0.23601676523685455];windmill;A building constructed as a traditional windmill, historically used to mill grain with wind power.;landmarks outdoors > windmill;windmill;1;1;1;1;building;building > buildings
agricultural engines;craft > agricultural engines;A workplace or office of a person who plans and construct engines and tools for agricultural use.;['landscaper gardener', 'agriculture forestry service', 'carpenter', 'factory', 'auto workshop'];[0.41982054710388184, 0.416220098733902, 0.3989594578742981, 0.3760228753089905, 0.3560510277748108];agriculture forestry service;A workplace or office of a person who plans and construct engines and tools for agricultural use.;business professional services > industrial equipment supplier;industrial equipment supplier;0;0;0;0;craft;craft > agricultural engines
atelier;craft > atelier;A place where visual artists work;['art studio', 'arts crafts store', 'art gallery', 'exhibit', 'arts entertainment'];[0.5517455339431763, 0.5228683948516846, 0.5155635476112366, 0.5083237290382385, 0.4999568462371826];art studio;A place where visual artists work;business professional services > art studio;art studio;1;1;1;1;craft;craft > atelier
bag repair;craft > bag repair;A place where bags/luggage are repaired.;['bagel shop', 'baggage locker', 'luggage store', 'repair service', 'tire repair shop'];[0.4503984749317169, 0.43595701456069946, 0.4306176006793976, 0.3684197664260864, 0.35083329677581787];repair service;A place where bags/luggage are repaired.;business professional services > repair service;repair service;1;1;0;1;craft;craft > bag repair
bakery;craft > bakery;A workplace for fresh bakery goods. May have no shop or be combined with a shop.;['pastry shop', 'waffle shop', 'cupcake shop', 'gelato shop', 'boutique'];[0.5290141105651855, 0.5115907788276672, 0.5095510482788086, 0.5079721212387085, 0.4922790825366974];pastry shop;A workplace for fresh bakery goods. May have no shop or be combined with a shop.;dining drinking > bakery;bakery;0;0;0;0;craft;craft > bakery
basket maker;craft > basket maker;A person weaving baskets.;['arts crafts store', 'wholesaler', 'cupcake shop', 'dessert shop', 'waffle shop'];[0.41262486577033997, 0.39751338958740234, 0.3636229336261749, 0.3413144648075104, 0.3384954631328583];arts crafts store;A person weaving baskets.;business professional services > creative service;creative service;0;0;0;0;craft;craft > basket maker
beekeeper;craft > beekeeper;The workplace of a beekeeper (apiarist).;['pest control service', 'factory', 'dry cleaner', 'health beauty service', 'laboratory'];[0.3561616837978363, 0.34474027156829834, 0.33571916818618774, 0.32411226630210876, 0.3212696313858032];factory;The workplace of a beekeeper (apiarist).;business professional services > agriculture forestry service;agriculture forestry service;0;0;0;0;craft;craft > beekeeper
blacksmith;craft > blacksmith;A place where a blacksmith forges tools, horseshoes, etc. from iron.;['arts crafts store', 'auto workshop', 'metals supplier', 'construction supplies store', 'hobby store'];[0.42678773403167725, 0.40104416012763977, 0.3936781883239746, 0.3923708200454712, 0.37409883737564087];metals supplier;A place where a blacksmith forges tools, horseshoes, etc. from iron.;business professional services > metals supplier;metals supplier;1;1;0;1;craft;craft > blacksmith
boatbuilder;craft > boatbuilder;A workplace where boats are planned and constructed;['boat rental', 'boat launch', 'boat ferry', 'sailing club', 'harbor marina'];[0.5652899146080017, 0.5033107399940491, 0.4979640543460846, 0.46419572830200195, 0.3987268805503845];boat rental;A workplace where boats are planned and constructed;travel transportation;travel transportation;0;0;0;0;craft;craft > boatbuilder
bookbinder;craft > bookbinder;A workplace for physically assembling a book from a number of sheets of paper.;['paper supplier', 'writing copywriting technical writing service', 'used bookstore', 'warehouse', 'accounting bookkeeping service'];[0.3963676691055298, 0.37802761793136597, 0.3439898192882538, 0.3299042582511902, 0.3278138041496277];paper supplier;A workplace for physically assembling a book from a number of sheets of paper.;business professional services > publisher;publisher;0;0;0;0;craft;craft > bookbinder
brewery;craft > brewery;A dedicated building for the making of beer.;['brewery', 'beer garden', 'beer festival', 'winery', 'distillery'];[0.7048993110656738, 0.587492823600769, 0.5149927139282227, 0.49319595098495483, 0.4854944944381714];brewery;A dedicated building for the making of beer.;dining drinking > brewery;brewery;1;1;1;1;craft;craft > brewery
builder;craft > builder;A workplace or office of a tradesman who performs structural alterations and additions to buildings.;['carpenter', 'office building', 'kitchen remodeler', 'construction', 'interior designer'];[0.4464283585548401, 0.42813223600387573, 0.4103109836578369, 0.4094509184360504, 0.40611186623573303];construction;A workplace or office of a tradesman who performs structural alterations and additions to buildings.;business professional services;business professional services;0;0;0;0;craft;craft > builder
cabinet maker;craft > cabinet maker;A person who makes fine wooden furniture;['carpenter', 'upholstery service', 'furniture home store', 'kitchen supply store', 'interior designer'];[0.4367068111896515, 0.4035184979438782, 0.3965577781200409, 0.39583978056907654, 0.3909808397293091];carpenter;A person who makes fine wooden furniture;business professional services > home improvement service > carpenter;carpenter;1;1;1;1;craft;craft > cabinet maker
candlemaker;craft > candlemaker;A person who makes candles or a manufactory where candles were made.;['chemicals gasses manufacturer', 'wholesaler', 'manufacturer', 'arts crafts store', 'lighting store'];[0.37625521421432495, 0.3614087402820587, 0.3609260320663452, 0.35840338468551636, 0.3398609161376953];manufacturer;A person who makes candles or a manufactory where candles were made.;business professional services > creative service;creative service;0;0;0;0;craft;craft > candlemaker
car painter;craft > car painter;A place specializing in painting cars.;['automotive shop', 'painter', 'arts crafts store', 'classic antique car dealership', 'car dealership'];[0.4896751940250397, 0.48386335372924805, 0.46209970116615295, 0.44446346163749695, 0.43041080236434937];automotive shop;A place specializing in painting cars.;retail > auto workshop;auto workshop;0;0;0;0;craft;craft > car painter
carpenter;craft > carpenter;A workplace or office of carpenters that work with timber to construct, install and maintain buildings, furniture, and other objects.;['carpenter', 'construction', 'office building', 'carpet flooring contractor', 'upholstery service'];[0.5635205507278442, 0.445777952671051, 0.3998605012893677, 0.3951685428619385, 0.39258015155792236];carpenter;A workplace or office of carpenters that work with timber to construct, install and maintain buildings, furniture, and other objects.;business professional services > home improvement service > carpenter;carpenter;1;1;1;1;craft;craft > carpenter
carpet cleaner;craft > carpet cleaner;A carpet cleaner is a tradesman who specializes in cleaning carpets;['carpet flooring contractor', 'carpet store', 'professional cleaning service', 'upholstery service', 'carpenter'];[0.6126010417938232, 0.505033016204834, 0.46365436911582947, 0.45311740040779114, 0.442310094833374];professional cleaning service;A carpet cleaner is a tradesman who specializes in cleaning carpets;business professional services > home improvement service > professional cleaning service;professional cleaning service;1;1;0;1;craft;craft > carpet cleaner
carpet layer;craft > carpet layer;A carpet layer is a tradesmen who specializes in laying carpets;['carpet flooring contractor', 'carpet store', 'auto workshop', 'shipping freight material transportation service', 'warehouse'];[0.5902588367462158, 0.4753761887550354, 0.3513984680175781, 0.3394029140472412, 0.33762669563293457];carpet flooring contractor;A carpet layer is a tradesmen who specializes in laying carpets;business professional services > home improvement service > carpet flooring contractor;carpet flooring contractor;1;1;1;1;craft;craft > carpet layer
caterer;craft > caterer;A workplace or office of one who prepares customized meals for takeout, or provides prepared meals or supplies to a group at social gatherings;['caterer', 'street food gathering', 'corporate cafeteria', 'food distribution center', 'pastry shop'];[0.5797703862190247, 0.5175010561943054, 0.5110771656036377, 0.4842103123664856, 0.4611359238624573];caterer;A workplace or office of one who prepares customized meals for takeout, or provides prepared meals or supplies to a group at social gatherings;business professional services > food beverage service > caterer;caterer;1;1;1;1;craft;craft > caterer
chimney sweeper;craft > chimney sweeper;A workplace or office of a person who cleans chimneys for a living.;['chimney sweep', 'professional cleaning service', 'roofer', 'sewer contractor', 'pest control service'];[0.6922451257705688, 0.4703454077243805, 0.3729093372821808, 0.37130868434906006, 0.3693498969078064];chimney sweep;A workplace or office of a person who cleans chimneys for a living.;business professional services > home improvement service > chimney sweep;chimney sweep;1;1;1;1;craft;craft > chimney sweeper
cleaning;craft > cleaning;Workplace or office of a person who cleans buildings, industrial facilities or windows.;['professional cleaning service', 'doors windows contractor', 'dry cleaner', 'recycling facility', 'office building'];[0.4790937304496765, 0.4573569595813751, 0.4177515506744385, 0.4094558358192444, 0.4037821590900421];professional cleaning service;Workplace or office of a person who cleans buildings, industrial facilities or windows.;business professional services > home improvement service > professional cleaning service;professional cleaning service;1;1;1;1;craft;craft > cleaning
clockmaker;craft > clockmaker;A workplace or office of a clockmaker that is building, repairing or engraving clocks of all sorts.;['arts crafts store', 'machine shop', 'doors windows contractor', 'antique store', 'locksmith'];[0.4134613871574402, 0.36437562108039856, 0.33537113666534424, 0.3349796533584595, 0.33381199836730957];machine shop;A workplace or office of a clockmaker that is building, repairing or engraving clocks of all sorts.;business professional services > repair service;repair service;0;0;0;0;craft;craft > clockmaker
clothes mending;craft > clothes mending;A place where clothing is mended (repaired) or altered professionally.;['textiles store', 'arts crafts store', 'fashion accessories store', 'mens store', 'knitting store'];[0.48225903511047363, 0.4524138271808624, 0.42589348554611206, 0.4169175922870636, 0.4167008101940155];textiles store;A place where clothing is mended (repaired) or altered professionally.;business professional services > tailor;tailor;0;0;0;0;craft;craft > clothes mending
confectionery;craft > confectionery;A place where the set of food items that are rich in sugar, any one or type of which is called a confection is produced.;['frozen yogurt shop', 'candy store', 'snack place', 'cupcake shop', 'smoothie shop'];[0.49058905243873596, 0.48206591606140137, 0.44764864444732666, 0.43922877311706543, 0.43843770027160645];candy store;A place where the set of food items that are rich in sugar, any one or type of which is called a confection is produced.;retail > food beverage retail > candy store;candy store;1;1;0;1;craft;craft > confectionery
cooper;craft > cooper;A person or company that manufacture of containers and vessels mainly made of wood.;['plastics supplier', 'shipping freight material transportation service', 'metals supplier', 'construction supplies store', 'rubber supplier'];[0.3851333558559418, 0.37154799699783325, 0.3667270243167877, 0.3640957772731781, 0.34646859765052795];construction supplies store;A person or company that manufacture of containers and vessels mainly made of wood.;business professional services;business professional services;0;0;0;0;craft;craft > cooper
dental technician;craft > dental technician;A workplace for a dental technician who constructs custom-made restorative and dental appliances.;['dentist', 'kitchen remodeler', 'factory', 'welding service', 'electrical equipment supplier'];[0.3966667652130127, 0.3859856128692627, 0.382577508687973, 0.3740718364715576, 0.365509033203125];dentist;A workplace for a dental technician who constructs custom-made restorative and dental appliances.;health medicine;health medicine;0;0;0;0;craft;craft > dental technician
distillery;craft > distillery;An establishment for distilling, especially for distilling alcoholic liquors.;['distillery', 'winery', 'brewery', 'whisky bar', 'liquor store'];[0.7326829433441162, 0.5551789999008179, 0.49359428882598877, 0.45778417587280273, 0.4491083025932312];distillery;An establishment for distilling, especially for distilling alcoholic liquors.;dining drinking > distillery;distillery;1;1;1;1;craft;craft > distillery
door construction;craft > door construction;A workplace of someone constructing doors;['doors windows contractor', 'garage door supplier', 'construction', 'interior designer', 'office building'];[0.5916696786880493, 0.5266176462173462, 0.44669896364212036, 0.4120609760284424, 0.40428176522254944];doors windows contractor;A workplace of someone constructing doors;business professional services > home improvement service > doors windows contractor;doors windows contractor;1;1;1;1;craft;craft > door construction
dressmaker;craft > dressmaker;Dressmaker is a person who makes custom clothing for women, such as dresses, blouses, and evening gowns.;['bridal store', 'fashion accessories store', 'clothing store', 'womens store', 'fashion retail'];[0.44756847620010376, 0.4429587721824646, 0.4279341995716095, 0.4234256446361542, 0.4202693700790405];clothing store;Dressmaker is a person who makes custom clothing for women, such as dresses, blouses, and evening gowns.;business professional services > tailor;tailor;0;0;0;0;craft;craft > dressmaker
electrician;craft > electrician;A person or company that works with electricity or electrical systems.;['electrician', 'electrical equipment supplier', 'power plant', 'carpenter', 'welding service'];[0.6708166599273682, 0.6489632725715637, 0.5457276701927185, 0.4978955388069153, 0.49299103021621704];electrician;A person or company that works with electricity or electrical systems.;business professional services > home improvement service > electrician;electrician;1;1;1;1;craft;craft > electrician
electronics repair;craft > electronics repair;Repair shops and service centres which provides repair of computers, phones, appliance etc.;['computer repair service', 'repair service', 'motorcycle repair shop', 'machine shop', 'automotive repair shop'];[0.6755554676055908, 0.6191912889480591, 0.5738273859024048, 0.5498682260513306, 0.5208094120025635];computer repair service;Repair shops and service centres which provides repair of computers, phones, appliance etc.;business professional services > computer repair service;computer repair service;1;1;1;1;craft;craft > electronics repair
elevator;craft > elevator;Company specialized in installing elevators.;['industrial equipment supplier', 'metals supplier', 'electrical equipment supplier', 'garage door supplier', 'auto workshop'];[0.40654200315475464, 0.37341177463531494, 0.3727455735206604, 0.37203270196914673, 0.37122976779937744];industrial equipment supplier;Company specialized in installing elevators.;business professional services;business professional services;0;0;0;0;craft;craft > elevator
embroiderer;craft > embroiderer;Needlework or textile artist;['arts crafts store', 'textiles store', 'knitting store', 'tattoo parlor', 'painter'];[0.5441321730613708, 0.4505457282066345, 0.42089706659317017, 0.3981558084487915, 0.3827410936355591];arts crafts store;Needlework or textile artist;retail > arts crafts store;arts crafts store;1;1;1;1;craft;craft > embroiderer
engraver;craft > engraver;A workplace or office of an engraver.;['arts crafts store', 'tattoo parlor', 'paper supplier', 'painter', 'art studio'];[0.38759398460388184, 0.36915677785873413, 0.36256563663482666, 0.3515314757823944, 0.34837162494659424];arts crafts store;A workplace or office of an engraver.;business professional services > creative service;creative service;0;0;0;0;craft;craft > engraver
fence maker;craft > fence maker;A workplace or office of a person or company specialized in manufacturing and installing fences.;['fence contractor', 'carpenter', 'deck patio contractor', 'doors windows contractor', 'construction'];[0.6616989374160767, 0.4464602470397949, 0.42005831003189087, 0.39268916845321655, 0.38675469160079956];fence contractor;A workplace or office of a person or company specialized in manufacturing and installing fences.;business professional services > home improvement service > fence contractor;fence contractor;1;1;1;1;craft;craft > fence maker
floorer;craft > floorer;A workplace or office of a floorer.;['carpet flooring contractor', 'coworking space', 'auto workshop', 'office building', 'arts crafts store'];[0.4996289610862732, 0.4525642395019531, 0.424877405166626, 0.4241914749145508, 0.38812553882598877];carpet flooring contractor;A workplace or office of a floorer.;business professional services > home improvement service > carpet flooring contractor;carpet flooring contractor;1;1;1;1;craft;craft > floorer
gardener;craft > gardener;A workplace or office of a garden designer or a landscape gardener.;['landscaper gardener', 'garden center', 'deck patio contractor', 'coworking space', 'sculpture garden'];[0.6787543296813965, 0.47622010111808777, 0.43475571274757385, 0.42406877875328064, 0.42382049560546875];landscaper gardener;A workplace or office of a garden designer or a landscape gardener.;business professional services > home improvement service > landscaper gardener;landscaper gardener;1;1;1;1;craft;craft > gardener
glassblower;craft > glassblower;A person or company that blows bottles or other objects from molten glass.;['winery', 'bubble tea shop', 'meadery', 'plastics supplier', 'distillery'];[0.26702165603637695, 0.2633911073207855, 0.26080450415611267, 0.25449246168136597, 0.24192632734775543];plastics supplier;A person or company that blows bottles or other objects from molten glass.;business professional services > creative service;creative service;0;0;0;0;craft;craft > glassblower
glaziery;craft > glaziery;A place where residential, commercial, and artistic glass is selected, cut, installed, replaced, and removed.;['art restoration service', 'doors windows contractor', 'arts crafts store', 'sunglasses store', 'painter'];[0.3266904950141907, 0.29432570934295654, 0.28572869300842285, 0.28142422437667847, 0.28078174591064453];doors windows contractor;A place where residential, commercial, and artistic glass is selected, cut, installed, replaced, and removed.;business professional services > home improvement service > doors windows contractor;doors windows contractor;1;1;0;1;craft;craft > glaziery
