OSM_tag;OSM_path;OSM_description;FS_candidates;FS_scores;FS_tag_GPT;OSM_full_description;FS_manual_path;FS_manual_tag;correct;new_correct;OSM_main;OSM_main_sub
aboriginal lands;boundary > boundary types > aboriginal lands;A boundary representing official reservation boundaries of recognized aboriginal / indigenous / native peoples.;['country', 'labor union', 'state provincial park', 'state', 'farm', 'forest', 'bridge', 'national park', 'building land surveyor', 'nature preserve', 'island', 'historic protected site', 'event', 'organization', 'lake', 'village', 'natural park', 'lgbtq organization', 'states municipalities', 'scenic lookout', 'bay', 'great outdoors', 'field', 'dam', 'landmarks outdoors', 'cemetery', 'county', 'hockey field', 'border crossing', 'hunting area'];[0.33242881298065186, 0.28223931789398193, 0.2584705352783203, 0.2563167214393616, 0.24555744230747223, 0.23757082223892212, 0.2342856228351593, 0.23034200072288513, 0.22812291979789734, 0.21714608371257782, 0.21221503615379333, 0.21193011105060577, 0.21130894124507904, 0.19103753566741943, 0.19092077016830444, 0.1897634118795395, 0.1873672902584076, 0.18693414330482483, 0.1793779730796814, 0.17623339593410492, 0.1750412881374359, 0.1742323935031891, 0.1741497814655304, 0.1661614179611206, 0.16537943482398987, 0.1629510372877121, 0.1606861799955368, 0.15900030732154846, 0.15848258137702942, 0.157337486743927];landmarks outdoors;A boundary representing official reservation boundaries of recognized aboriginal / indigenous / native peoples.;landmarks outdoors > states municipalities;states municipalities;0;0;boundary;boundary > boundary types
administrative;boundary > boundary types > administrative;An administrative boundary. Subdivisions of areas/territories/jurisdictions recognised by governments or other organisations for administrative purposes. These range from large groups of nation states right down to small administrative districts and suburbs, as indicated by the admin_level=* combo tag.;['country', 'states municipalities', 'state', 'town hall', 'government department', 'city hall', 'industrial estate', 'county', 'town', 'city', 'neighborhood', 'apartment condo', 'organization', 'government building', 'community government', 'village', 'building land surveyor', 'police station', 'event', 'residential building', 'capitol building', 'state provincial park', 'social services organization', 'real estate development title company', 'probation office', 'housing authority', 'rescue service', 'housing development', 'labor union', 'law enforcement public safety'];[0.444048672914505, 0.43241968750953674, 0.39519956707954407, 0.3791815936565399, 0.3695842921733856, 0.35787105560302734, 0.354769229888916, 0.34840327501296997, 0.3474690914154053, 0.3354417681694031, 0.33455416560173035, 0.31702089309692383, 0.31113871932029724, 0.3001440763473511, 0.29531118273735046, 0.2933661639690399, 0.290073037147522, 0.2766030430793762, 0.27197521924972534, 0.2700669765472412, 0.26951882243156433, 0.2678329348564148, 0.2567741870880127, 0.2525138854980469, 0.24878209829330444, 0.2462659478187561, 0.24175885319709778, 0.2375192940235138, 0.23643016815185547, 0.2359236478805542];community government;An administrative boundary. Subdivisions of areas/territories/jurisdictions recognised by governments or other organisations for administrative purposes. These range from large groups of nation states right down to small administrative districts and suburbs, as indicated by the admin_level=* combo tag.;landmarks outdoors > states municipalities;states municipalities;0;0;boundary;boundary > boundary types
border zone;boundary > boundary types > border zone;A border zone is an area near the border where special restrictions on movement apply. Usually a permit is required for visiting.;['country', 'border crossing', 'bridge', 'hunting area', 'parking', 'state provincial park', 'immigration attorney', 'county', 'state', 'bus line', 'transport hub', 'surf spot', 'dam', 'ski trail', 'industrial estate', 'neighborhood', 'natural park', 'town', 'states municipalities', 'intersection', 'platform', 'taxi stand', 'scenic lookout', 'forest', 'national park', 'track', 'bike trail', 'nature preserve', 'village', 'great outdoors'];[0.42424267530441284, 0.38130414485931396, 0.2720227837562561, 0.26904013752937317, 0.2658357322216034, 0.24732829630374908, 0.24120771884918213, 0.23803365230560303, 0.23783813416957855, 0.23538869619369507, 0.22964930534362793, 0.22666451334953308, 0.21558967232704163, 0.21167784929275513, 0.2097417116165161, 0.20497047901153564, 0.20430311560630798, 0.2024303376674652, 0.20240816473960876, 0.19945448637008667, 0.19769883155822754, 0.19505423307418823, 0.19300466775894165, 0.19121019542217255, 0.19005420804023743, 0.18948978185653687, 0.18725034594535828, 0.18596898019313812, 0.18591809272766113, 0.18558624386787415];border crossing;A border zone is an area near the border where special restrictions on movement apply. Usually a permit is required for visiting.;travel transportation > border crossing;border crossing;1;1;boundary;boundary > boundary types
census;boundary > boundary types > census;A census-designated boundary delineating a statistical area, not necessarily observable on the ground.;['city', 'building land surveyor', 'country', 'states municipalities', 'neighborhood', 'state', 'town', 'event', 'residential building', 'hill', 'county', 'town hall', 'forest', 'home private', 'village', 'apartment condo', 'state provincial park', 'city hall', 'capitol building', 'college math building', 'mountain', 'bridge', 'government department', 'college history building', 'industrial estate', 'polling place', 'farm', 'scenic lookout', 'bay', 'historic protected site'];[0.29684698581695557, 0.29678577184677124, 0.29315170645713806, 0.28587883710861206, 0.2750466763973236, 0.2748239040374756, 0.26393845677375793, 0.2426673322916031, 0.2426072061061859, 0.23690497875213623, 0.23598584532737732, 0.23190933465957642, 0.23062506318092346, 0.22382836043834686, 0.2194811999797821, 0.21343176066875458, 0.2054242193698883, 0.2044025957584381, 0.2013477236032486, 0.19935625791549683, 0.19876670837402344, 0.195602148771286, 0.1945168375968933, 0.19314607977867126, 0.19266459345817566, 0.19203820824623108, 0.18678021430969238, 0.1818440854549408, 0.18108254671096802, 0.17908692359924316];county;A census-designated boundary delineating a statistical area, not necessarily observable on the ground.;landmarks outdoors > states municipalities;states municipalities;0;1;boundary;boundary > boundary types
forest;boundary > boundary types > forest;A delimited forest is a land which is predominantly wooded and which is, for this reason, given defined boundaries. It may cover different tree stands, non-wooded areas, highways… but all the area within the boundaries are considered and managed as a single forest.;['forest', 'agriculture forestry service', 'bridge', 'country', 'logging service', 'nature preserve', 'tree', 'building land surveyor', 'farm', 'scenic lookout', 'tree service', 'event', 'industrial estate', 'states municipalities', 'state provincial park', 'hunting area', 'field', 'great outdoors', 'natural park', 'national park', 'real estate development title company', 'city', 'state', 'town', 'hill', 'bus line', 'government department', 'neighborhood', 'village', 'landmarks outdoors'];[0.47926419973373413, 0.35774514079093933, 0.31908881664276123, 0.2904217839241028, 0.28948771953582764, 0.2844352722167969, 0.28056931495666504, 0.2701547145843506, 0.2661888599395752, 0.26504456996917725, 0.25904059410095215, 0.2582769989967346, 0.2568516433238983, 0.2522173523902893, 0.25006768107414246, 0.244118332862854, 0.24377977848052979, 0.24298354983329773, 0.24247170984745026, 0.23915696144104004, 0.22713808715343475, 0.22420722246170044, 0.2231132686138153, 0.21787258982658386, 0.21428081393241882, 0.21158243715763092, 0.20944616198539734, 0.2061421275138855, 0.20388585329055786, 0.20299524068832397];forest;A delimited forest is a land which is predominantly wooded and which is, for this reason, given defined boundaries. It may cover different tree stands, non-wooded areas, highways�?� but all the area within the boundaries are considered and managed as a single forest.;landmarks outdoors > forest;forest;1;1;boundary;boundary > boundary types
forest compartment;boundary > boundary types > forest compartment;A forest compartment is a numbered sub-division within a delimited forest, physically materialized with visible, typically cleared, boundaries.;['forest', 'tree', 'disc golf course', 'national park', 'agriculture forestry service', 'country', 'nature preserve', 'states municipalities', 'golf course', 'tree service', 'airport gate', 'bridge', 'hill', 'rv park', 'natural park', 'taxi stand', 'campground', 'state provincial park', 'logging service', 'state', 'event', 'county', 'scenic lookout', 'airfield', 'platform', 'swimming pool', 'city', 'upholstery service', 'batting cages', 'picnic shelter'];[0.47547900676727295, 0.2696809768676758, 0.24953453242778778, 0.2311810851097107, 0.2293790578842163, 0.2213018238544464, 0.2208709567785263, 0.21273481845855713, 0.20884248614311218, 0.20316264033317566, 0.20010696351528168, 0.19771511852741241, 0.19651105999946594, 0.19497060775756836, 0.19193704426288605, 0.1897047609090805, 0.18826495110988617, 0.1846674084663391, 0.18457789719104767, 0.18182605504989624, 0.17524704337120056, 0.17492978274822235, 0.17279955744743347, 0.17230337858200073, 0.17228780686855316, 0.17189039289951324, 0.17028117179870605, 0.1695123016834259, 0.16788733005523682, 0.16705328226089478];forest;A forest compartment is a numbered sub-division within a delimited forest, physically materialized with visible, typically cleared, boundaries.;landmarks outdoors > forest;forest;1;1;boundary;boundary > boundary types
hazard;boundary > boundary types > hazard;A designated hazardous area, with a potential source of damage to health, life, property, or any other interest of value.;['industrial estate', 'rescue service', 'real estate appraiser', 'appraiser', 'environmental organization', 'nature preserve', 'security safety', 'geological service', 'fire station', 'bridge', 'building land surveyor', 'real estate development title company', 'waterfront', 'water treatment service', 'natural park', 'corporate amenity', 'vehicle inspection station', 'salvage yard', 'law enforcement public safety', 'property management office', 'deck patio contractor', 'hunting area', 'apartment condo', 'health medicine', 'dam', 'waste management service', 'national park', 'interior designer', 'corporate housing agency', 'home inspection'];[0.32155895233154297, 0.27120864391326904, 0.2665201425552368, 0.2661139667034149, 0.2638104557991028, 0.26111117005348206, 0.2599983811378479, 0.25875920057296753, 0.2583692669868469, 0.2547217011451721, 0.2529491186141968, 0.24951787292957306, 0.2404683232307434, 0.2402452528476715, 0.23861238360404968, 0.23526722192764282, 0.234256774187088, 0.2339787483215332, 0.23394697904586792, 0.23131300508975983, 0.22986501455307007, 0.22679999470710754, 0.22587016224861145, 0.22362610697746277, 0.22232584655284882, 0.22221052646636963, 0.21674120426177979, 0.21314454078674316, 0.21289724111557007, 0.21232472360134125];security safety;A designated hazardous area, with a potential source of damage to health, life, property, or any other interest of value.;landmarks outdoors;landmarks outdoors;0;0;boundary;boundary > boundary types
health;boundary > boundary types > health;Health division boundaries. Some mappers use health_level=* instead of admin_level=* to specify level in the health system hierarchy.;['hospital unit', 'health medicine', 'pathologist', 'medical center', 'healthcare clinic', 'childrens hospital', 'internal medicine doctor', 'cardiologist', 'home health care service', 'medical lab', 'doctors office', 'hospital', 'respiratory doctor', 'womens health clinic', 'urgent care center', 'pediatrician', 'barbershop', 'government department', 'physician', 'aids resource', 'family medicine doctor', 'industrial estate', 'blood bank', 'ambulance service', 'building land surveyor', 'healthcare professional', 'ear nose throat doctor', 'assisted living service', 'hair salon', 'neurologist'];[0.3688201308250427, 0.34305131435394287, 0.30591705441474915, 0.2908317446708679, 0.2898022532463074, 0.2888902723789215, 0.2861103415489197, 0.28607863187789917, 0.28063589334487915, 0.2731989026069641, 0.2677343785762787, 0.26575884222984314, 0.2654072344303131, 0.2652243971824646, 0.2593781352043152, 0.25626224279403687, 0.2542268633842468, 0.25395238399505615, 0.2523384988307953, 0.24916738271713257, 0.24718227982521057, 0.23339784145355225, 0.23305180668830872, 0.23303425312042236, 0.2323669195175171, 0.23081639409065247, 0.22621610760688782, 0.22548480331897736, 0.22499248385429382, 0.22406689822673798];health medicine;Health division boundaries. Some mappers use health_level=* instead of admin_level=* to specify level in the health system hierarchy.;health medicine;health medicine;1;1;boundary;boundary > boundary types
historic;boundary > boundary types > historic;A historic administrative boundary (use judiciously).;['country', 'historic protected site', 'state', 'states municipalities', 'county', 'bridge', 'history museum', 'state provincial park', 'neighborhood', 'city hall', 'antique store', 'industrial estate', 'town hall', 'city', 'government building', 'event', 'building land surveyor', 'cemetery', 'college history building', 'museum', 'border crossing', 'canal', 'nature preserve', 'courthouse', 'dam', 'town', 'castle', 'landmarks outdoors', 'government department', 'village'];[0.4610985219478607, 0.3732340335845947, 0.3559269309043884, 0.33944830298423767, 0.29850122332572937, 0.27993667125701904, 0.2721407115459442, 0.26711344718933105, 0.25716114044189453, 0.2540033161640167, 0.24506601691246033, 0.24421539902687073, 0.24132506549358368, 0.24096065759658813, 0.23699352145195007, 0.23445799946784973, 0.23064446449279785, 0.22643721103668213, 0.22560031712055206, 0.2230718731880188, 0.2221820056438446, 0.22081997990608215, 0.21992945671081543, 0.21944677829742432, 0.21828791499137878, 0.2159080058336258, 0.21386921405792236, 0.21299567818641663, 0.20838318765163422, 0.2083197981119156];historic protected site;A historic administrative boundary (use judiciously).;landmarks outdoors > states municipalities;states municipalities;0;0;boundary;boundary > boundary types
limited traffic zone;boundary > boundary types > limited traffic zone;Describes an officially designated area that requires authorization for the entry of certain vehicles.;['parking', 'country', 'truck stop', 'vehicle inspection station', 'transport hub', 'border crossing', 'hunting area', 'bus line', 'bridge', 'taxi stand', 'rest area', 'rv park', 'bike trail', 'motel', 'road', 'rental car location', 'bus stop', 'states municipalities', 'state', 'industrial estate', 'toll plaza', 'track', 'neighborhood', 'county', 'state provincial park', 'towing service', 'street', 'intersection', 'scenic lookout', 'city'];[0.39196982979774475, 0.3736114799976349, 0.33272722363471985, 0.30937084555625916, 0.3054552972316742, 0.2986706495285034, 0.28875309228897095, 0.28610485792160034, 0.2833895981311798, 0.2802797555923462, 0.27793973684310913, 0.2751871943473816, 0.26484212279319763, 0.2644549310207367, 0.2643604278564453, 0.25917917490005493, 0.25904545187950134, 0.25807079672813416, 0.2567996382713318, 0.2566256821155548, 0.2561734914779663, 0.25290536880493164, 0.25172001123428345, 0.24671877920627594, 0.2457798421382904, 0.24568186700344086, 0.23914432525634766, 0.2370728850364685, 0.23674431443214417, 0.23609817028045654];border crossing;Describes an officially designated area that requires authorization for the entry of certain vehicles.;travel transportation;travel transportation;0;1;boundary;boundary > boundary types
local authority;boundary > boundary types > local authority;Describes the territory of a local authority.;['country', 'state', 'states municipalities', 'state provincial park', 'county', 'neighborhood', 'town', 'building land surveyor', 'bridge', 'village', 'city', 'community government', 'real estate development title company', 'government department', 'town hall', 'city hall', 'industrial estate', 'environmental organization', 'scenic lookout', 'nature preserve', 'property management office', 'probation office', 'organization', 'hunting area', 'housing authority', 'event', 'forest', 'military', 'police station', 'law enforcement public safety'];[0.48023051023483276, 0.42958226799964905, 0.3926814794540405, 0.33357128500938416, 0.32506710290908813, 0.3054329454898834, 0.30385780334472656, 0.30349546670913696, 0.2977268695831299, 0.2826564908027649, 0.2802661657333374, 0.27881842851638794, 0.27458375692367554, 0.26978763937950134, 0.268358051776886, 0.2678739130496979, 0.2582746744155884, 0.24721567332744598, 0.23899418115615845, 0.23237033188343048, 0.23157091438770294, 0.22918671369552612, 0.22676803171634674, 0.2164131999015808, 0.21559032797813416, 0.21532297134399414, 0.21059347689151764, 0.21007338166236877, 0.208176389336586, 0.20691093802452087];community government;Describes the territory of a local authority.;landmarks outdoors > states municipalities > county;county;0;0;boundary;boundary > boundary types
low emission zone;boundary > boundary types > low emission zone;A geographically defined area which seeks to restrict or deter access by certain polluting vehicles with the aim of improving the air quality.;['vehicle inspection station', 'smog check shop', 'environmental organization', 'country', 'city', 'transport hub', 'hunting area', 'industrial estate', 'neighborhood', 'forest', 'parking', 'town', 'nature preserve', 'truck stop', 'surf spot', 'bridge', 'field', 'fuel station', 'natural park', 'scenic lookout', 'bay', 'law enforcement public safety', 'great outdoors', 'state', 'states municipalities', 'street', 'village', 'state provincial park', 'disc golf course', 'taxi stand'];[0.368793249130249, 0.32593458890914917, 0.30612701177597046, 0.29779934883117676, 0.2837360203266144, 0.2771637439727783, 0.27536740899086, 0.2663959562778473, 0.25748753547668457, 0.2548506259918213, 0.25268977880477905, 0.24560579657554626, 0.2382735013961792, 0.23580670356750488, 0.2354990541934967, 0.23182663321495056, 0.22963392734527588, 0.22646920382976532, 0.22285985946655273, 0.22009912133216858, 0.21959692239761353, 0.2188330739736557, 0.21510179340839386, 0.21229225397109985, 0.21104174852371216, 0.2106960266828537, 0.21051567792892456, 0.21037690341472626, 0.2076520025730133, 0.20667067170143127];environmental organization;A geographically defined area which seeks to restrict or deter access by certain polluting vehicles with the aim of improving the air quality.;landmarks outdoors;landmarks outdoors;0;0;boundary;boundary > boundary types
maritime;boundary > boundary types > maritime;Maritime boundaries which are not administrative boundaries: the Baseline, Contiguous Zone and EEZ (Exclusive Economic Zone).;['country', 'industrial estate', 'border crossing', 'shipping freight material transportation service', 'marine terminal', 'transport hub', 'bay', 'import export service', 'boat ferry', 'event', 'currency exchange', 'floating market', 'boat launch', 'tunnel', 'port', 'surf spot', 'surf store', 'lighthouse', 'train', 'platform', 'geological service', 'bridge', 'harbor marina', 'building land surveyor', 'waterfront', 'boat rental', 'pier', 'state', 'bus line', 'sailing club'];[0.31343621015548706, 0.31234854459762573, 0.284171998500824, 0.2568780481815338, 0.2518877685070038, 0.24939608573913574, 0.24926628172397614, 0.24264000356197357, 0.24200880527496338, 0.24122664332389832, 0.2205217480659485, 0.21490490436553955, 0.20854756236076355, 0.20280301570892334, 0.2027677595615387, 0.19910386204719543, 0.19505451619625092, 0.19124610722064972, 0.1876593381166458, 0.18664687871932983, 0.18552249670028687, 0.18060287833213806, 0.1785086691379547, 0.1765972077846527, 0.17557725310325623, 0.1752559393644333, 0.174971804022789, 0.17326022684574127, 0.17258912324905396, 0.17224380373954773];border crossing;Maritime boundaries which are not administrative boundaries: the Baseline, Contiguous Zone and EEZ (Exclusive Economic Zone).;landmarks outdoors > states municipalities;states municipalities;0;0;boundary;boundary > boundary types
marker;boundary > boundary types > marker;A boundary marker, border marker, boundary stone, or border stone is a robust physical marker that identifies the start of a land boundary or the change in a boundary, especially a change in direction of a boundary. See also historic=boundary_stone;['country', 'building land surveyor', 'bridge', 'historic protected site', 'island', 'bike trail', 'surf spot', 'state', 'mountain', 'county', 'hill', 'scenic lookout', 'states municipalities', 'bay', 'river', 'state provincial park', 'dam', 'field', 'lake', 'great outdoors', 'national park', 'canal lock', 'farm', 'nature preserve', 'natural park', 'structure', 'landmarks outdoors', 'cemetery', 'forest', 'canal'];[0.40123388171195984, 0.33889907598495483, 0.3240213096141815, 0.30516377091407776, 0.29298093914985657, 0.2805240750312805, 0.274624228477478, 0.27113577723503113, 0.2708640694618225, 0.2640044093132019, 0.2618406414985657, 0.26083990931510925, 0.2569836378097534, 0.2514418363571167, 0.25017648935317993, 0.24856352806091309, 0.24526676535606384, 0.24362090229988098, 0.24145762622356415, 0.2407016158103943, 0.24007530510425568, 0.2397778481245041, 0.22927147150039673, 0.22781622409820557, 0.22590267658233643, 0.22380541265010834, 0.22377145290374756, 0.22030788660049438, 0.2191261649131775, 0.20639023184776306];landmarks outdoors;A boundary marker, border marker, boundary stone, or border stone is a robust physical marker that identifies the start of a land boundary or the change in a boundary, especially a change in direction of a boundary. See also historic=boundary_stone;landmarks outdoors > states municipalities;states municipalities;0;0;boundary;boundary > boundary types
national park;boundary > boundary types > national park;Area of outstanding natural beauty, set aside for conservation and for recreation (Other languages).;['natural park', 'national park', 'nature preserve', 'landmarks outdoors', 'state provincial park', 'great outdoors', 'park', 'scenic lookout', 'country', 'water park', 'field', 'waterfront', 'picnic area', 'athletic field', 'beach', 'hunting area', 'forest', 'state', 'bathing area', 'historic protected site', 'city', 'county', 'states municipalities', 'amusement park', 'sports recreation', 'skate park', 'neighborhood', 'urban park', 'village', 'ski trail'];[0.6448341012001038, 0.6421518325805664, 0.5638327598571777, 0.5595900416374207, 0.5493816137313843, 0.5480327606201172, 0.5300296545028687, 0.4966996908187866, 0.46281737089157104, 0.4550471007823944, 0.4483224153518677, 0.44610726833343506, 0.4405774474143982, 0.4346926808357239, 0.42800888419151306, 0.4268682599067688, 0.4262940585613251, 0.42463526129722595, 0.4240647554397583, 0.42091116309165955, 0.4024549722671509, 0.4009467661380768, 0.3937245011329651, 0.39248043298721313, 0.39078497886657715, 0.3886927366256714, 0.38718968629837036, 0.3869245648384094, 0.3814573884010315, 0.377810001373291];national park;Area of outstanding natural beauty, set aside for conservation and for recreation (Other languages).;landmarks outdoors > park > national park;national park;1;1;boundary;boundary > boundary types
place;boundary > boundary types > place;boundary=place is commonly used to map the boundaries of a place=*, when these boundaries can be defined but these are not administrative boundaries.;['country', 'states municipalities', 'state', 'county', 'surf spot', 'village', 'neighborhood', 'industrial estate', 'town', 'bridge', 'city', 'building land surveyor', 'bathing area', 'bay', 'great outdoors', 'transport hub', 'waterfront', 'state provincial park', 'farm', 'island', 'field', 'lake', 'historic protected site', 'campground', 'dam', 'tunnel', 'landmarks outdoors', 'canal', 'playground', 'city hall'];[0.43182671070098877, 0.3579368591308594, 0.3412003517150879, 0.33215707540512085, 0.3205544054508209, 0.31961846351623535, 0.3152426779270172, 0.3146926760673523, 0.308887779712677, 0.2994740307331085, 0.298799067735672, 0.2905997037887573, 0.28334102034568787, 0.27751755714416504, 0.27049896121025085, 0.27006494998931885, 0.26996496319770813, 0.26599347591400146, 0.2630619704723358, 0.2605726420879364, 0.25626322627067566, 0.25141847133636475, 0.2501828670501709, 0.24948649108409882, 0.24348990619182587, 0.2420577108860016, 0.24156929552555084, 0.23946189880371094, 0.23891785740852356, 0.23337358236312866];landmarks outdoors;boundary=place is commonly used to map the boundaries of a place=*, when these boundaries can be defined but these are not administrative boundaries.;landmarks outdoors > states municipalities;states municipalities;0;0;boundary;boundary > boundary types
political;boundary > boundary types > political;Electoral boundaries;['country', 'state', 'polling place', 'border crossing', 'states municipalities', 'event', 'capitol building', 'county', 'city', 'bridge', 'town hall', 'street', 'city hall', 'labor union', 'town', 'government department', 'building land surveyor', 'residential building', 'college math building', 'primary secondary school', 'intersection', 'neighborhood', 'middle school', 'bus line', 'campaign office', 'lgbtq organization', 'college history building', 'preschool', 'village', 'state provincial park'];[0.4263368248939514, 0.34982752799987793, 0.2892582416534424, 0.25734809041023254, 0.25080373883247375, 0.23541858792304993, 0.22207239270210266, 0.2156057506799698, 0.21511106193065643, 0.21390169858932495, 0.20761175453662872, 0.2019234299659729, 0.20139887928962708, 0.19616715610027313, 0.19452475011348724, 0.19094625115394592, 0.18979410827159882, 0.18972548842430115, 0.1876775473356247, 0.18670754134655, 0.1792561113834381, 0.1771736741065979, 0.17557689547538757, 0.1733761876821518, 0.17286740243434906, 0.16843365132808685, 0.16791370511054993, 0.16339340806007385, 0.16280856728553772, 0.16038036346435547];polling place;Electoral boundaries;landmarks outdoors > states municipalities;states municipalities;0;0;boundary;boundary > boundary types
postal code;boundary > boundary types > postal code;Postal code boundaries. Some mappers use postal_code_level=* instead of admin_level=* to specify level in the postal hierarchy.;['post office', 'government department', 'building land surveyor', 'states municipalities', 'city hall', 'country', 'police station', 'town hall', 'housing authority', 'tram station', 'county', 'residential building', 'college administrative building', 'government building', 'home private', 'apartment condo', 'real estate development title company', 'neighborhood', 'college math building', 'city', 'street', 'high school', 'state', 'embassy consulate', 'corporate housing agency', 'office building', 'industrial estate', 'mover', 'college engineering building', 'college communications building'];[0.39495357871055603, 0.3028718829154968, 0.276433527469635, 0.27392759919166565, 0.2649061679840088, 0.2592741847038269, 0.24841278791427612, 0.2353985607624054, 0.2293218970298767, 0.22882723808288574, 0.2282249927520752, 0.22718483209609985, 0.226620152592659, 0.22448575496673584, 0.21578475832939148, 0.2150886207818985, 0.21377168595790863, 0.21031677722930908, 0.20516961812973022, 0.20411787927150726, 0.2015591263771057, 0.19903439283370972, 0.1970125138759613, 0.19556060433387756, 0.19397017359733582, 0.18957844376564026, 0.18928463757038116, 0.18920060992240906, 0.18779700994491577, 0.18753184378147125];government department;Postal code boundaries. Some mappers use postal_code_level=* instead of admin_level=* to specify level in the postal hierarchy.;landmarks outdoors > states municipalities;states municipalities;0;0;boundary;boundary > boundary types
protected area;boundary > boundary types > protected area;Protected areas, such as for national parks, marine protection areas, heritage sites, wilderness, cultural assets and similar.;['nature preserve', 'national park', 'natural park', 'historic protected site', 'great outdoors', 'landmarks outdoors', 'state provincial park', 'hunting area', 'country', 'field', 'island', 'athletic field', 'scenic lookout', 'waterfront', 'beach', 'county', 'states municipalities', 'state', 'environmental organization', 'park', 'sports recreation', 'campground', 'lake', 'forest', 'bridge', 'bay', 'water park', 'village', 'skate park', 'dam'];[0.603041410446167, 0.584829568862915, 0.54029381275177, 0.5365478992462158, 0.4891408383846283, 0.48258960247039795, 0.47993457317352295, 0.44004637002944946, 0.43929269909858704, 0.4148463010787964, 0.40855729579925537, 0.4075029492378235, 0.4027056396007538, 0.39617010951042175, 0.3945685625076294, 0.38871335983276367, 0.3849307894706726, 0.38390910625457764, 0.38280415534973145, 0.38081055879592896, 0.3772234320640564, 0.37233975529670715, 0.3718962073326111, 0.3686186671257019, 0.3682892918586731, 0.36381834745407104, 0.3537696599960327, 0.34737759828567505, 0.3447965979576111, 0.3439515233039856];nature preserve;Protected areas, such as for national parks, marine protection areas, heritage sites, wilderness, cultural assets and similar.;landmarks outdoors > nature preserve;nature preserve;1;1;boundary;boundary > boundary types
religious administration;boundary > boundary types > religious administration;A religious administration boundary, eg. of a catholic diocese or parish. Use religion=* and denomination=* to specify the church to which the boundary applies. Some mappers use religious_level=* instead of admin_level=* to specify level in the church hierarchy.;['church', 'government department', 'religious school', 'temple', 'lgbtq organization', 'confucian temple', 'kingdom hall', 'states municipalities', 'cemevi', 'shrine', 'town hall', 'terreiro', 'country', 'city hall', 'spiritual center', 'buddhist temple', 'mosque', 'government building', 'hindu temple', 'county', 'monastery', 'synagogue', 'state', 'apartment condo', 'community government', 'police station', 'organization', 'college administrative building', 'social services organization', 'embassy consulate'];[0.41883522272109985, 0.4156554937362671, 0.3983123302459717, 0.3476110100746155, 0.34469372034072876, 0.341147243976593, 0.3377104699611664, 0.3370746374130249, 0.3358194828033447, 0.33259594440460205, 0.3323974311351776, 0.33221131563186646, 0.33048659563064575, 0.3267599940299988, 0.3242177665233612, 0.32293054461479187, 0.3110925853252411, 0.30932796001434326, 0.30582195520401, 0.3051173686981201, 0.2965531349182129, 0.29590314626693726, 0.2871401906013489, 0.2824287712574005, 0.27972254157066345, 0.2776499390602112, 0.2727401554584503, 0.2681225538253784, 0.2625797986984253, 0.2612381875514984];government department;A religious administration boundary, eg. of a catholic diocese or parish. Use religion=* and denomination=* to specify the church to which the boundary applies. Some mappers use religious_level=* instead of admin_level=* to specify level in the church hierarchy.;community government > spiritual center;spiritual center;0;0;boundary;boundary > boundary types
special economic zone;boundary > boundary types > special economic zone;A government-defined area in which business and trade laws are different.;['industrial estate', 'country', 'border crossing', 'transport hub', 'metals supplier', 'shipping freight material transportation service', 'construction', 'import export service', 'immigration attorney', 'bus line', 'currency exchange', 'state', 'welding service', 'rubber supplier', 'employment agency', 'dutyfree store', 'design studio', 'mover', 'manufacturer', 'security safety', 'wholesaler', 'logging service', 'business professional services', 'industrial equipment supplier', 'software company', 'factory', 'agriculture forestry service', 'states municipalities', 'travel transportation', 'pet service'];[0.4723401963710785, 0.41504573822021484, 0.38086962699890137, 0.3324004113674164, 0.3288862407207489, 0.3160662055015564, 0.31491219997406006, 0.29757747054100037, 0.28780633211135864, 0.2809050679206848, 0.27453768253326416, 0.27256202697753906, 0.26472610235214233, 0.2629270851612091, 0.2610059380531311, 0.2575450539588928, 0.25658634305000305, 0.25470268726348877, 0.2544274926185608, 0.2523607611656189, 0.25215402245521545, 0.25094759464263916, 0.2504304051399231, 0.25012266635894775, 0.24952460825443268, 0.2493308186531067, 0.24827450513839722, 0.2481176257133484, 0.24730375409126282, 0.245444193482399];business professional services;A government-defined area in which business and trade laws are different.;landmarks outdoors > states municipalities;states municipalities;0;0;boundary;boundary > boundary types
