OSM_tag;OSM_path;OSM_description;FS_candidates;FS_scores;FS_tag_GPT;OSM_full_description;FS_manual_path;FS_manual_tag;correct;new_correct;OSM_main;OSM_main_sub
grandstand;building > sports > grandstand;The main stand, usually roofed, commanding the best view for spectators at racecourses or sports grounds.;['stadium', 'tennis stadium', 'track stadium', 'rugby stadium', 'soccer stadium'];[0.5217660665512085, 0.5012310743331909, 0.4985358417034149, 0.4719395637512207, 0.4661394953727722];stadium;The main stand, usually roofed, commanding the best view for spectators at racecourses or sports grounds.;sports recreation;sports recreation;0;0;building;building > sports
pavilion;building > sports > pavilion;A sports pavilion usually with changing rooms, storage areas and possibly an space for functions & events. Avoid using this term for other structures called pavilions by architects (see Pavilion);['baseball stadium', 'sauna', 'sports club', 'basketball stadium', 'stadium'];[0.48325955867767334, 0.47552165389060974, 0.47545963525772095, 0.47452491521835327, 0.4737302362918854];sports club;A sports pavilion usually with changing rooms, storage areas and possibly an space for functions & events. Avoid using this term for other structures called pavilions by architects (see Pavilion);sports recreation > indoor play area;indoor play area;0;0;building;building > sports
riding hall;building > sports > riding hall;A building that was built as a riding hall.;['cycle studio', 'climbing gym', 'sports club', 'athletic field', 'swimming pool'];[0.5359864234924316, 0.5089563131332397, 0.5012531876564026, 0.47632431983947754, 0.4561961591243744];sports club;A building that was built as a riding hall.;sports recreation > equestrian facility;equestrian facility;0;0;building;building > sports
sports hall;building > sports > sports hall;A building that was built as a sports hall.;['sports club', 'sporting event', 'athletic field', 'rugby stadium', 'hockey stadium'];[0.5646164417266846, 0.4801168441772461, 0.4797830581665039, 0.4793394207954407, 0.4685518145561218];sports club;A building that was built as a sports hall.;sports recreation > indoor play area;indoor play area;0;0;building;building > sports
sports centre;building > sports > sports centre;A building that was built as a sports centre.;['sports club', 'recreation center', 'rugby stadium', 'hockey stadium', 'soccer field'];[0.584938645362854, 0.5643436312675476, 0.5429929494857788, 0.5196911096572876, 0.48572099208831787];recreation center;A building that was built as a sports centre.;sports recreation > indoor play area;indoor play area;0;0;building;building > sports
stadium;building > sports > stadium;A building constructed to be a stadium building, including buildings that are abandoned and used nowadays for a different purpose.;['football stadium', 'soccer stadium', 'baseball stadium', 'rugby stadium', 'track stadium'];[0.5784563422203064, 0.5690344572067261, 0.5464375019073486, 0.49672386050224304, 0.49239665269851685];football stadium;A building constructed to be a stadium building, including buildings that are abandoned and used nowadays for a different purpose.;arts entertainment > stadium;stadium;0;1;building;building > sports
allotment house;building > storage > allotment house;A small outbuilding for short visits in a allotment garden.;['cabin', 'housing development', 'home private', 'residential building', 'storage facility'];[0.41970959305763245, 0.4101285934448242, 0.4049410820007324, 0.39116284251213074, 0.3725869655609131];cabin;A small outbuilding for short visits in a allotment garden.;community government > residential building > home private;home private;0;0;building;building > storage
boathouse;building > storage > boathouse;A boathouse is a building used for the storage of boats.;['boat rental', 'pier', 'floating market', 'boat ferry', 'harbor marina'];[0.6028786897659302, 0.5744951963424683, 0.5374197959899902, 0.49321630597114563, 0.4498221278190613];harbor marina;A boathouse is a building used for the storage of boats.;business professional services > storage facility;storage facility;0;0;building;building > storage
hangar;building > storage > hangar;A hangar is a building used for the storage of airplanes, helicopters or space-craft. Consider adding aeroway=hangar, when appropriate.;['heliport', 'airfield', 'plane', 'airport gate', 'airport'];[0.5378638505935669, 0.5042574405670166, 0.47062939405441284, 0.37449032068252563, 0.3644762635231018];heliport;A hangar is a building used for the storage of airplanes, helicopters or space-craft. Consider adding aeroway=hangar, when appropriate.;travel transportation > transport hub > airport;airport;0;0;building;building > storage
hut;building > storage > hut;A hut is a small and crude shelter. Note that this word has two meanings - it may be synonym of building=shed, it may be a residential building of low quality.;['cabin', 'residential building', 'housing development', 'lodge', 'home private'];[0.5309101939201355, 0.43065500259399414, 0.41259199380874634, 0.40861907601356506, 0.40856248140335083];cabin;A hut is a small and crude shelter. Note that this word has two meanings - it may be synonym of building=shed, it may be a residential building of low quality.;community government > residential building;residential building;0;0;building;building > storage
shed;building > storage > shed;A shed is a simple, single-storey structure in a back garden or on an allotment that is used for storage, hobbies, or as a workshop.;['cabin', 'storage facility', 'housing development', 'stable', 'trailer park'];[0.4406847059726715, 0.43165460228919983, 0.39375197887420654, 0.3887900114059448, 0.3815593123435974];storage facility;A shed is a simple, single-storey structure in a back garden or on an allotment that is used for storage, hobbies, or as a workshop.;business professional services > storage facility;storage facility;1;1;building;building > storage
carport;building > cars > carport;A carport is a covered structure used to offer limited protection to vehicles, primarily cars, from the elements. Unlike most structures a carport does not have four walls, and usually has one or two.;['residential building', 'housing development', 'structure', 'bridge', 'pier'];[0.42960867285728455, 0.40820080041885376, 0.3559967279434204, 0.35378170013427734, 0.3447456955909729];residential building;A carport is a covered structure used to offer limited protection to vehicles, primarily cars, from the elements. Unlike most structures a carport does not have four walls, and usually has one or two.;travel transportation > parking;parking;0;0;building;building > cars
garage;building > cars > garage;A garage is a building suitable for the storage of one or possibly more motor vehicle or similar. See building=garages for larger shared buildings. For an aircraft garage, see building=hangar.;['auto workshop', 'housing development', 'residential building', 'apartment condo', 'rv park'];[0.46519339084625244, 0.44681650400161743, 0.41655150055885315, 0.40510085225105286, 0.40434888005256653];auto workshop;A garage is a building suitable for the storage of one or possibly more motor vehicle or similar. See building=garages for larger shared buildings. For an aircraft garage, see building=hangar.;travel transportation > parking;parking;0;0;building;building > cars
garages;building > cars > garages;A building that consists of a number of discrete storage spaces for different owners/tenants. See also building=garage.;['housing development', 'residential building', 'storage facility', 'auto workshop', 'apartment condo'];[0.4508216977119446, 0.4477688670158386, 0.4251837432384491, 0.4146590232849121, 0.40201419591903687];storage facility;A building that consists of a number of discrete storage spaces for different owners/tenants. See also building=garage.;travel transportation > parking;parking;0;0;building;building > cars
parking;building > cars > parking;Structure purpose-built for parking cars.;['structure', 'pedestrian plaza', 'parking', 'urban park', 'rv park'];[0.4621891975402832, 0.45319443941116333, 0.4374084770679474, 0.39207369089126587, 0.3616400957107544];parking;Structure purpose-built for parking cars.;travel transportation > parking;parking;1;1;building;building > cars
digester;building > powertechnical buildings > digester;A digester is a bioreactor for the production of biogas from biomass.;['sewer contractor', 'dump', 'chemicals gasses manufacturer', 'plumber', 'dumpling restaurant'];[0.35700905323028564, 0.34133005142211914, 0.3401346504688263, 0.3252090513706207, 0.30664053559303284];chemicals gasses manufacturer;A digester is a bioreactor for the production of biogas from biomass.;business professional services > renewable energy service;renewable energy service;0;0;building;building > powertechnical buildings
service;building > powertechnical buildings > service;Service building usually is a small unmanned building with certain machinery (like pumps or transformers).;['power plant', 'electrical equipment supplier', 'office building', 'equipment rental service', 'engineer'];[0.5084377527236938, 0.4716694951057434, 0.46820956468582153, 0.4621378779411316, 0.44963064789772034];power plant;Service building usually is a small unmanned building with certain machinery (like pumps or transformers).;business professional services;business professional services;0;1;building;building > powertechnical buildings
tech cab;building > powertechnical buildings > tech cab;Small prefabricated cabin structures for the air-conditioned accommodation of different technology.;['cabin', 'boarding house', 'housing development', 'residential building', 'lodge'];[0.4957723021507263, 0.42923974990844727, 0.41667258739471436, 0.4127309322357178, 0.4065372943878174];cabin;Small prefabricated cabin structures for the air-conditioned accommodation of different technology.;business professional services > home improvement service > heating ventilating air conditioning contractor;heating ventilating air conditioning contractor;0;0;building;building > powertechnical buildings
transformer tower;building > powertechnical buildings > transformer tower;A transformer tower is a characteristic tall building comprising a distribution transformer and constructed to connect directly to a medium voltage overhead power line. Quite often the power line has since been undergrounded but the building may still serve as a substation. If the building is still in use as a substation it should additionally be tagged as power=substation + substation=minor_distribution.;['metro station', 'power plant', 'apartment condo', 'residential building', 'utility company'];[0.40487658977508545, 0.3900120258331299, 0.344180703163147, 0.3133331537246704, 0.3131067156791687];power plant;A transformer tower is a characteristic tall building comprising a distribution transformer and constructed to connect directly to a medium voltage overhead power line. Quite often the power line has since been undergrounded but the building may still serve as a substation. If the building is still in use as a substation it should additionally be tagged as power=substation + substation=minor_distribution.;business professional services > electrical equipment supplier;electrical equipment supplier;0;0;building;building > powertechnical buildings
water tower;building > powertechnical buildings > water tower;A water tower.;['well', 'dam', 'structure', 'lighthouse', 'palace'];[0.4859764277935028, 0.4783887267112732, 0.4670349359512329, 0.44877052307128906, 0.4173378348350525];structure;A water tower.;landmarks outdoors;landmarks outdoors;0;1;building;building > powertechnical buildings
storage tank;building > powertechnical buildings > storage tank;Storage tanks are containers that hold liquids;['storage facility', 'baggage locker', 'distribution center', 'floating market', 'pier'];[0.44660258293151855, 0.40129679441452026, 0.3982352912425995, 0.3806506395339966, 0.34615546464920044];storage facility;Storage tanks are containers that hold liquids;business professional services > storage facility;storage facility;1;1;building;building > powertechnical buildings
silo;building > powertechnical buildings > silo;A silo is a building for storing bulk materials;['construction supplies store', 'storage facility', 'factory', 'warehouse', 'packaging supply store'];[0.47339582443237305, 0.4478721618652344, 0.4063904583454132, 0.35817453265190125, 0.35734665393829346];storage facility;A silo is a building for storing bulk materials;business professional services > storage facility;storage facility;1;1;building;building > powertechnical buildings
beach hut;building > buildings > beach hut;A small, usually wooden, and often brightly coloured cabin or shelter above the high tide mark on popular bathing beaches.;['beach', 'cabin', 'nudist beach', 'picnic shelter', 'campground'];[0.5466912984848022, 0.49444860219955444, 0.47617441415786743, 0.4479900598526001, 0.43944430351257324];beach;A small, usually wooden, and often brightly coloured cabin or shelter above the high tide mark on popular bathing beaches.;landmarks outdoors > beach;beach;1;1;building;building > buildings
bunker;building > buildings > bunker;A hardened military building. Also use military=bunker.;['military base', 'military', 'castle', 'structure', 'office building'];[0.4366893172264099, 0.4066068232059479, 0.39862388372421265, 0.39675408601760864, 0.36254608631134033];military base;A hardened military building. Also use military=bunker.;community government > government building > military;military;0;1;building;building > buildings
castle;building > buildings > castle;A building constructed as a castle. Can be further specified with historic=castle + castle_type=*.;['castle', 'palace', 'structure', 'stable', 'historic protected site'];[0.6413446068763733, 0.37089598178863525, 0.3225347399711609, 0.2904617190361023, 0.2872559428215027];castle;A building constructed as a castle. Can be further specified with historic=castle + castle_type=*.;landmarks outdoors > castle;castle;1;1;building;building > buildings
construction;building > buildings > construction;Used for buildings under construction. Use construction=* to hold the value for the completed building.;['housing development', 'structure', 'residential building', 'government building', 'construction supplies store'];[0.4334573745727539, 0.3884425163269043, 0.38022559881210327, 0.37733566761016846, 0.35519853234291077];structure;Used for buildings under construction. Use construction=* to hold the value for the completed building.;business professional services > construction;construction;0;0;building;building > buildings
container;building > buildings > container;For a container used as a permanent building. Do not map containers placed temporarily, for example used in shipping or construction.;['pier', 'marine terminal', 'harbor marina', 'structure', 'port'];[0.5052446126937866, 0.4653189778327942, 0.45523735880851746, 0.4442342519760132, 0.38786613941192627];structure;For a container used as a permanent building. Do not map containers placed temporarily, for example used in shipping or construction.;business professional services > storage facility;storage facility;0;0;building;building > buildings
guardhouse;building > buildings > guardhouse;Poste de garde.;['structure', 'castle', 'palace', 'housing development', 'residential building'];[0.4890553951263428, 0.4827544689178467, 0.45110684633255005, 0.4344896674156189, 0.4067245423793793];structure;Poste de garde.;community government > government building > law enforcement public safety;law enforcement public safety;0;0;building;building > buildings
military;building > buildings > military;A military building. Also use military=*.;['military base', 'military', 'office building', 'structure', 'residential building'];[0.6022910475730896, 0.5212323069572449, 0.4432814419269562, 0.43395841121673584, 0.4202215075492859];military base;A military building. Also use military=*.;community government > government building > military;military;0;1;building;building > buildings
outbuilding;building > buildings > outbuilding;A less important building near to and on the same piece of land as a larger building.;['structure', 'town', 'apartment condo', 'residential building', 'castle'];[0.5272331237792969, 0.42491447925567627, 0.41596877574920654, 0.4022003412246704, 0.39301180839538574];structure;A less important building near to and on the same piece of land as a larger building.;community government;community government;0;0;building;building > buildings
pagoda;building > buildings > pagoda;A building constructed as a pagoda.;['structure', 'housing development', 'residential building', 'rooftop bar', 'city hall'];[0.5511893033981323, 0.45931366086006165, 0.4558185935020447, 0.37787115573883057, 0.36406517028808594];structure;A building constructed as a pagoda.;community government > spiritual center > buddhist temple;buddhist temple;0;0;building;building > buildings
quonset hut;building > buildings > quonset hut;A lightweight prefabricated structure in the shape of a semicircle.;['structure', 'residential building', 'housing development', 'home private', 'club house'];[0.4899818003177643, 0.4313608407974243, 0.3850422501564026, 0.36206603050231934, 0.35874760150909424];structure;A lightweight prefabricated structure in the shape of a semicircle.;landmarks outdoors;landmarks outdoors;0;1;building;building > buildings
roof;building > buildings > roof;A structure that consists of a roof with open sides, such as a rain shelter, and also gas stations;['roof deck', 'rooftop bar', 'residential building', 'structure', 'housing development'];[0.4852083623409271, 0.47593289613723755, 0.4502115249633789, 0.4491267800331116, 0.42037421464920044];structure;A structure that consists of a roof with open sides, such as a rain shelter, and also gas stations;community government;community government;0;0;building;building > buildings
ruins;building > buildings > ruins;Frequently used for a house or other building that is abandoned and in poor repair. However, some believe this usage is incorrect, and the tag should only be used for buildings constructed as fake ruins (for example sham ruins in an English landscape garden). See also lifecycle tagging.;['housing development', 'structure', 'home private', 'residential building', 'government building'];[0.37016618251800537, 0.3384479284286499, 0.3201640248298645, 0.3174140453338623, 0.30725014209747314];structure;Frequently used for a house or other building that is abandoned and in poor repair. However, some believe this usage is incorrect, and the tag should only be used for buildings constructed as fake ruins (for example sham ruins in an English landscape garden). See also lifecycle tagging.;landmarks outdoors;landmarks outdoors;0;1;building;building > buildings
ship;building > buildings > ship;A decommissioned ship/submarine which stays in one place.;['lighthouse', 'harbor marina', 'marine terminal', 'port', 'castle'];[0.42828136682510376, 0.4203943610191345, 0.3983476758003235, 0.3805862069129944, 0.3682520091533661];marine terminal;A decommissioned ship/submarine which stays in one place.;landmarks outdoors;landmarks outdoors;0;0;building;building > buildings
tent;building > buildings > tent;For a permanently placed tent. Do not map tents placed temporarily.;['campground', 'structure', 'picnic shelter', 'roof deck', 'cabin'];[0.5169135332107544, 0.43820080161094666, 0.39078015089035034, 0.38629037141799927, 0.34504520893096924];campground;For a permanently placed tent. Do not map tents placed temporarily.;landmarks outdoors > campground;campground;1;1;building;building > buildings
tower;building > buildings > tower;A tower-building.;['structure', 'palace', 'residential building', 'castle', 'housing development'];[0.5744308233261108, 0.48094725608825684, 0.4485548138618469, 0.444912314414978, 0.42899462580680847];structure;A tower-building.;community government;community government;0;0;building;building > buildings
triumphal arch;building > buildings > triumphal arch;A free-standing monumental structure in the shape of an archway with one or more arched passageways.;['structure', 'palace', 'bridge', 'stable', 'castle'];[0.5333346128463745, 0.467774897813797, 0.44510984420776367, 0.3951433300971985, 0.3908576965332031];structure;A free-standing monumental structure in the shape of an archway with one or more arched passageways.;landmarks outdoors > structure;structure;1;1;building;building > buildings
windmill;building > buildings > windmill;A building constructed as a traditional windmill, historically used to mill grain with wind power.;['windmill', 'structure', 'renewable energy service', 'castle', 'farm'];[0.6847076416015625, 0.3283448815345764, 0.2947523891925812, 0.29279378056526184, 0.2821402847766876];windmill;A building constructed as a traditional windmill, historically used to mill grain with wind power.;landmarks outdoors > windmill;windmill;1;1;building;building > buildings
agricultural engines;craft > agricultural engines;A workplace or office of a person who plans and construct engines and tools for agricultural use.;['industrial equipment supplier', 'factory', 'garden center', 'landscaper gardener', 'farm'];[0.4548841118812561, 0.4083986282348633, 0.4082415699958801, 0.407340407371521, 0.3945368528366089];industrial equipment supplier;A workplace or office of a person who plans and construct engines and tools for agricultural use.;business professional services > industrial equipment supplier;industrial equipment supplier;1;1;craft;craft > agricultural engines
atelier;craft > atelier;A place where visual artists work;['art studio', 'creative service', 'art gallery', 'arts crafts store', 'exhibit'];[0.668620765209198, 0.5501406192779541, 0.538421094417572, 0.510780930519104, 0.5100473761558533];art studio;A place where visual artists work;business professional services > art studio;art studio;1;1;craft;craft > atelier
bag repair;craft > bag repair;A place where bags/luggage are repaired.;['bagel shop', 'luggage store', 'leather goods store', 'tire repair shop', 'tailor'];[0.5072747468948364, 0.4506896138191223, 0.44775253534317017, 0.41164594888687134, 0.40466171503067017];tailor;A place where bags/luggage are repaired.;business professional services > repair service;repair service;0;0;craft;craft > bag repair
bakery;craft > bakery;A workplace for fresh bakery goods. May have no shop or be combined with a shop.;['bakery', 'pastry shop', 'candy store', 'grocery store', 'supermarket'];[0.5904672741889954, 0.5487473011016846, 0.515720009803772, 0.5119301080703735, 0.5093763470649719];bakery;A workplace for fresh bakery goods. May have no shop or be combined with a shop.;dining drinking > bakery;bakery;1;1;craft;craft > bakery
basket maker;craft > basket maker;A person weaving baskets.;['hobby store', 'arts crafts store', 'textiles store', 'factory', 'knitting store'];[0.42274874448776245, 0.4083578884601593, 0.40057581663131714, 0.35950130224227905, 0.3564189076423645];arts crafts store;A person weaving baskets.;business professional services > creative service;creative service;0;0;craft;craft > basket maker
beekeeper;craft > beekeeper;The workplace of a beekeeper (apiarist).;['corporate cafeteria', 'agriculture forestry service', 'pest control service', 'laboratory', 'meadery'];[0.3902100920677185, 0.3443228006362915, 0.33113524317741394, 0.32179778814315796, 0.3209500014781952];agriculture forestry service;The workplace of a beekeeper (apiarist).;business professional services > agriculture forestry service;agriculture forestry service;1;1;craft;craft > beekeeper
blacksmith;craft > blacksmith;A place where a blacksmith forges tools, horseshoes, etc. from iron.;['hardware store', 'construction supplies store', 'machine shop', 'knitting store', 'hobby store'];[0.48381343483924866, 0.4794848561286926, 0.46838974952697754, 0.4577605724334717, 0.4480958580970764];machine shop;A place where a blacksmith forges tools, horseshoes, etc. from iron.;business professional services > metals supplier;metals supplier;0;0;craft;craft > blacksmith
boatbuilder;craft > boatbuilder;A workplace where boats are planned and constructed;['boat rental', 'boat launch', 'pier', 'floating market', 'boat ferry'];[0.5274838209152222, 0.5188608765602112, 0.4999764561653137, 0.48645275831222534, 0.47977975010871887];boat rental;A workplace where boats are planned and constructed;travel transportation;travel transportation;0;1;craft;craft > boatbuilder
bookbinder;craft > bookbinder;A workplace for physically assembling a book from a number of sheets of paper.;['stationery store', 'factory', 'bookstore', 'publisher', 'paper supplier'];[0.48327818512916565, 0.4284226894378662, 0.4159405827522278, 0.40924105048179626, 0.3882490396499634];factory;A workplace for physically assembling a book from a number of sheets of paper.;business professional services > publisher;publisher;0;0;craft;craft > bookbinder
brewery;craft > brewery;A dedicated building for the making of beer.;['brewery', 'beer garden', 'distillery', 'beer festival', 'rooftop bar'];[0.7094075679779053, 0.5376729369163513, 0.5233687162399292, 0.5092278718948364, 0.4888441860675812];brewery;A dedicated building for the making of beer.;dining drinking > brewery;brewery;1;1;craft;craft > brewery
builder;craft > builder;A workplace or office of a tradesman who performs structural alterations and additions to buildings.;['construction supplies store', 'engineer', 'carpenter', 'factory', 'office building'];[0.5250985026359558, 0.5179060101509094, 0.49960267543792725, 0.48100292682647705, 0.4656847417354584];engineer;A workplace or office of a tradesman who performs structural alterations and additions to buildings.;business professional services;business professional services;0;1;craft;craft > builder
cabinet maker;craft > cabinet maker;A person who makes fine wooden furniture;['carpenter', 'furniture home store', 'kitchen supply store', 'factory', 'machine shop'];[0.5032119154930115, 0.44691354036331177, 0.4420657455921173, 0.4364646077156067, 0.4201132357120514];furniture home store;A person who makes fine wooden furniture;business professional services > home improvement service > carpenter;carpenter;0;0;craft;craft > cabinet maker
candlemaker;craft > candlemaker;A person who makes candles or a manufactory where candles were made.;['hobby store', 'arts crafts store', 'chemicals gasses manufacturer', 'factory', 'manufacturer'];[0.4292524456977844, 0.419624924659729, 0.4142851233482361, 0.41094136238098145, 0.40588831901550293];manufacturer;A person who makes candles or a manufactory where candles were made.;business professional services > creative service;creative service;0;0;craft;craft > candlemaker
car painter;craft > car painter;A place specializing in painting cars.;['painter', 'classic antique car dealership', 'arts crafts store', 'art gallery', 'hobby store'];[0.4441136121749878, 0.4390717148780823, 0.43013542890548706, 0.41420185565948486, 0.41182267665863037];painter;A place specializing in painting cars.;retail > auto workshop;auto workshop;0;0;craft;craft > car painter
carpenter;craft > carpenter;A workplace or office of carpenters that work with timber to construct, install and maintain buildings, furniture, and other objects.;['carpenter', 'factory', 'construction supplies store', 'deck patio contractor', 'logging service'];[0.6154289245605469, 0.5203243494033813, 0.4889528453350067, 0.45429727435112, 0.4509245455265045];carpenter;A workplace or office of carpenters that work with timber to construct, install and maintain buildings, furniture, and other objects.;business professional services > home improvement service > carpenter;carpenter;1;1;craft;craft > carpenter
carpet cleaner;craft > carpet cleaner;A carpet cleaner is a tradesman who specializes in cleaning carpets;['carpet flooring contractor', 'carpet store', 'chimney sweep', 'car wash detail', 'laundry service'];[0.6134517192840576, 0.5574285984039307, 0.4951532483100891, 0.44999903440475464, 0.43806082010269165];carpet flooring contractor;A carpet cleaner is a tradesman who specializes in cleaning carpets;business professional services > home improvement service > professional cleaning service;professional cleaning service;0;0;craft;craft > carpet cleaner
carpet layer;craft > carpet layer;A carpet layer is a tradesmen who specializes in laying carpets;['carpet flooring contractor', 'carpet store', 'hobby store', 'shipping freight material transportation service', 'carpenter'];[0.6024489402770996, 0.5324406623840332, 0.3538353145122528, 0.3398892879486084, 0.3394278287887573];carpet flooring contractor;A carpet layer is a tradesmen who specializes in laying carpets;business professional services > home improvement service > carpet flooring contractor;carpet flooring contractor;1;1;craft;craft > carpet layer
caterer;craft > caterer;A workplace or office of one who prepares customized meals for takeout, or provides prepared meals or supplies to a group at social gatherings;['caterer', 'corporate cafeteria', 'food court', 'restaurant', 'food stand'];[0.5844794511795044, 0.5575641393661499, 0.5262953639030457, 0.5254155397415161, 0.5240917205810547];caterer;A workplace or office of one who prepares customized meals for takeout, or provides prepared meals or supplies to a group at social gatherings;business professional services > food beverage service > caterer;caterer;1;1;craft;craft > caterer
chimney sweeper;craft > chimney sweeper;A workplace or office of a person who cleans chimneys for a living.;['chimney sweep', 'professional cleaning service', 'mover', 'roofer', 'plumber'];[0.7277181148529053, 0.42462992668151855, 0.38643282651901245, 0.38121339678764343, 0.3661043047904968];chimney sweep;A workplace or office of a person who cleans chimneys for a living.;business professional services > home improvement service > chimney sweep;chimney sweep;1;1;craft;craft > chimney sweeper
cleaning;craft > cleaning;Workplace or office of a person who cleans buildings, industrial facilities or windows.;['chimney sweep', 'professional cleaning service', 'recycling facility', 'interior designer', 'laundry service'];[0.4598754346370697, 0.4585909843444824, 0.4584190249443054, 0.44398805499076843, 0.4417301416397095];professional cleaning service;Workplace or office of a person who cleans buildings, industrial facilities or windows.;business professional services > home improvement service > professional cleaning service;professional cleaning service;1;1;craft;craft > cleaning
clockmaker;craft > clockmaker;A workplace or office of a clockmaker that is building, repairing or engraving clocks of all sorts.;['machine shop', 'factory', 'arts crafts store', 'stationery store', 'jewelry store'];[0.4823112487792969, 0.4122283160686493, 0.41028517484664917, 0.4067484140396118, 0.3928050994873047];arts crafts store;A workplace or office of a clockmaker that is building, repairing or engraving clocks of all sorts.;business professional services > repair service;repair service;0;0;craft;craft > clockmaker
clothes mending;craft > clothes mending;A place where clothing is mended (repaired) or altered professionally.;['tailor', 'textiles store', 'mens store', 'hobby store', 'boutique'];[0.6529120206832886, 0.6020330190658569, 0.5252578258514404, 0.5106912851333618, 0.4904520511627197];tailor;A place where clothing is mended (repaired) or altered professionally.;business professional services > tailor;tailor;1;1;craft;craft > clothes mending
confectionery;craft > confectionery;A place where the set of food items that are rich in sugar, any one or type of which is called a confection is produced.;['candy store', 'chocolate store', 'dessert shop', 'frozen yogurt shop', 'food beverage retail'];[0.614249050617218, 0.5192825794219971, 0.49003010988235474, 0.47555509209632874, 0.45451200008392334];candy store;A place where the set of food items that are rich in sugar, any one or type of which is called a confection is produced.;retail > food beverage retail > candy store;candy store;1;1;craft;craft > confectionery
cooper;craft > cooper;A person or company that manufacture of containers and vessels mainly made of wood.;['factory', 'plastics supplier', 'boat ferry', 'construction supplies store', 'packaging supply store'];[0.5064917802810669, 0.4524054527282715, 0.4467201828956604, 0.43836709856987, 0.4369907081127167];factory;A person or company that manufacture of containers and vessels mainly made of wood.;business professional services;business professional services;0;1;craft;craft > cooper
dental technician;craft > dental technician;A workplace for a dental technician who constructs custom-made restorative and dental appliances.;['factory', 'dentist', 'kitchen supply store', 'oral surgeon', 'machine shop'];[0.4308120608329773, 0.42436283826828003, 0.398723840713501, 0.3975569009780884, 0.3963761329650879];dentist;A workplace for a dental technician who constructs custom-made restorative and dental appliances.;health medicine;health medicine;0;1;craft;craft > dental technician
distillery;craft > distillery;An establishment for distilling, especially for distilling alcoholic liquors.;['distillery', 'whisky bar', 'winery', 'liquor store', 'cocktail bar'];[0.7226438522338867, 0.5098799467086792, 0.5019625425338745, 0.4928957223892212, 0.4634599983692169];distillery;An establishment for distilling, especially for distilling alcoholic liquors.;dining drinking > distillery;distillery;1;1;craft;craft > distillery
door construction;craft > door construction;A workplace of someone constructing doors;['doors windows contractor', 'garage door supplier', 'construction supplies store', 'factory', 'interior designer'];[0.5716983079910278, 0.556128740310669, 0.5044463872909546, 0.5035644173622131, 0.4677186608314514];doors windows contractor;A workplace of someone constructing doors;business professional services > home improvement service > doors windows contractor;doors windows contractor;1;1;craft;craft > door construction
dressmaker;craft > dressmaker;Dressmaker is a person who makes custom clothing for women, such as dresses, blouses, and evening gowns.;['bridal store', 'textiles store', 'womens store', 'boutique', 'tailor'];[0.5265775918960571, 0.5257452726364136, 0.5235039591789246, 0.503356397151947, 0.48682400584220886];tailor;Dressmaker is a person who makes custom clothing for women, such as dresses, blouses, and evening gowns.;business professional services > tailor;tailor;1;1;craft;craft > dressmaker
electrician;craft > electrician;A person or company that works with electricity or electrical systems.;['electrical equipment supplier', 'electrician', 'power plant', 'industrial equipment supplier', 'carpenter'];[0.6674652695655823, 0.6628093123435974, 0.5552576780319214, 0.506714940071106, 0.4979943633079529];electrician;A person or company that works with electricity or electrical systems.;business professional services > home improvement service > electrician;electrician;1;1;craft;craft > electrician
electronics repair;craft > electronics repair;Repair shops and service centres which provides repair of computers, phones, appliance etc.;['computer repair service', 'repair service', 'motorcycle repair shop', 'machine shop', 'electrical equipment supplier'];[0.7435381412506104, 0.656711220741272, 0.5880334973335266, 0.5848984718322754, 0.5749977827072144];computer repair service;Repair shops and service centres which provides repair of computers, phones, appliance etc.;business professional services > computer repair service;computer repair service;1;1;craft;craft > electronics repair
elevator;craft > elevator;Company specialized in installing elevators.;['factory', 'industrial equipment supplier', 'metals supplier', 'machine shop', 'garage door supplier'];[0.44300025701522827, 0.41593897342681885, 0.39831483364105225, 0.3885578215122223, 0.37364327907562256];industrial equipment supplier;Company specialized in installing elevators.;business professional services;business professional services;0;1;craft;craft > elevator
embroiderer;craft > embroiderer;Needlework or textile artist;['textiles store', 'arts crafts store', 'hobby store', 'tattoo parlor', 'knitting store'];[0.5695927143096924, 0.5260492563247681, 0.5106717348098755, 0.4671404957771301, 0.4335451126098633];arts crafts store;Needlework or textile artist;retail > arts crafts store;arts crafts store;1;1;craft;craft > embroiderer
engraver;craft > engraver;A workplace or office of an engraver.;['stationery store', 'tattoo parlor', 'arts crafts store', 'art studio', 'art restoration service'];[0.428409218788147, 0.38680946826934814, 0.3845813274383545, 0.38154280185699463, 0.3796846270561218];arts crafts store;A workplace or office of an engraver.;business professional services > creative service;creative service;0;0;craft;craft > engraver
fence maker;craft > fence maker;A workplace or office of a person or company specialized in manufacturing and installing fences.;['fence contractor', 'carpenter', 'factory', 'deck patio contractor', 'construction supplies store'];[0.7123584151268005, 0.49623632431030273, 0.4763970375061035, 0.4502333700656891, 0.44474560022354126];fence contractor;A workplace or office of a person or company specialized in manufacturing and installing fences.;business professional services > home improvement service > fence contractor;fence contractor;1;1;craft;craft > fence maker
